1,¿Capital?,¿CFE?,Nombre,Lat,Lon,ID,poblacion,Grupo
1,0,0,Palenque,17.52528,-91.98356,3411,42947,33
1,1,0,Pachuca de Soto,20.08466,-98.76332,3579,256584,8
1,0,1,Pedro Escobedo,20.50289,-100.14467,2715,9946,12
1,0,1,Piedras Negras,18.77123,-96.17187,2594,8767,23
1,0,1,Playa del Carmen,20.65479,-87.06788,3549,149923,1
1,0,1,Poza Rica de Hidalgo,20.53432,-97.44458,3562,185242,25
1,0,0,Progreso,32.58916,-115.58076,2896,12557,7
1,0,0,Puerto Escondido,15.87493,-97.07704,3273,25902,45
1,0,1,Puerto Peñasco,31.34217,-113.53448,3456,56756,21
1,0,1,Puerto Vallarta,20.64086,-105.22452,3567,203342,10
1,1,1,Puebla,32.56778,-115.34654,3031,15168,7
1,1,1,Santiago de Querétaro,20.61214,-100.40699,3626,626495,12
1,0,1,Reynosa,26.0354,-98.2962,3621,589466,31
1,0,1,Rioverde,21.92064,-99.9824,3446,53128,22
1,0,0,Rosario,27.84395,-109.37092,436,2815,3
1,0,1,Playas de Rosarito,32.35817,-117.0574,3475,65278,7
1,0,1,Sabinas,27.86591,-101.12908,3452,54905,42
1,0,1,Salina Cruz,16.19652,-95.19678,3494,76596,34
1,1,1,Saltillo,25.43039,-100.98439,3633,709671,31
1,0,0,San Blas,26.07734,-108.76429,2157,6075,4
1,0,0,San Carlos,29.02925,-100.90163,726,3126,42
1,0,0,San Cristóbal de las Casas,16.73203,-92.6424,3554,158027,13
1,0,0,San Felipe,25.69222,-103.38411,1670,4552,9
1,0,0,San Ignacio,23.94253,-106.42477,1666,4543,51
1,0,1,San José del Cabo,23.07623,-109.71506,3484,69788,4
1,0,1,San Juan del Río,20.40342,-99.97347,3546,138878,12
1,0,1,San Luis de la Paz,21.29364,-100.51684,3435,49914,12
1,1,1,San Luis Potosí,22.12398,-100.95106,3636,722772,22
1,0,1,San Luis Río Colorado,32.44574,-114.75872,3555,158089,7
1,0,1,San Martín Texmelucan de Labastida,19.28845,-98.43477,3493,75518,48
1,0,1,San Miguel de Allende,20.91249,-100.74539,3485,69811,12
1,0,1,Santa Ana,29.03003,-107.47319,596,2978,15
1,0,0,Santa Rosalía,27.34125,-112.26883,2855,11765,3
1,0,1,Silao,20.94756,-101.42784,3491,74242,28
1,0,0,Sonoita,31.86672,-112.84353,2910,12849,2
1,0,0,Soto la Marina,23.76819,-98.20483,2778,10620,32
1,0,0,Tamazunchale,21.25697,-98.78409,3248,24562,16
1,0,1,Tampico,22.26624,-97.86949,3587,297284,32
1,0,1,Tamuín,22.0079,-98.77675,3078,16318,16
1,0,1,Tapachula de Córdova y Ordóñez,14.91136,-92.27796,3566,202672,17
1,0,0,Taxco de Alarcón,18.55601,-99.60892,3442,52217,6
1,0,1,Tecate,32.56165,-116.62718,3473,64764,7
1,0,0,Tehuacán,18.461,-97.40762,3576,248716,50
1,0,0,San Pedro Tapanatepec,16.36725,-94.19289,2442,7441,34
1,1,1,Tepic,21.50099,-104.87697,3592,332863,10
1,0,1,Texcoco de Mora,19.50893,-98.88253,3525,105165,26
1,0,1,Ticul,20.3978,-89.53839,3351,32796,1
1,0,1,Tijuana,32.49661,-116.97262,3646,1300983,7
1,1,0,Tlaxcala de Xicohténcatl,19.31654,-98.23731,3006,14692,48
1,1,1,Toluca de Lerdo,19.29411,-99.63121,3615,489333,27
1,0,0,Topolobampo,25.60128,-109.05128,2230,6361,4
1,0,1,Torreón,25.54861,-103.40192,3623,608836,9
1,0,1,Tula de Allende,20.05471,-99.3412,3311,28577,46
1,0,0,Tulancingo,20.09224,-98.36285,3522,102406,8
1,0,0,Tuxpan,19.56246,-100.46155,2644,9122,43
1,0,0,San Juan Bautista Tuxtepec,18.06949,-96.1412,3521,101810,38
1,1,1,Tuxtla Gutiérrez,16.746,-93.13263,3618,537102,13
1,0,1,Uruapan,19.40439,-102.04609,3582,264439,39
1,0,1,Valladolid,20.68838,-88.20293,3432,48973,1
1,0,1,Veracruz,19.1411,-96.1176,3541,126507,23
1,0,0,Miguel Ahumada,30.61858,-106.51342,2571,8575,15
1,1,1,Villahermosa,17.99253,-92.95312,3596,353577,36
1,1,1,Jalapa,17.72113,-92.8125,1839,4999,36
1,0,1,San Juan Yautepec,19.3491,-99.34147,1590,4374,27
1,0,0,Yécora,28.36724,-108.93058,548,2920,3
1,1,1,Zacatecas,22.76321,-102.58868,3542,129011,49
1,0,1,Zamora de Hidalgo,19.99255,-102.28609,3548,141627,40
1,0,0,Zihuatanejo,17.64033,-101.55781,3478,67408,20
1,0,0,Zimapán,20.73944,-99.38053,2928,13243,46
