LOCALIDADES,Villa Hidalgo,Kotolte,Carmen Zacatal,El mbar (El mbar de Echeverra),San Vicente la Mesilla,El Progreso,Benito Jurez,Nuevo Len,Huitiupn,Guaquitepec,Jardnes del Grijalva,Abasolo,Nuevo Vicente Guerrero,Doctor Domingo Chanona,San Andrs Duraznal,Lzaro Crdenas,Nuevo Mxico,La Independencia,Presidente Echeverra (Laja Tendida),Cuauhtmoc,Chenalh,Plan de Ayala,Coapilla,Nachig,Francisco Sarabia,Valle Morelos,Chamula,Chicoasn,Aguacatenango,Ricardo Flores Magn,Benito Jurez,Guadalupe Victoria (Lzaro Crdenas),Ixhuatn,Yoshib,Past,Chiapilla,Zinacantn,Soyatitn,Ocuilapa de Jurez,Amatn,Soyal,Nicols Ruz,Tres Picos,Jitotol,Tenango,Tecpatn,Totolapa,Navenchauc,El Jobo,20 de Noviembre,Amatenango del Valle,Ocotepec,Cristbal Obregn,San Lucas,Socoltenango,Tzimol,El Bosque,Rincn Chamula,Rayn,Ixtapa,San Juan Cancuc,Copainal,Oxchuc,Jess Mara Garza,Raudales Malpaso,Pantelh,Chanal,San Francisco Pujiltic,Tapilula,La Concordia,Revolucin Mexicana,Copoya,San Pedro Buenavista,Altamirano,San Fernando,Jiquipilas,Pueblo Nuevo Solistahuacn,Simojovel de Allende,Villa Corzo,El Parral,Bochil,Acala,Venustiano Carranza,Teopisca,Suchiapa,Las Rosas,Las Margaritas,Berriozbal,Tonal,Villaflores,Ocozocoautla de Espinosa,Cintalapa de Figueroa,Chiapa de Corzo,Comitn de Domnguez,San Cristbal de las Casas,Tuxtla Gutirrez, 
Guadalupe Victoria (Lzaro Crdenas),36.847,163.366,150.33,103.77,158.881,66.068,109.56,101.932,167.801,199.345,47.188,188.521,100.693,41.694,163.3,147.863,55.226,221.969,105.496,24.977,145.195,238.489,133.818,107.601,111.528,84.155,125.352,86.428,164.884,97.773,38.443,0,225.14,165.749,109.74,77.16,112.984,121.772,83.75,252.361,126.135,108.68,185.864,166.818,181.963,131.601,83.376,98.616,38.394,49.338,131.696,251.364,52.536,84.581,132.443,163.252,170.979,190.985,206.773,109.619,174.968,111.646,143.305,22.913,133.288,178.709,146.922,116.113,216.66,123.237,72.908,39.516,62.143,190.924,63.734,116.577,183.343,186.938,48.187,58.472,143.274,65.559,100.153,126.308,25.162,131.682,201.86,62.963,151.628,37.527,74.791,123.629,50.837,183.592,119.321,45.245, 
Ixhuatn,260.481,222.998,70.73,293.531,306.76,165.603,299.321,236.661,83.616,168.823,183.85,248.153,290.454,275.942,83.7,295.078,260.629,281.601,247.165,249.886,122.526,298.121,53.058,167.233,123.494,273.915,118.097,141.607,224.516,239.442,263.352,225.14,0,173.213,198.077,191.737,125.432,200.488,203.159,48.129,103.177,223.257,343.604,58.912,216.674,97.233,197.953,186.952,167.432,186.015,166.407,62.254,239.971,199.158,207.216,231.026,88.558,34.155,18.463,133.022,182.432,75.718,178.016,220.546,146.358,156.291,181.633,248.282,8.48,285.599,234.563,167.572,245.377,225.635,123.528,235.985,41.796,104.517,245.82,207.117,82.532,180.135,232.322,161.02,179.764,188.576,236.572,182.372,309.368,235.16,194.2,243.037,148.88,218.303,128.639,164.945, 
Yoshib,201.09,6.681,125.679,234.14,173.454,152.83,239.93,103.355,83.167,35.808,124.459,38.463,231.063,216.551,96.179,235.687,201.238,148.295,141.191,190.495,41.575,107.208,188.967,58.358,167.749,214.524,55.787,173.19,91.21,133.468,203.961,165.749,173.213,0,63.889,106.487,59.657,117.732,173.36,130.181,128.692,110.1,313.805,169.375,55.437,204.96,99.73,70.488,137.633,156.216,83.651,253.921,210.172,103.341,124.46,148.27,91.323,193.542,209.33,112.176,13.747,185.005,20.003,190.747,222.898,46.58,63.692,122.788,219.217,255.8,204.764,137.773,215.578,67.31,152.273,206.186,185.9,76.635,216.021,177.318,145.831,117.429,114.485,78.264,149.965,105.82,153.816,152.573,279.569,205.361,164.401,213.238,119.081,135.547,49.171,135.146, 
Past,145.081,59.19,150.543,178.131,142.952,96.821,183.921,72.853,103.71,95.169,68.45,84.345,175.054,160.542,163.513,179.678,145.229,117.793,99.758,134.486,36.39,134.313,164.571,4.91,111.741,158.515,16.539,117.181,60.708,92.035,147.952,109.74,198.077,63.889,0,76.063,8.786,87.308,116.339,197.897,71.671,79.676,256.784,112.354,103.494,147.939,69.306,13.467,80.612,99.195,53.227,196.9,153.151,72.917,94.036,117.845,116.515,136.521,152.309,55.155,71.106,127.984,64.836,133.726,165.877,74.847,68.453,92.364,162.196,198.779,147.743,80.752,158.557,112.455,95.252,149.165,128.879,132.474,159,120.297,88.81,67.433,84.061,47.839,92.944,75.396,123.391,95.552,222.548,148.34,107.38,156.217,62.06,105.123,15.459,78.125, 
Chiapilla,105.151,101.788,144.203,138.2,89.175,89.124,143.99,28.886,161.674,131.422,60.753,107.471,135.123,118.623,157.173,171.981,137.532,110.428,35.79,101.906,91.042,126.948,156.874,72.534,105.401,118.585,71.199,109.484,53.343,28.067,115.372,77.16,191.737,106.487,76.063,0,74.963,69.955,107.643,246.346,120.12,39.27,248.088,160.803,129.175,154.424,7.644,60.594,71.916,28.081,45.773,245.349,144.455,7.557,80.626,110.392,164.964,184.97,200.758,103.604,118.424,134.469,90.518,100.138,157.181,121.449,94.134,64.296,210.645,157.746,106.71,72.056,117.524,138.136,86.556,140.469,177.328,180.923,131.643,79.264,137.259,12.37,48.336,40.386,63.361,67.942,115.938,86.856,213.852,114.752,98.684,147.521,53.364,97.669,63.985,69.429, 
Zinacantn,148.325,54.958,77.898,181.375,142.312,100.065,187.165,72.213,95.3,90.937,71.694,83.705,178.298,163.786,90.868,182.922,148.473,117.153,103.002,137.73,27.98,133.673,141.186,5.593,114.985,161.759,8.129,120.425,60.068,95.279,151.196,112.984,125.432,59.657,8.786,74.963,0,85.05,118.488,200.046,73.82,77.418,258.933,114.503,101.236,150.088,67.048,15.616,82.761,101.344,50.969,199.049,155.3,70.659,91.778,115.588,118.664,138.67,154.458,57.304,66.994,130.133,62.578,135.875,168.026,62.058,66.195,90.106,164.345,200.928,149.892,82.901,160.706,110.197,97.401,151.314,131.028,134.623,161.149,122.446,90.959,69.582,81.803,45.582,95.093,73.138,121.134,97.701,224.697,150.489,109.529,158.366,64.209,102.865,13.201,80.274, 
Soyatitn,149.764,113.033,152.954,182.813,30.274,134.246,188.603,48.938,170.356,142.667,122.957,118.716,179.736,163.235,165.924,217.103,182.654,62.499,35.167,146.518,102.287,79.019,201.996,83.779,167.606,163.198,82.444,154.606,27.905,42.696,159.984,121.772,200.488,117.732,87.308,69.955,85.05,0,169.848,278.022,151.796,42.05,310.293,192.479,137.465,216.629,73.795,93.592,134.121,90.286,34.529,277.025,206.66,77.376,11.113,35.725,196.64,216.646,232.434,135.28,126.714,196.674,98.808,162.343,219.386,129.739,102.424,6.333,242.321,219.951,168.915,134.261,179.729,116.161,148.761,202.674,209.004,212.599,193.848,141.469,168.935,74.574,24.503,40.663,125.566,14.498,68.222,149.061,276.057,176.957,160.889,209.726,115.569,49.954,72.275,131.634, 
Ocuilapa de Jurez,101.237,168.661,155.625,160.466,189.068,46.988,166.256,132.119,173.096,204.64,50.785,193.816,157.389,67.449,168.595,83.262,52.136,227.264,135.683,94.029,150.49,243.784,114.738,112.896,84.644,140.85,130.647,67.348,170.179,127.96,92.04,83.75,203.159,173.36,116.339,107.643,118.488,169.848,0,252.83,101.008,139.665,174.367,172.921,188.067,92.952,114.361,104.719,46.703,80.834,137.8,159.153,70.735,115.567,163.939,202.418,177.082,197.088,212.876,115.722,181.071,92.951,149.409,106.71,53.75,184.812,153.026,147.609,222.763,180.418,129.382,46.842,123.011,197.028,45.039,52.295,189.446,193.041,109.055,101.936,149.377,96.544,131.649,132.412,59.034,159.968,207.964,27.818,140.131,101.494,15.434,59.347,56.94,189.696,125.424,38.716, 
Amatn,287.702,125.482,97.951,320.752,333.981,192.824,326.542,263.882,47.603,145.302,211.071,168.284,317.675,303.163,76.104,322.299,287.85,308.822,274.386,277.107,117.66,325.342,101.24,194.454,150.715,301.136,145.319,168.828,251.737,266.663,290.573,252.361,48.129,130.181,197.897,246.346,200.046,278.022,252.83,0,131.044,251.124,371.471,86.779,164.933,145.415,225.82,214.819,195.299,213.882,183.878,110.436,267.838,227.025,224.687,248.497,71.838,82.337,66.644,160.889,140.459,123.9,150.413,248.413,203.554,107.072,188.165,276.149,56.662,313.466,262.43,195.439,273.244,199.892,209.939,263.852,70.556,57.15,273.687,234.984,110.399,208.002,260.189,178.491,207.631,206.047,254.043,210.239,337.235,263.027,222.067,270.904,176.747,235.774,146.11,192.812, 
Soyal,161.476,123.993,55.643,194.526,207.755,58.906,200.316,137.656,73.114,159.972,84.845,149.148,191.449,145.707,68.613,164.843,130.394,182.596,148.16,150.881,82.984,199.116,82.3,68.228,16.797,174.91,85.979,34.91,125.511,140.437,164.347,126.135,103.177,128.692,71.671,120.12,73.82,151.796,101.008,131.044,0,120.501,240.848,52.503,192.936,80.396,95.197,84.196,64.676,83.259,142.67,137.049,137.215,96.402,161.856,207.288,56.665,76.67,92.458,30.266,160.548,60.441,154.278,117.79,149.941,124.398,157.895,145.526,102.345,182.843,131.807,64.816,142.621,201.897,79.316,133.229,69.029,72.624,143.064,104.361,28.959,77.379,129.566,137.282,77.008,164.838,212.834,79.616,206.612,132.404,91.444,140.281,46.124,194.566,104.902,62.189, 
Nicols Ruz,136.671,105.401,175.723,169.72,61.27,120.643,175.51,7.483,193.194,135.035,92.272,111.084,166.643,150.143,188.693,203.5,169.051,100.635,31.464,133.426,94.655,117.155,188.393,76.147,136.921,150.105,74.812,141.003,43.551,23.741,146.892,108.68,223.257,110.1,79.676,39.27,77.418,42.05,139.665,251.124,120.501,0,279.511,192.226,130.234,185.847,43.013,92.016,103.339,51.174,35.445,276.772,175.878,46.594,52.126,82.935,196.387,216.393,232.181,135.027,119.483,165.892,91.577,123.231,188.604,122.508,95.193,35.796,242.068,180.839,129.803,103.479,140.617,139.195,117.979,171.892,208.751,212.346,154.736,102.357,168.682,43.792,17.136,33.054,86.454,51.365,105.609,118.279,245.275,137.845,130.107,178.944,84.787,87.341,65.044,100.852, 
Tres Picos,179.867,309.106,296.07,232.14,329.513,187.433,237.93,272.564,313.541,345.085,191.23,334.261,229.063,144.541,309.04,110.642,153.068,367.709,276.128,172.66,290.935,384.229,255.183,253.341,225.089,212.525,271.092,207.793,310.624,268.405,170.671,185.864,343.604,313.805,256.784,248.088,258.933,310.293,174.367,371.471,240.848,279.511,0,314.519,329.665,264.498,255.959,246.317,188.301,222.432,279.398,300.751,197.192,257.165,305.537,363.098,318.68,338.686,354.474,257.32,322.669,234.549,291.007,217.777,225.296,326.41,294.624,289.207,364.361,322.016,270.98,188.44,249.468,338.626,186.637,189.724,331.044,334.639,235.512,243.534,290.975,238.142,273.247,274.01,200.632,301.566,375.695,169.416,37.935,227.951,155.357,180.18,198.538,356.208,267.022,180.314, 
Jitotol,202.159,164.676,11.422,235.209,248.438,107.281,240.999,178.339,54.334,136.199,125.528,189.831,232.132,217.62,24.392,236.756,202.307,223.279,188.843,191.564,64.204,239.799,74.666,108.911,65.172,215.593,59.775,83.285,166.194,181.12,205.03,166.818,58.912,169.375,112.354,160.803,114.503,192.479,172.921,86.779,52.503,192.226,314.519,0,158.51,120.199,139.789,128.788,109.268,127.851,108.243,85.22,181.807,140.994,149.052,172.862,30.394,24.841,40.629,74.858,124.268,98.684,119.852,162.382,194.533,98.127,123.469,190.118,50.516,227.435,176.399,109.408,187.213,167.471,123.908,177.821,17.2,46.353,187.656,148.953,24.368,121.971,174.158,102.856,121.6,130.412,178.408,124.208,251.204,176.996,136.036,184.873,90.716,160.139,70.475,106.781, 
Tenango,217.304,57.59,169.14,250.354,193.424,169.045,256.144,123.325,117.33,19.629,140.673,19.162,247.277,232.766,130.342,251.902,217.453,114.421,161.161,206.709,91.881,87.906,232.428,99.965,209.356,230.738,98.63,189.405,111.18,153.438,220.175,181.963,216.674,55.437,103.494,129.175,101.236,137.465,188.067,164.933,192.936,130.234,329.665,158.51,0,231.365,106.663,96.893,164.038,140.073,90.584,280.326,236.577,110.274,131.393,155.203,126.155,219.947,235.735,138.581,42.352,211.41,25.837,217.152,249.303,57.968,69.532,129.721,245.622,282.205,231.169,164.178,241.983,64.323,178.678,232.591,212.305,111.467,242.426,203.723,172.236,124.362,121.418,85.197,176.37,112.753,160.749,178.978,305.974,231.766,190.806,239.643,145.486,142.481,75.576,161.551, 
Tecpatn,201.386,200.261,131.933,207.247,235.849,70.804,213.037,178.9,144.819,236.24,97.566,225.416,204.17,167.598,144.903,186.734,152.285,258.864,182.464,156.347,182.09,275.384,44.556,144.496,64.104,187.631,162.247,45.653,201.779,174.741,192.189,131.601,97.233,204.96,147.939,154.424,150.088,216.629,92.952,145.415,80.396,185.847,264.498,120.199,231.365,0,161.323,151.681,94.727,127.796,184.762,89.038,160.74,162.529,210.901,249.38,133.071,94.107,80.408,110.423,228.033,21.57,196.371,154.734,49.111,200.804,199.988,194.571,88.776,227.38,176.344,94.866,187.158,243.99,69.085,156.754,101.748,149.03,199.06,148.898,105.365,143.506,178.611,179.374,107.058,206.93,254.926,92.185,230.136,191.499,114.968,163.806,103.902,236.658,172.386,86.741, 
Totolapa,111.367,95.031,150.419,144.416,93.015,95.339,150.206,27.658,167.89,124.665,66.968,100.714,141.339,124.839,163.389,178.196,143.747,103.671,39.63,108.122,84.285,120.191,163.089,65.777,111.617,124.801,64.442,115.699,46.586,31.907,121.588,83.376,197.953,99.73,69.306,7.644,67.048,73.795,114.361,225.82,95.197,43.013,255.959,139.789,106.663,161.323,0,66.809,78.132,34.297,39.017,251.565,150.671,14.249,84.466,103.636,171.18,191.186,206.974,109.82,111.668,140.685,83.762,106.354,163.397,114.693,87.378,68.136,216.861,163.962,112.926,78.272,123.74,131.38,92.772,146.685,183.544,187.139,137.859,85.48,143.475,18.586,52.176,33.63,69.577,61.186,109.182,93.072,220.068,120.968,104.9,153.737,59.58,90.913,57.229,75.645, 
Navenchauc,133.957,65.789,139.418,167.007,149.551,85.697,172.797,79.452,156.889,101.768,57.326,90.944,163.93,149.418,152.388,168.554,134.105,124.392,88.633,123.362,47.618,140.912,153.447,10.024,100.616,147.391,27.775,106.057,67.307,80.91,136.828,98.616,186.952,70.488,13.467,60.594,15.616,93.592,104.719,214.819,84.196,92.016,246.317,128.788,96.893,151.681,66.809,0,68.529,87.112,59.722,184.817,141.068,79.412,100.531,124.34,104.432,124.438,140.226,43.072,77.601,115.901,71.331,121.643,153.794,81.342,74.948,98.859,150.113,186.696,135.66,68.669,146.474,118.95,83.169,137.082,116.796,120.391,146.917,108.214,76.727,55.35,90.556,54.334,80.861,81.891,129.886,83.469,210.465,136.257,95.297,144.134,49.977,111.618,21.954,66.042, 
El Jobo,75.01,132.934,119.898,116.745,153.341,28.743,122.535,96.392,137.369,168.913,15.058,158.089,113.668,79.856,132.868,110.538,76.089,191.537,99.956,63.14,114.763,208.057,96.493,77.169,81.096,97.13,94.92,49.103,134.452,92.233,76.605,38.394,167.432,137.633,80.612,71.916,82.761,134.121,46.703,195.299,64.676,103.339,188.301,109.268,164.038,94.727,78.132,68.529,0,44.403,101.369,221.036,83.237,79.136,127.508,165.987,140.651,160.657,176.445,79.291,144.64,74.32,112.978,61.076,95.962,148.381,116.595,111.178,186.332,136.139,85.103,2.19,95.917,160.597,26.408,79.251,153.015,156.61,86.35,57.657,112.946,60.113,95.218,95.981,13.4,123.537,171.533,25.637,152.634,75.69,37.465,86.303,20.509,153.265,88.993,7.919, 
20 de Noviembre,77.33,151.517,138.481,110.379,109.506,61.812,116.169,52.557,155.952,158.075,35.339,134.124,107.302,90.801,151.451,144.669,110.22,137.081,56.121,74.084,133.346,153.601,129.562,95.752,99.679,90.764,113.503,82.172,79.996,48.398,87.55,49.338,186.015,156.216,99.195,28.081,101.344,90.286,80.834,213.882,83.259,51.174,222.432,127.851,140.073,127.796,34.297,87.112,44.403,0,72.418,239.552,101.931,35.494,83.357,114.166,159.167,179.173,194.961,97.807,140.606,107.089,117.163,72.308,129.801,144.347,120.779,67.027,204.848,129.916,78.88,44.676,89.694,164.781,59.176,113.089,171.531,175.126,103.813,51.434,131.462,16.472,51.067,67.031,35.531,82.596,142.583,59.476,186.472,86.922,71.304,120.141,39.025,124.314,84.96,42.049, 
Amatenango del Valle,149.496,78.952,118.873,182.545,63.525,118.778,188.335,28.536,136.275,108.586,90.406,84.635,179.468,182.499,131.843,201.635,167.186,66.454,50.961,156.442,68.206,82.974,182.161,49.698,159.09,162.93,48.363,139.138,8.244,70.036,169.908,131.696,166.407,83.651,53.227,45.773,50.969,34.529,137.8,183.878,142.67,35.445,279.398,108.243,90.584,184.762,39.017,59.722,101.369,72.418,0,242.944,199.195,42.401,41.257,66.192,162.559,182.565,198.353,101.199,92.633,174.028,64.727,179.77,211.921,95.658,68.343,39.585,208.24,201.865,150.829,126.796,161.643,112.345,141.296,195.209,174.923,178.518,205.044,123.383,134.854,56.489,40.14,6.582,138.988,22.617,71.738,141.596,268.592,194.384,153.424,202.261,108.104,53.47,38.194,124.169, 
Ocotepec,286.705,249.222,96.954,319.755,332.984,117.051,325.545,262.885,109.84,195.047,210.074,274.377,316.678,203.852,109.924,222.988,188.539,307.825,273.389,276.11,148.75,324.345,44.84,193.457,149.718,300.139,144.321,91.901,250.74,265.666,289.576,251.364,62.254,253.921,196.9,245.349,199.049,277.025,159.153,110.436,137.049,276.772,300.751,85.22,280.326,89.038,251.565,184.817,221.036,239.552,242.944,0,171.189,183.934,232.306,270.785,120.557,66.154,52.455,131.828,249.438,42.68,217.776,176.139,113.32,188.29,221.393,215.976,60.823,248.785,197.749,116.271,208.563,265.395,90.49,167.203,73.795,136.516,209.509,170.303,114.531,164.911,200.016,200.779,128.463,228.335,276.331,113.59,240.586,201.948,125.418,174.255,125.307,258.063,193.791,108.146, 
Cristbal Obregn,46.54,205.473,192.437,98.813,225.88,83.8,104.603,168.931,209.908,241.452,87.597,230.628,95.736,12.752,205.407,113.932,7.599,264.076,172.495,39.332,187.302,280.596,151.55,149.708,121.456,79.198,167.459,104.16,206.991,164.772,37.343,52.536,239.971,210.172,153.151,144.455,155.3,206.66,70.735,267.838,137.215,175.878,197.192,181.807,236.577,160.74,150.671,141.068,83.237,101.931,199.195,171.189,0,136.823,184.685,239.347,214.011,234.017,249.805,152.651,218,129.88,186.338,25.431,120.626,221.741,189.955,168.355,259.692,118.216,67.887,83.771,57.122,233.957,81.968,83.061,226.375,229.97,43.166,72.964,186.306,117.801,152.395,169.341,77.404,196.897,244.893,64.746,113.577,35.605,45.211,90.112,93.869,226.625,162.353,75.645, 
San Lucas,112.572,98.642,151.624,145.621,96.596,96.545,151.411,36.307,169.095,128.276,68.174,104.325,142.544,126.044,164.594,179.402,144.953,107.282,43.211,109.327,87.896,123.802,164.295,69.388,112.822,126.006,68.053,116.905,50.197,35.488,122.793,84.581,199.158,103.341,72.917,7.557,70.659,77.376,115.567,227.025,96.402,46.594,257.165,140.994,110.274,162.529,14.249,79.412,79.136,35.494,42.401,183.934,136.823,0,87.525,107.247,171.863,191.869,207.657,110.503,115.279,141.368,87.373,107.037,164.08,118.304,90.989,71.195,217.544,164.645,113.609,78.955,124.423,134.991,93.455,147.368,184.227,187.822,138.542,86.163,144.158,19.269,55.235,37.241,70.26,64.797,112.793,93.755,220.751,121.651,105.583,154.42,60.263,94.524,60.84,76.328, 
Socoltenango,160.435,119.761,159.682,193.484,25.44,144.917,199.274,59.609,177.084,149.395,131.214,125.444,190.407,173.906,172.652,227.774,193.325,54.228,45.838,157.189,109.015,70.748,222.97,90.507,178.276,173.869,89.172,165.277,34.633,53.367,170.655,132.443,207.216,124.46,94.036,80.626,91.778,11.113,163.939,224.687,161.856,52.126,305.537,149.052,131.393,210.901,84.466,100.531,127.508,83.357,41.257,232.306,184.685,87.525,0,27.454,203.344,223.35,239.138,141.984,133.418,214.813,105.512,172.958,230.001,136.443,109.128,16.948,249.025,230.566,179.53,144.876,190.344,107.89,159.376,213.289,215.708,219.303,204.463,152.084,175.639,85.189,35.118,47.367,136.181,18.578,59.951,159.676,286.672,187.572,171.504,220.341,126.184,41.683,78.979,142.249, 
Tzimol,191.244,143.571,183.492,224.293,25.746,183.396,230.083,93.154,200.894,173.205,155.024,149.254,221.216,247.117,196.462,266.253,231.804,26.864,76.647,187.998,132.825,48.619,246.78,114.316,223.708,204.678,112.982,203.756,75.601,84.176,201.464,163.252,231.026,148.27,117.845,110.392,115.588,35.725,202.418,248.497,207.288,82.935,363.098,172.862,155.203,249.38,103.636,124.34,165.987,114.166,66.192,270.785,239.347,107.247,27.454,0,227.229,247.235,263.023,165.869,157.303,238.698,129.397,244.44,276.591,160.328,133.013,47.654,272.91,261.272,210.236,191.466,221.05,85.725,205.966,259.879,239.593,243.188,235.169,182.79,199.524,115.895,65.824,71.252,203.658,36.565,34.253,206.266,333.262,259.054,218.094,266.931,172.774,13.906,102.864,188.839, 
El Bosque,206.32,86.624,41.024,239.37,252.599,111.443,245.16,182.5,24.235,106.444,129.689,193.992,236.293,221.781,35.144,240.917,206.468,227.44,193.004,195.725,68.295,243.96,104.312,113.072,69.334,219.754,63.866,87.447,170.355,185.281,209.191,170.979,88.558,91.323,116.515,164.964,118.664,196.64,177.082,71.838,56.665,196.387,318.68,30.394,126.155,133.071,171.18,104.432,140.651,159.167,162.559,120.557,214.011,171.863,203.344,227.229,0,54.346,70.135,78.805,101.601,108.709,123.728,166.328,198.479,68.214,127.345,194.064,80.021,231.381,180.345,113.354,191.159,171.347,127.854,181.767,46.705,16.096,191.602,152.899,28.315,125.917,178.104,106.732,125.546,134.288,182.284,128.154,255.15,180.942,139.982,188.819,94.662,164.015,74.351,110.727, 
Rincn Chamula,226.326,188.843,36.575,259.376,272.605,131.448,265.166,202.506,49.461,134.668,149.695,213.998,256.299,241.787,49.545,260.923,226.474,247.446,213.01,215.731,88.371,263.966,49.909,133.078,89.339,239.76,83.942,107.452,190.361,205.287,229.197,190.985,34.155,193.542,136.521,184.97,138.67,216.646,197.088,82.337,76.67,216.393,338.686,24.841,219.947,94.107,191.186,124.438,160.657,179.173,182.565,66.154,234.017,191.869,223.35,247.235,54.346,0,15.788,98.867,148.277,73.843,143.861,186.391,218.542,122.136,147.478,214.127,25.675,251.444,200.408,133.417,211.222,191.48,147.917,201.83,7.641,70.362,211.665,172.962,48.377,145.98,198.167,126.865,145.609,154.421,202.417,148.217,275.213,201.005,160.045,208.882,114.725,184.148,94.484,130.79, 
Rayn,242.114,204.631,52.363,275.164,288.393,147.236,280.954,218.294,65.249,150.456,165.483,229.786,272.087,257.575,65.333,276.711,242.262,263.234,228.798,231.519,104.16,279.754,36.21,148.866,105.127,255.548,99.731,123.24,206.149,221.075,244.985,206.773,18.463,209.33,152.309,200.758,154.458,232.434,212.876,66.644,92.458,232.181,354.474,40.629,235.735,80.408,206.974,140.226,176.445,194.961,198.353,52.455,249.805,207.657,239.138,263.023,70.135,15.788,0,114.656,164.066,58.87,159.65,202.179,129.51,137.925,163.267,229.915,9.982,267.232,216.196,149.205,227.01,207.269,163.705,217.618,23.429,86.151,227.453,188.75,64.165,161.768,213.955,142.654,161.397,170.21,218.206,164.005,291.001,216.793,175.833,224.67,130.513,199.937,110.273,146.578, 
Ixtapa,144.96,107.477,85.488,178.01,191.239,96.7,183.8,121.14,102.96,143.456,68.329,132.632,174.933,160.421,98.458,179.557,145.108,166.08,131.644,134.365,89.306,182.6,112.189,51.712,46.686,158.394,69.463,64.799,108.995,123.921,147.831,109.619,133.022,112.176,55.155,103.604,57.304,135.28,115.722,160.889,30.266,135.027,257.32,74.858,138.581,110.423,109.82,43.072,79.291,97.807,101.199,131.828,152.651,110.503,141.984,165.869,78.805,98.867,114.656,0,94.61,74.491,90.194,135.758,167.909,97.531,93.811,163.494,108.703,200.811,149.775,82.784,160.589,137.813,71.099,151.197,75.387,78.982,161.032,122.329,35.317,95.347,147.534,73.198,94.976,100.754,148.75,97.584,224.58,150.372,109.412,158.249,64.092,130.481,40.817,80.157, 
San Juan Cancuc,210.309,15.9,134.898,243.359,182.673,162.049,249.149,112.574,92.856,22.641,133.678,41.761,240.282,225.77,105.868,244.906,210.457,157.514,150.41,199.714,50.794,110.506,198.186,67.577,176.968,223.743,65.006,182.409,100.429,142.687,213.18,174.968,182.432,13.747,71.106,118.424,66.994,126.714,181.071,140.459,160.548,119.483,322.669,124.268,42.352,228.033,111.668,77.601,144.64,140.606,92.633,249.438,218,115.279,133.418,157.303,101.601,148.277,164.066,94.61,0,194.224,23.301,199.966,232.117,33.412,66.99,132.007,228.436,265.019,213.983,146.992,224.797,70.608,161.492,215.405,195.119,86.911,225.24,186.537,155.05,126.648,123.704,87.483,159.184,115.039,163.035,161.792,288.788,214.58,173.62,222.457,128.3,144.766,58.39,144.365, 
Copainal,154.242,180.306,110.418,187.292,215.894,50.849,193.082,158.945,123.304,216.285,77.611,205.461,184.215,137.65,123.388,156.786,122.337,238.909,162.509,136.392,162.135,255.429,23.04,124.541,44.149,167.676,142.292,25.699,181.824,154.786,149.858,111.646,75.718,185.005,127.984,134.469,130.133,196.674,92.951,123.9,60.441,165.892,234.549,98.684,211.41,21.57,140.685,115.901,74.32,107.089,174.028,42.68,129.88,141.368,214.813,238.698,108.709,73.843,58.87,74.491,194.224,0,176.279,134.642,70.52,180.711,179.896,174.479,67.122,207.288,156.252,74.774,167.066,223.898,48.993,125.706,80.094,128.937,168.012,128.806,85.272,123.414,158.519,159.282,86.966,186.838,234.834,72.093,199.089,160.451,83.921,132.758,83.81,216.566,152.294,66.649, 
Oxchuc,178.646,26.324,130.482,211.696,154.767,130.387,217.486,84.668,102.81,43.482,102.015,19.888,208.619,194.108,143.452,213.244,178.795,129.608,122.504,168.051,70.923,88.633,193.77,61.307,170.698,192.08,59.972,150.747,72.523,114.781,181.517,143.305,178.016,20.003,64.836,90.518,62.578,98.808,149.409,150.413,154.278,91.577,291.007,119.852,25.837,196.371,83.762,71.331,112.978,117.163,64.727,217.776,186.338,87.373,105.512,129.397,123.728,143.861,159.65,90.194,23.301,176.279,0,191.482,223.633,54.253,44.294,104.051,219.952,256.535,205.499,138.508,216.313,47.912,153.008,206.921,186.635,96.278,216.756,178.053,146.566,98.692,95.748,59.527,150.7,87.083,135.079,153.308,280.304,206.096,165.136,213.973,119.816,116.811,49.906,135.881, 
Jess Mara Garza,35.678,186.048,173.012,102.601,181.563,88.75,108.391,124.614,190.483,222.027,69.87,211.203,99.524,21.258,185.982,118.704,28.184,244.651,128.178,23.808,167.877,261.171,156.5,130.283,134.21,82.986,148.034,109.11,187.566,120.455,5.222,22.913,220.546,190.747,133.726,100.138,135.875,162.343,106.71,248.413,117.79,123.231,217.777,162.382,217.152,154.734,106.354,121.643,61.076,72.308,179.77,176.139,25.431,107.037,172.958,244.44,166.328,186.391,202.179,135.758,199.966,134.642,191.482,0,148.067,212.001,180.214,149.405,249.952,109.546,59.217,72.808,48.452,224.216,97.026,110.502,216.635,220.23,34.496,64.294,176.566,98.851,133.445,159.6,58.454,164.974,235.152,92.187,131.515,26.935,72.652,117.553,84.129,216.884,152.613,78.537, 
