LOCALIDADES,El Carmen,Nopala (Guadalupe Nopala),Loma de San Jos,Santiago Zacualuca,La Planada,Colonia Morelos,El Cid,Colonia Santo Toms,Prados San Francisco,Colonia Lzaro Crdenas del Ro,San Miguel,Benito Jurez,San Pedro Tepetitln,Colonia la Asuncin,Unidad San Miguel Jageyes,El Dorado Huehuetoca,San Juan Teacalco,Santo Domingo Aztacameca,Prados de San Juan,Oxtotipac,Fraccionamiento Santa Cruz Tecmac,Lomas de Tenopalco,Barrio Tlatenco,Ocopulco,Axapusco,Santa Mara Huecatitla,Colonia Lzaro Crdenas (Los Hornos),San Francisco Mazapa,Caada de Cisneros,Santa Mara Cuevas (Cuevas),Cuautlacingo,Puerto Mag,San Francisco Tenopalco,Nopaltepec,Ixtlahuaca de Cuauhtmoc,Colonia el Salado,Santa Mara,Colonia Santa Luca,Villa URBI del Rey,Santa Luca,Colonia 2 de Septiembre,San Miguel Jaltocan,Santiago Chimalpa (Chimalpa),General Felipe ngeles (Los ngeles),La Providencia,San Bartolom Actopan,Loma Larga,San Buenaventura,Hueypoxtla,Transfiguracin,Villas de la Laguna,Axotln,San Marcos Nepantla,Tepojaco,San Pedro Xalpa,San Miguel Jageyes,Santa Mara de Guadalupe,San Jos de la Loma,San Miguel Hila,Santiago Tolman,Loma Alta,Santa Isabel Ixtapan,San Pedro Huaquilpan,San Miguel Xometla,Atlatongo,Zapotln de Jurez,San Francisco Mag,Nueva Santa Rosa,Ex-Hacienda Santa Ins,San Bartolo,Santa Catarina,Huitzila,Arbolada los Sauces,San Jos el Vidrio,Tezontepec,San Mateo Ixtacalco,Santa Mara Magdalena Cahuacn,San Pablo Tecalco,San Sebastin Xolalpa,San Lorenzo Tlalmimilolpan,Acolman de Nezahualcyotl,San Luis Tecuahutitln,Concepcin Jolalpan,Santa Ana Tlachihualpa,Quinto Barrio (Ejido Cahuacn),Granjas Ampliacin Santa Rosa,San Sebastin,Salitrillo,Temascalapa,San Bartolo,Tlapanaloya,Tequisistln,San Cristbal Nexquipayac,Santa Cruz del Monte,Santa Mara Tonanitla,Tolcayuca,Fraccionamiento Paseos de Tultepec II,Ejido de Coyotepec,San Francisco Zacacalco,San Bartolo,Jilotzingo,Villa del Carbn,San Mateo Xoloc,Ex-Hacienda de Jalpa,Galaxia Cuautitln,Santa Mara Ajoloapan,Ejido de Tequisistln Primero,Santiago Cuautlalpan,Paseos de San Juan,Otumba de Gmez Faras,Fraccionamiento la Trinidad,Puerto Escondido (Tepeolulco Puerto Escondido),San Bartolo Cuautlalpan,Jaltenco,Progreso Industrial,Huehuetoca,San Martn de las Pirmides,Veintids de Febrero,Haciendas de Tizayuca,Santa Ana Nextlalpan,Fraccionamiento Social Progresivo Santo Toms Chiconautla,Alborada Jaltenco,Tecmac de Felipe Villanueva,Ampliacin San Mateo (Colonia Solidaridad),Tezoyuca,San Salvador Atenco,Huilango,Santiago Teyahualco,Don Antonio,Santa Mara Ajoloapan,San Juan Zitlaltepec,Chiconcuac de Jurez,Los Reyes Acozac,Tequixquiac,Teotihuacn de Arista,Tultitln de Mariano Escobedo,San Martn Azcatepec,Coyotepec,Colonia Santa Teresa,Tepotzotln,Melchor Ocampo,Tizayuca,Zumpango de Ocampo,Teoloyucan,Tultepec,Fuentes del Valle,Tepexpan,Cuautitln,San Pablo de las Salinas,Buenavista,Ojo de Agua,San Francisco Coacalco,Villa Nicols Romero,Azcapotzalco,Cuautitln Izcalli,Ciudad Lpez Mateos,Tlalnepantla,Naucalpan de Jurez,Gustavo A. Madero,Ecatepec de Morelos, 
San Lorenzo Tlalmimilolpan,39.154,78.998,76.219,9.253,54.855,76.838,61.995,53.714,40.678,56.979,60.008,36.116,5.445,40.06,66.258,74.948,19.465,21.248,22.258,10.943,11.46,40.967,53.323,10.416,17.503,53.033,49.463,7.654,78.727,60.405,12.483,82.382,42.449,24.524,32.478,23.306,68.197,26.068,63.294,18.838,41.229,42.233,13.424,57.555,48.185,25.002,74.462,72.053,76.716,87.006,57.932,65.418,9.002,33.227,64.286,64.602,55.685,59.863,71.952,13.046,98.265,19.021,63.684,3.686,4.674,60.536,80.097,20.196,39.008,3.724,8.831,26.41,31.004,81.691,35.542,54.333,82.825,12.052,5.834,0,6.367,14.315,20.865,17.527,86.37,21.046,30.339,62.822,24.216,50.499,81.929,17.672,21.922,67.289,34.419,68.049,44.875,65.755,44.188,66.067,38.492,101.783,64.903,59.954,50.968,73.988,17.999,65.153,27.299,17.028,36.542,36.404,28.964,49.603,75.001,64.997,7.058,74.206,40.097,43.311,32.284,32.269,13.983,39.699,10.804,23.694,61.39,37.694,35.934,23.247,55.3,16.424,22.347,63.181,3.058,40.341,15.062,66.451,71.691,61.637,50.501,28.36,36.282,49.808,40.536,36.494,19.764,47.041,36.21,44.427,31.052,32.471,69.132,50.763,57.357,57.486,46.061,58.344,41.572,28.547, 
Acolman de Nezahualcyotl,53.311,63.426,67.255,9.44,45.891,67.874,56.767,44.75,31.714,48.015,51.044,42.647,3.137,31.096,57.294,65.984,38.334,27.779,13.294,18.613,11.647,32.003,44.359,8.108,24.034,44.069,40.499,13.955,69.763,51.441,19.307,73.418,33.485,31.054,68.919,14.342,59.233,26.255,54.33,19.025,32.265,33.269,12.753,64.085,39.221,42.797,65.498,63.089,56.885,78.042,48.968,56.454,6.419,47.383,55.322,55.638,46.721,50.899,62.988,20.015,89.301,10.057,70.214,3.348,4.246,67.066,71.133,11.232,30.044,3.083,2.705,26.597,31.191,72.727,42.073,45.369,73.861,9.469,13.504,6.367,0,17.247,13.289,20.459,78.134,12.809,30.122,54.586,48.518,42.263,59.903,9.435,13.685,59.053,26.183,58.999,36.639,57.519,56.151,57.831,38.275,93.547,56.667,51.718,42.732,81.069,9.762,56.917,27.082,23.926,36.325,28.168,28.747,41.367,66.765,56.761,15.217,65.97,52.06,35.075,24.048,24.033,13.766,31.463,8.497,15.457,53.154,29.458,47.897,20.151,47.064,16.352,22.13,54.945,8.469,32.105,12.076,58.215,63.455,53.401,42.265,46.601,44.092,41.572,32.3,28.258,11.527,38.805,27.974,36.191,22.816,24.235,60.896,42.527,49.121,49.25,37.825,50.108,33.336,20.311, 
San Luis Tecuahutitln,22.97,33.085,77.475,12.506,40.852,78.094,19.569,54.97,41.934,32.875,35.904,17.829,19.596,28.192,67.514,49.274,5.79,16.428,32.489,21.454,14.392,42.223,54.579,24.567,23.864,54.289,50.719,13.617,79.983,36.301,18.766,83.638,43.705,26.922,18.469,33.114,42.522,17.332,64.55,12.748,42.485,29.188,32.228,25.336,49.441,11.327,75.718,73.309,37.372,88.262,28.811,66.674,15.98,15.989,40.182,65.858,31.582,35.759,73.208,16.303,99.521,29.532,38.99,17.837,13.937,35.842,81.353,30.707,40.264,15.567,23.391,17.758,22.268,82.947,15.84,55.589,84.081,20.585,16.345,14.315,17.247,0,31.376,3.517,86.672,35.058,21.816,42.679,10.207,50.801,60.523,28.183,32.433,67.591,24.87,33.028,45.177,66.057,30.179,40.602,29.969,102.085,65.205,38.281,51.27,52.582,28.51,65.455,18.776,20.328,28.019,38.17,20.441,28.848,75.303,41.553,11.061,74.508,26.088,27.231,21.001,32.571,15.378,40.001,26.283,34.205,61.692,37.996,21.925,9.238,33.628,35.1,13.824,40.327,12.536,40.643,16.631,43.456,71.993,61.939,50.803,20.63,27.759,50.11,40.838,36.796,33.08,47.343,36.512,44.729,21.005,32.773,69.434,52.529,57.659,59.252,47.827,60.11,43.338,30.313, 
Concepcin Jolalpan,58.482,89.338,74.628,27.53,53.264,75.247,72.335,52.123,39.086,55.388,58.417,46.456,10.571,38.468,64.667,73.357,42.143,31.588,23.294,10.812,29.737,39.375,51.732,7.178,22.635,51.442,47.872,17.994,77.136,58.814,19.067,80.791,40.857,34.864,72.729,21.288,66.606,49.088,61.703,41.858,39.637,40.641,7.218,67.895,46.594,46.606,72.871,70.462,87.056,85.415,56.341,63.827,27.278,52.554,62.695,63.011,54.094,58.272,70.361,23.386,96.674,14.677,74.024,12.424,24.147,70.876,78.506,15.852,37.416,14.688,15.42,50.74,58.895,80.1,45.882,52.742,81.234,30.328,16.174,20.865,13.289,31.376,0,34.593,84.522,16.834,46.079,60.974,41.282,48.651,92.274,12.739,12.422,65.441,32.571,78.394,43.027,63.907,62.709,64.219,60.171,99.935,63.055,58.106,49.12,84.333,15.349,63.305,48.977,19.265,55.399,36.926,50.643,47.755,73.153,63.149,19.9,72.358,58.618,41.463,24.781,30.42,36.301,37.851,9.352,9.612,59.542,35.846,54.455,42.061,53.452,6.569,44.025,61.333,20.53,38.493,30.007,64.603,69.843,59.789,48.653,53.159,50.48,47.96,38.688,34.646,17.819,45.193,34.362,42.579,24.907,30.623,67.284,51.285,55.509,58.008,46.583,58.866,42.094,29.069, 
Santa Ana Tlachihualpa,19.598,29.713,75.786,10.817,39.163,76.405,16.197,53.281,40.245,31.186,34.215,21.728,22.808,26.503,65.825,47.585,9.138,19.776,30.8,24.666,12.703,40.534,52.89,39.738,24.012,52.6,49.03,16.829,78.294,34.612,21.978,81.949,42.016,30.27,15.097,31.425,40.833,15.643,62.861,11.059,40.796,27.499,37.812,21.964,47.752,12.801,74.029,71.62,50.606,86.573,27.122,64.985,21.81,12.617,38.493,64.169,29.893,34.07,71.519,19.515,97.832,35.116,35.618,21.049,17.149,32.47,79.664,33.644,38.575,18.779,26.603,14.386,20.579,81.258,19.682,53.9,82.392,18.896,19.557,17.527,20.459,3.517,34.593,0,84.982,33.368,20.127,40.99,6.835,49.111,58.834,34.54,38.791,65.901,23.18,31.339,43.487,64.367,28.49,38.913,28.28,100.395,63.515,36.592,49.58,50.893,32.666,63.765,17.087,23.539,26.33,36.48,18.752,27.159,73.613,39.864,14.272,72.818,24.399,25.542,19.311,30.881,13.688,38.311,29.494,40.562,60.002,36.306,20.236,7.549,31.939,41.457,12.135,38.638,15.747,38.953,14.941,41.767,70.303,60.249,49.113,15.298,26.07,48.42,39.148,35.106,31.39,45.653,34.822,43.039,19.315,31.083,67.744,50.839,55.969,57.562,46.137,58.42,41.648,28.623, 
Quinto Barrio (Ejido Cahuacn),96.678,88.086,12.402,80.682,45.244,10.463,100.134,42.295,65.142,69.574,72.603,123.493,79.586,54.38,51.874,60.564,92.292,102.345,70.276,93.179,79.854,49.732,37.15,79.213,98.6,38.672,40.576,88.521,18.018,73,93.873,11.38,50.958,105.62,102.191,71.716,53.813,75.559,48.91,80.054,49.714,56.553,77.288,99.043,60.78,100.615,10.917,41.024,78.444,18.111,70.527,29.308,82.977,90.75,55.025,50.218,68.28,46.259,16.676,94.581,19.694,74.592,112.697,80.834,81.898,109.549,14.294,73.119,53.328,80.735,77.942,88.936,75.176,6.278,121.447,34.314,3.086,74.661,88.07,86.37,78.134,86.672,84.522,84.982,0,69.229,66.847,50.629,93.834,39.862,79.303,70.401,74.651,43.067,51.767,104.315,41.992,41.533,101.467,53.874,76.001,23.143,28.13,49.91,42.756,84.218,68.526,24.622,72.299,95.091,68.411,52.862,77.281,60.767,9.176,48.388,86.382,13.347,97.376,62.084,69.364,48.299,75.059,40.107,79.241,76.423,21.902,41.291,93.213,80.819,66.464,77.318,82.783,74.345,83.897,37.475,76.312,42.229,58.608,32.086,47.663,91.917,63.492,40.138,43.835,39.927,67.251,39.068,45.756,36.297,68.132,44.486,14.623,43.517,25.242,24.806,41.004,39.517,37.894,63.42, 
Granjas Ampliacin Santa Rosa,45.064,55.179,61.211,20.11,39.847,61.83,48.52,38.706,25.669,41.971,45,51.889,14.261,25.051,51.25,59.94,47.576,37.021,9.877,27.855,28.24,25.958,38.315,11.526,33.276,38.025,34.455,23.197,63.719,45.397,28.549,67.374,27.44,40.296,50.577,2.738,53.189,35.67,48.286,28.44,26.22,27.224,9.6,47.429,33.177,49.001,59.454,57.045,50.841,71.998,42.924,50.41,14.762,39.136,49.278,49.594,40.677,44.855,56.944,29.257,83.257,3.097,61.083,15.509,16.573,57.935,65.089,1.57,23.999,15.41,10.108,37.322,45.477,66.683,51.315,39.325,67.817,12.743,22.746,21.046,12.809,35.058,16.834,33.368,69.229,0,33.582,48.477,42.58,36.154,53.794,4.179,4.796,52.944,20.074,53.061,30.53,51.41,50.213,51.722,47.675,87.438,50.558,45.609,36.623,72.615,3.071,50.808,36.481,32.51,42.902,24.003,38.147,35.258,60.656,50.652,23.801,59.861,46.122,28.966,12.285,17.924,23.805,25.354,11.582,10.999,47.045,23.349,41.959,29.565,40.955,11.894,31.529,48.836,21.316,25.996,17.511,52.106,57.346,47.292,36.156,40.663,37.983,35.463,26.191,22.149,3.11,32.696,21.865,30.082,12.411,18.126,54.787,38.361,43.012,53.175,33.659,45.942,29.17,16.146, 
San Sebastin,20.527,25.961,58.829,21.187,17.853,59.448,22.269,16.579,12.259,11.471,14.5,47.969,41.143,13.476,31.983,27.87,27.436,38.074,31.833,54.736,20.359,16.106,18.323,40.77,60.157,18.033,32.073,35.127,39.768,14.897,55.43,43.423,17.588,59.805,30.197,33.273,21.118,5.689,29.019,12.368,16.368,9.256,38.845,23.519,13.185,32.227,57.072,37.778,20.341,69.616,11.213,26.459,26.326,22.362,18.778,30.327,10.177,14.355,54.562,37.813,63.99,36.149,37.173,42.391,26.812,34.025,41.138,34.676,11.021,28.442,39.499,16.59,4.671,64.301,45.923,19.333,65.435,23.412,49.627,30.339,30.122,21.816,46.079,20.127,66.847,33.582,0,29.843,21.739,16.411,27.718,35.262,39.512,34.31,12.784,29.946,27.694,32.776,26.049,18.11,18.324,68.805,26.665,15.789,19.69,32.633,33.387,30.957,5.728,59.953,10.451,36.138,8.796,6.351,57.821,19.575,32.605,57.026,21.122,6.23,19.368,16.862,17.516,36.395,44.103,41.284,44.209,19.285,26.01,12.873,11.135,42.179,8.841,22.76,28.786,31.773,20.135,21.245,38.713,23.399,16.413,13.351,4.767,15.72,16.778,34.226,32.112,21.546,16.861,38.215,18.465,20.594,51.952,50.497,40.176,50.34,50.344,57.661,41.306,28.281, 
Salitrillo,35.935,33.564,50.367,57.134,8.785,50.986,37.677,11.155,25.795,11.784,18.081,63.377,56.038,30.559,8.35,10.334,43.646,78.797,46.728,69.631,56.306,27.523,21.554,55.665,75.052,23.076,30.693,64.973,35.577,18.478,70.325,39.232,25.602,82.072,45.605,48.168,3.583,27.955,4.869,34.605,27.024,29.234,53.74,38.927,21.433,42.472,48.61,14.13,23.922,61.154,16.005,22.268,59.429,32.607,4.795,6.299,11.173,6.92,46.1,71.033,40.342,51.044,52.581,57.286,58.35,49.433,36.947,49.571,29.507,57.187,54.394,33.262,20.654,44.477,61.331,23.087,49.217,51.113,64.522,62.822,54.586,42.679,60.974,40.99,50.629,48.477,29.843,0,37.165,25.479,20.444,51.102,55.352,12.706,32.789,45.372,36.037,12.024,35.776,3.553,24.154,44.868,23.206,4.636,24.696,32.371,49.227,27.498,27.873,75.792,16.564,51.978,25.434,24.583,49.436,2.483,67.083,48.641,36.548,25.9,50.065,33.431,55.76,37.379,59.942,57.124,24.859,36.792,42.648,33.696,9.045,58.019,31.093,13.809,64.598,32.081,57.013,8.513,14.239,18.923,25.481,28.777,16.931,11.951,28.979,34.533,47.952,27.22,33.43,33.569,48.833,39.092,43.567,46.972,26.289,41.955,40.909,48.226,46.831,44.121, 
Temascalapa,12.959,23.074,85.816,23.561,35.344,86.435,9.558,34.027,50.275,27.367,30.396,14.943,29.497,36.533,75.855,43.766,6.835,17.474,40.83,31.355,22.733,50.564,62.92,49.768,24.91,62.63,59.06,23.518,88.324,26.314,28.667,91.979,52.046,27.968,8.312,41.455,37.014,21.072,72.891,17.952,50.826,29.077,47.842,15.325,57.782,5.845,84.059,81.65,43.967,96.603,23.303,75.015,31.84,5.978,34.674,74.199,26.074,30.251,81.549,26.204,107.862,45.146,28.979,27.738,23.838,25.831,89.694,43.674,48.605,25.468,48.326,7.747,17.186,91.288,12.897,63.93,92.422,28.926,26.246,24.216,48.518,10.207,41.282,6.835,93.834,42.58,21.739,37.165,0,59.395,48.835,44.824,49.075,41.985,33.465,21.34,53.771,40.451,18.492,35.046,20.684,110.679,73.799,32.725,59.864,40.894,42.95,74.049,23.751,27.634,22.463,46.764,12.944,33.909,83.897,35.997,20.962,83.102,14.401,32.293,29.596,41.165,23.973,48.595,51.43,50.846,70.286,46.59,10.238,14.169,28.072,51.741,15.801,34.771,22.437,49.237,25.226,37.9,80.587,70.533,59.397,8.659,22.203,58.704,49.432,45.39,41.674,55.937,45.106,53.323,29.6,41.367,78.028,61.123,66.253,67.846,56.421,68.704,51.932,38.907, 
San Bartolo,38.03,35.659,39.738,44.811,7.553,40.357,39.772,7.271,12.363,17.147,20.176,65.472,43.715,17.127,26.799,22.489,56.421,66.474,34.405,57.308,43.983,8.464,4.957,43.342,62.729,2.35,20.064,52.65,24.81,20.573,58.002,28.465,6.543,69.749,47.7,35.845,15.738,22.78,23.835,44.183,7.965,15.802,41.417,41.022,5.636,64.744,37.981,32.594,26.017,50.525,18.1,11.501,47.106,54.879,13.999,25.143,15.853,11.621,35.471,58.71,58.806,38.721,54.676,44.963,46.027,51.528,26.18,37.248,16.075,44.864,42.071,35.357,22.749,33.71,63.426,5.779,38.45,38.79,52.199,50.499,42.263,50.801,48.651,49.111,39.862,36.154,16.411,25.479,59.395,0,29.56,37.561,41.811,15.875,18.523,47.476,10.938,14.341,37.88,14.486,26.258,61.508,11.685,12.422,6.093,34.475,35.686,15.977,21.849,62.251,18.668,38.437,27.538,10.317,38.785,13.733,53.542,37.99,38.652,11.634,36.524,19.165,42.219,26.728,46.401,43.583,14.208,13.211,60.373,47.979,13.421,44.478,24.961,24.602,51.057,26.575,43.472,7.874,31.416,8.419,5.575,30.881,13.749,4.237,9.073,29.028,34.411,10.708,13.166,22.918,35.292,17.819,32.916,36.321,15.638,31.304,30.258,37.575,36.18,30.58, 
Tlapanaloya,22.284,14.11,71.285,40.282,25.635,71.904,40.958,24.318,30.71,15.754,12.109,53.442,61.355,35.474,37.205,22.648,55.358,64.676,52.045,82.347,39.454,32.438,31.486,60.982,67.874,31.196,44.529,76.964,64.431,9.196,73.061,68.086,30.517,62.339,41.352,53.485,18.006,26.187,33.723,32.837,31.939,29.556,59.057,36.518,26.348,54.184,69.528,42.984,4.468,82.072,13.766,51.122,45.422,44.319,18.572,35.153,16.364,20.542,67.018,70.347,69.196,56.361,42.647,62.603,45.907,39.499,65.801,54.888,34.422,47.537,59.711,26.96,23.26,76.757,51.396,32.496,77.891,42.508,77.238,81.929,59.903,60.523,92.274,58.834,79.303,53.794,27.718,20.444,48.835,29.56,0,55.553,59.803,31.537,33.236,44.92,40.488,30.003,16.328,17.465,11.254,73.722,52.06,23.064,32.836,8.35,53.678,56.352,26.112,71.816,19.176,56.429,20.467,24.265,70.615,26.336,73.691,69.82,40.152,25.563,43.567,37.509,36.577,49.189,64.393,61.575,53.713,41.243,40.055,31.934,18.411,62.47,29.331,7.835,80.481,44.567,39.197,27.452,29.096,47.777,29.559,23.286,19.543,28.866,33.057,47.02,52.403,34.692,37.508,51.009,53.284,50.224,64.746,70.788,52.97,63.134,63.138,70.455,61.597,48.572, 
Tequisistln,46.236,56.351,62.383,16.736,41.019,63.002,49.692,39.878,26.841,43.143,46.172,48.515,10.887,26.223,52.422,61.112,44.202,33.647,11.048,24.481,18.943,27.13,39.487,7.431,29.902,39.197,35.627,19.823,64.891,46.569,25.175,68.546,28.612,36.922,51.749,9.042,54.361,36.842,49.458,29.612,27.392,28.396,5.505,48.601,34.349,50.173,60.626,58.217,52.013,73.17,44.096,51.582,11.388,40.308,50.45,50.766,41.849,46.027,58.116,25.883,84.429,1.634,62.255,12.135,13.199,59.107,66.261,2.809,25.171,12.036,6.734,38.494,46.649,67.855,47.941,40.497,68.989,11.524,19.372,17.672,9.435,28.183,12.739,34.54,70.401,4.179,35.262,51.102,44.824,37.561,55.553,0,3.93,54.261,21.391,54.377,31.847,52.727,51.529,53.039,48.991,88.755,51.875,46.926,37.94,73.931,2.287,52.125,37.797,28.625,44.219,25.746,39.463,36.575,61.973,51.969,19.916,61.178,47.438,30.283,13.601,19.24,25.121,26.671,7.787,7.204,48.362,24.666,43.275,30.881,42.272,8.099,32.845,50.153,17.431,27.313,18.827,53.423,58.663,48.609,37.473,41.979,39.3,36.78,27.508,23.466,5.086,34.013,23.182,31.399,13.727,19.443,56.104,40.105,44.329,46.828,35.403,47.686,30.914,17.889, 
San Cristbal Nexquipayac,50.487,60.602,66.633,20.986,45.269,67.252,53.943,44.128,31.091,47.393,50.422,52.765,11.265,30.473,56.672,65.362,48.452,37.897,15.299,28.731,23.193,31.38,43.737,7.114,34.152,43.447,39.877,24.073,69.141,50.819,29.425,72.796,32.862,41.172,56,6.571,58.611,41.093,53.708,33.863,31.642,32.646,5.188,52.852,38.599,54.424,64.876,62.467,56.263,77.42,48.346,55.832,15.638,44.559,54.7,55.016,46.099,50.277,62.366,30.133,88.679,1.991,66.506,13.118,17.449,63.358,70.511,3.565,29.421,16.286,10.984,42.745,50.9,72.105,52.191,44.747,73.239,15.775,23.622,21.922,13.685,32.433,12.422,38.791,74.651,4.796,39.512,55.352,49.075,41.811,59.803,3.93,0,59.389,26.519,59.506,36.975,57.855,56.658,58.167,54.12,93.883,57.003,52.054,43.068,79.06,4.915,57.253,42.926,33.754,49.347,30.875,44.592,41.703,67.101,57.097,25.045,66.306,52.567,35.411,18.73,24.369,30.25,31.799,5.604,5.02,53.49,29.794,48.404,36.01,47.4,5.915,37.974,55.281,22.56,32.441,23.956,58.551,63.791,53.737,42.601,47.108,44.428,41.908,32.636,28.594,11.768,39.141,28.31,36.527,18.856,24.571,61.232,45.234,49.457,51.957,40.532,52.815,36.043,23.018, 
Santa Cruz del Monte,40.797,37.639,42.805,61.601,6.511,43.424,42.539,9.889,30.262,15.859,22.156,68.239,60.505,35.026,13.909,18.44,73.211,83.264,51.195,74.098,60.773,32.287,8.518,60.132,79.519,15.514,23.131,69.44,28.015,22.553,74.792,31.67,30.069,86.539,50.467,52.635,11.689,32.817,11.062,39.467,26.959,33.701,58.207,43.789,12.493,47.334,41.048,19.778,27.997,53.592,20.867,14.706,63.896,37.469,11.764,12.37,15.248,11.361,38.538,75.5,45.99,55.511,57.443,61.753,62.817,54.295,29.385,54.038,33.974,61.654,58.861,38.124,25.516,36.915,66.193,15.525,41.655,55.58,68.989,67.289,59.053,67.591,65.441,65.901,43.067,52.944,34.31,12.706,41.985,15.875,31.537,54.261,59.389,0,38.462,49.452,28.904,1.61,39.856,11.598,28.234,50.79,15.512,11.113,17.002,36.451,54.9,19.804,31.953,81.465,20.644,50.871,29.514,30.256,41.742,9.591,72.756,40.947,40.628,31.573,55.738,39.104,61.433,29.685,65.615,62.797,17.165,28.203,46.728,37.776,13.125,63.692,35.173,21.854,70.271,24.387,62.686,3.432,20.683,6.497,31.154,32.857,19.417,9.887,30.747,26.839,53.625,19.526,32.668,25.875,54.506,31.398,35.873,39.278,18.595,34.261,33.215,40.532,39.137,49.794, 
Santa Mara Tonanitla,34.876,44.991,43.749,17.254,21.981,44.368,38.333,20.84,7.799,20.826,23.855,61.692,27.635,1.761,34.109,42.799,30.49,50.394,11.219,41.228,16.426,8.416,20.449,27.262,46.649,20.159,15.962,36.57,41.894,24.252,41.922,45.549,9.898,53.669,40.39,18.949,36.048,11.89,31.145,16.627,8.678,4.318,25.337,37.242,15.311,38.814,41.992,39.904,29.696,54.536,19.989,28.585,15.202,28.949,28.133,32.453,19.532,23.71,39.482,42.63,66.116,22.641,50.896,28.883,20.58,47.748,43.264,21.168,7.683,28.784,25.991,24.198,16.404,49.221,59.646,14.717,50.355,12.288,36.119,34.419,26.183,24.87,32.571,23.18,51.767,20.074,12.784,32.789,33.465,18.523,33.236,21.391,26.519,38.462,0,45.494,28.35,35.666,42.645,27.192,29.161,71.695,48.378,24.871,14.991,37.97,21.072,48.628,16.565,46.903,19.158,24.886,19.633,10.923,58.476,28.657,38.194,57.681,38.554,8.139,6.901,9.262,13.782,23.781,29.552,28.968,44.865,11.685,34.391,19.527,20.217,29.863,21.506,28.097,35.709,32.429,12.132,24.135,41.603,45.112,11.523,27.519,15.01,18.61,9.177,20.576,19.796,30.516,9.261,28.509,5.998,16.553,52.607,39.245,40.832,50.995,34.543,46.826,30.054,17.029, 
Tolcayuca,9.567,13.217,96.297,34.042,43.551,96.916,13.463,42.234,60.756,35.574,54.349,24.621,60.451,47.015,86.336,67.263,27.863,37.057,51.311,68.467,33.214,61.045,49.402,60.249,53.994,49.112,69.541,63.084,98.805,46.108,59.181,102.46,62.527,48.459,25.508,51.936,45.221,26.867,83.372,28.433,61.307,37.284,58.323,9.023,44.264,26.689,94.54,92.131,40.815,107.084,31.51,85.496,42.322,16.824,42.881,84.68,34.281,38.458,92.03,56.467,118.343,55.627,13.826,61.699,39.667,10.678,100.175,54.155,59.086,41.297,58.807,19.766,25.393,101.769,22.575,50.412,102.903,39.408,63.358,68.049,58.999,33.028,78.394,31.339,104.315,53.061,29.946,45.372,21.34,47.476,44.92,54.377,59.506,49.452,45.494,0,67.004,51.711,8.594,46.306,19.469,116.683,87.032,43.985,73.097,30.507,56.183,87.282,29.849,50.48,33.723,59.997,24.204,40.006,97.13,47.257,52.355,96.335,16.861,38.39,42.829,54.398,37.206,61.828,69.983,64.079,83.519,59.823,16.764,30.558,39.332,64.974,29.034,45.978,59.145,62.47,38.459,49.16,76.613,83.766,50.48,20.531,33.463,49.787,62.665,58.623,54.907,69.17,58.339,66.556,42.833,54.6,91.261,74.356,79.486,81.079,69.654,81.937,65.165,52.14, 
Fraccionamiento Paseos de Tultepec II,55.183,46.59,33.974,39.187,25.954,34.593,58.639,24.813,12.924,28.078,31.107,81.998,38.091,12.306,37.357,46.047,50.797,60.85,28.781,51.684,38.359,7.658,24.422,37.718,57.105,10.581,7.218,47.026,26.78,31.504,52.378,30.435,8.884,64.125,60.696,30.221,39.296,34.063,34.393,38.559,7.64,14.479,35.793,57.548,19.284,59.12,32.217,43.152,36.948,44.761,29.031,23.173,41.482,49.255,35.385,35.701,26.784,30.962,29.707,53.086,55.721,33.097,71.202,39.339,40.403,68.054,28.15,31.624,11.254,39.24,36.447,47.441,33.68,39.446,79.952,8.039,40.58,33.166,46.575,44.875,36.639,45.177,43.027,43.487,41.992,30.53,27.694,36.037,53.771,10.938,40.488,31.847,36.975,28.904,28.35,67.004,0,25.937,63.382,39.146,37.916,62.093,23.449,33.033,6.639,46.133,30.441,19.676,24.914,57.006,30.326,33.192,39.196,22.682,33.547,38.076,48.297,32.752,59.291,23.999,31.279,12.252,36.974,12.122,41.156,38.338,15.913,4.465,55.128,42.734,28.379,39.233,44.698,36.26,45.812,7.5,38.227,26.633,44.77,20.183,6.217,53.832,25.407,22.887,4.567,9.953,29.166,4.479,7.99,13.942,30.047,9.073,27.678,32.134,15.903,26.066,26.071,33.388,38.36,25.335, 
