LOCALIDADES,Huitzililla,San Juan Tejupa,Tlayecac,San Lucas Colucan,Matzaco,Metepec,Xochitln,Tecomatln,Oacalco,Santa Teresa,Fraccionamiento Lomas de Cocoyoc,Tlapanal,Tilapa,San Antonio Alpanocan,Atenango del Ro,San Nicols Tolentino,Chinameca,Mayanaln,San Gabriel las Palmas,Huaquechula,Cacaloxchitl,Tzicatln,Tetecalita,Ayutla (San Felipe Ayutla),Taxco el Viejo,Atotonilco,Tetelilla,Unidad Habitacional Rinconada Acolapa,Ixtlilco el Grande,Tochimilco,Atlacahualoya,Huatecalco,Cuentepec,Villa Santiago,Zacualpan de Amilpas,San Andrs Tlalamac,Amilcingo,Tequesquitengo,Jaloxtoc,San Juan Raboso,Moyotepec,Unidad Habitacional Jos Mara Morelos y Pavn,Huazulco,Jumiltepec,Pea Flores (Palo Verde),Ticumn,San Juan Amecac,Acuitlapn,Tlancualpican,La Galarza,Escape de Lagunillas,Atlacholoaya,San Jos Vista Hermosa,Crucero Tezoyuca,Santa Catarina,Telixtac,Tezoyuca,Higuern,Mazatepec,Jantetelco,Calmeca (San Juan Calmeca),Huehuetln el Chico,Tepeojuma,Tilzapotla,Ocuituco,Xochihuehuetln,Tetecala,Tlacotepec,Tulcingo de Valle,Amayuca,Acamixtla,Amacuzac,Calera Chica,Los Arcos,Tehuitzingo,Pedro Amaro,Tlatenchi,Chietla,Temoac,Totolapan,Tlamacazapa,Tepecoacuilco de Trujano,Tehuixtla,Hueyapan (San Andrs Hueyapan),Ciudad Ayala,Copalillo,Oaxtepec,Jolalpan,Ecatzingo de Hidalgo,Chiconcuac,Buenavista de Cullar,Miacatln,Independencia,Atlatlahucan,Tlayacapan,Tenextepango,Jonacatepec,Alpuyeca,Fraccionamiento Lomas de Ahuatln,Coatetelco,Cocoyoc,Tetela del Volcn,Ciudad de Chiautla de Tapia,Tlaltizapn,Unidad Habitacional Jos Mara Morelos y Pavn,San Nicols Galeana,Anenecuilco,Atencingo,Tepalcingo,San Pedro Apatlaco,Juan Morales,La Joya,Tepoztln,Progreso,Santa Rosa Treinta,Yecapixtla,Ciudad de Huitzuco,Axochiapan,Tres de Mayo,Tlaquiltenango,Jojutla,Xochitepec,Xoxocotla,Puente de Ixtla,Zacatepec de Hidalgo,Yautepec de Zaragoza,Izcar de Matamoros,Emiliano Zapata,Taxco de Alarcn,Temixco,Iguala de la Independencia,Cuautla,Jiutepec,Cuernavaca, 
Fraccionamiento Lomas de Cocoyoc,35.164,77.691,27.514,91.028,84.823,39.557,30.179,157.114,13.719,165.114,0,77.939,74.518,52.327,162.621,83.392,45.644,179.544,95.424,83.981,106.533,76.801,76.961,84.432,151.71,48.618,51.545,30.941,63.629,71.401,64.474,47.266,88.194,36.61,47.227,35.885,44.241,100.344,34.007,86.152,32.388,61.392,43.456,39.449,12.798,35.851,65.88,128.416,81.626,102.536,77.066,76.444,88.183,73.235,31.263,62.496,71.914,60.411,92.095,41.143,62.312,88,97.474,108.755,38.581,199.94,96.726,51.141,181.965,39.064,140.906,100.474,39.112,14.235,126.7,58.662,59.687,84.92,45.387,20.693,138.33,163.681,99.937,54.327,27.931,175.775,5.714,93.709,45.439,74.085,126.114,92.183,30.522,16.599,12.437,31.179,42.918,78.605,48.519,88.131,10.605,45.099,101.818,44.571,74.78,58.051,26.064,87.211,54.331,23.865,21.321,28.935,29.239,33.635,52.384,28.195,158.377,69.736,63.799,52.833,56.215,69.299,84.132,92.498,54.649,17.953,81.586,40.856,137.97,64.462,154.27,19.086,39.09,48.041, 
Tlapanal,57.285,21.832,49.227,27.242,21.038,63.88,77.775,93.329,76.257,226.66,77.939,0,16.06,36.881,138.284,23.574,81.634,244.792,160.672,11.372,13.129,50.366,142.209,24.613,216.958,51.929,43.578,95.995,57.286,28.256,49.427,102.206,153.442,101.859,50.853,92.824,43.98,165.592,58.992,20.012,75.365,116.332,47.081,75.563,71.62,100.904,27.435,193.664,43.512,10.494,36.095,141.692,153.431,138.483,96.512,47.449,137.162,116.565,157.343,41.966,20.192,52.478,12.319,174.003,66.682,133.801,161.974,54.766,115.826,43.614,206.154,165.722,104.165,79.289,60.561,114.816,114.627,26.604,49.013,82.857,203.578,228.929,165.185,35.903,70.908,130.74,74.417,74.441,80.201,139.333,191.362,157.431,95.575,77.147,81.104,69.469,46.229,143.853,113.767,153.379,71.752,66.053,66.296,99.511,140.028,112.991,69.041,28.895,57.642,65.645,63.46,93.989,94.488,98.689,107.324,69.712,223.625,54.689,129.047,107.773,111.155,134.547,149.38,157.746,109.589,83.007,15.446,105.909,203.218,129.71,219.518,64.646,104.143,113.289, 
Tilapa,53.864,37.376,45.806,16.162,11.425,60.459,74.354,89.433,72.836,223.239,74.518,16.06,0,61.936,122.224,8.873,76.312,239.47,155.35,26.462,36.497,34.306,136.887,9.913,211.636,46.607,38.256,90.673,51.964,59.304,44.105,96.884,148.12,96.537,45.531,87.502,38.658,160.27,53.67,16.117,70.043,111.01,41.759,70.241,66.298,95.582,56.728,188.342,27.452,32.5,20.035,136.37,148.109,133.161,91.19,42.127,131.84,111.243,152.021,36.644,14.87,36.418,27.438,168.681,61.36,129.905,156.652,49.444,111.93,38.292,200.832,160.4,98.843,73.967,56.665,109.494,109.305,10.544,43.691,77.535,198.256,223.607,159.863,61.861,65.586,114.68,69.095,58.381,74.879,134.011,186.04,152.109,90.253,71.825,75.782,64.147,40.907,138.531,108.445,148.057,66.43,60.731,50.236,94.189,134.706,107.669,63.719,12.835,52.32,60.323,58.138,88.667,89.166,93.367,102.002,64.39,218.303,31.794,123.725,102.451,105.833,129.225,144.058,152.424,104.267,77.685,11.55,100.587,197.896,124.388,214.196,59.324,98.821,107.967, 
San Antonio Alpanocan,42.979,28.157,34.921,78.867,72.662,10.504,23.68,144.953,50.972,201.375,52.327,36.881,61.936,0,198.099,68.816,63.257,215.022,130.902,32.573,43.326,62.225,112.439,69.856,187.188,34.464,37.391,66.186,49.475,21.614,49.898,82.51,123.672,72.089,16.878,30.917,23.174,135.822,40.615,71.575,52.533,96.636,22.36,18.676,41.811,71.095,9.489,163.894,67.05,61.509,62.49,111.922,123.661,108.713,66.742,47.92,107.392,95.655,127.573,26.052,47.735,73.424,53.871,144.233,17.19,185.364,132.204,12.591,167.389,24.564,176.384,135.952,74.356,49.48,112.124,93.906,94.931,70.344,18.358,41.354,173.808,199.159,135.415,2.363,48.076,135.855,44.646,79.555,22.209,109.563,161.592,127.661,65.766,35.644,49.787,51.091,28.764,114.083,83.997,123.609,41.982,8.061,87.242,79.815,110.258,93.295,46.209,72.635,40.177,47.267,45.083,64.18,64.718,68.88,87.628,24.703,193.855,55.16,99.277,88.077,91.459,104.777,119.61,127.976,89.893,53.198,67.009,76.1,173.448,99.94,189.748,36.129,74.334,83.519, 
Atenango del Ro,127.68,226.141,175.964,126.79,127.153,188.008,178.63,149.127,151.38,71.208,162.621,138.284,122.224,198.099,0,124.598,109.513,63.289,84.048,149.288,153.807,89.231,103.379,123.016,88.097,112.162,107.602,119.156,96.325,217.361,97.975,86.287,106.62,120.484,192.86,189.984,189.874,70.464,131.35,133.389,108.791,75.121,189.089,185.409,142.823,98.242,211.513,117.04,102.838,149.81,103.557,104.022,75.791,99.653,124.805,99.105,98.332,82.325,94.823,186.776,127.619,81.897,144.748,79.558,184.541,119.239,97.672,196.774,133.831,184.697,129.53,89.098,105.534,136.067,173.937,80.576,74.999,114.087,191.02,170.416,126.954,56.356,70.74,200.287,113.66,13.246,157.024,65.181,199.538,99.609,92.72,101.863,119.803,166.321,162.16,114.736,116.213,86.837,114.04,96.583,141.91,191.059,81.004,88.428,101.198,76.071,112.791,110.098,106.373,119.242,166.954,120.495,139.261,116.851,86.207,174.155,37.796,92.434,102.671,80.913,77.185,97.139,80.368,81.122,80.282,131.042,128.861,106.003,126.594,102.251,68.711,164.719,115.037,109.664, 
San Nicols Tolentino,62.738,44.89,54.68,7.288,2.818,69.333,83.228,84.301,81.71,232.113,83.392,23.574,8.873,68.816,124.598,0,88.727,251.885,167.765,33.715,34.402,36.682,149.302,1.039,224.051,59.022,50.671,103.088,44.209,57.209,39.236,109.299,160.535,108.952,57.946,99.917,51.073,172.685,66.085,10.977,82.458,123.425,54.174,82.656,78.713,107.997,69.143,200.757,25.087,30.405,22.411,148.785,160.524,145.576,103.605,54.542,144.255,123.658,164.436,49.059,27.285,34.053,25.343,181.096,73.775,124.765,169.067,61.859,106.79,50.707,213.247,172.815,111.258,86.382,51.525,121.909,121.72,9.229,56.106,89.95,210.671,236.022,172.278,74.276,78.001,117.056,81.51,60.757,87.294,146.426,198.455,164.524,102.668,84.24,88.197,76.562,53.322,150.946,120.86,160.472,78.845,73.146,47.871,106.604,147.121,120.084,76.134,15.211,49.757,72.738,70.553,101.082,101.581,105.782,114.417,76.805,230.718,34.17,136.14,114.866,118.248,141.64,156.473,164.839,116.682,90.1,9.456,113.002,210.311,136.803,226.611,71.739,111.236,120.382, 
Chinameca,19.643,79.907,27.344,93.243,87.038,55.698,46.32,159.329,44.83,130.384,45.644,81.634,76.312,63.257,109.513,88.727,0,131.32,49.436,81.954,104.505,43.659,34.32,82.405,106.974,27.454,32.523,53.156,31.77,80.742,37.51,22.606,62.364,76.231,45.2,57.603,42.214,40.27,22.306,84.124,14.052,36.732,41.429,57.378,33.044,26.082,63.853,83.68,48.895,100.508,49.613,36.104,39.73,39.949,70.884,31.481,40.424,35.938,52.705,36.459,60.284,55.269,95.446,56.182,50.44,197.913,57.336,49.114,179.938,37.037,96.17,53.336,46.882,40.744,124.673,34.189,35.027,60.143,43.36,47.636,93.87,124.387,47.364,61.531,18.271,123.225,48.789,61.851,67.506,42.083,81.654,55.42,52.737,41.926,55.476,19.348,31.505,43.848,62.012,48.741,46.124,57.619,69.086,19.911,48.95,33.391,20.61,56.154,21.189,23.853,29.562,51.151,68.86,55.85,27.724,44.084,105.827,37.456,50.643,28.173,31.555,44.891,35.177,46.103,29.989,43.215,79.558,47.35,93.234,49.052,109.81,29.355,52.206,57.636, 
Mayanaln,148.929,243.064,192.887,256.401,250.196,204.931,195.553,322.487,168.303,12.157,179.544,244.792,239.47,215.022,63.289,251.885,131.32,0,84.856,244.742,267.294,152.343,118.507,245.193,50.863,169.41,212.306,134.284,173.726,232.489,225.235,119.198,122.096,135.613,207.988,205.112,205.002,103.375,194.768,246.913,141.702,108.032,204.217,200.537,157.951,131.153,226.641,85.721,190.851,263.297,191.569,119.15,95.898,114.781,139.934,173.437,113.46,115.236,101.345,201.904,223.073,197.225,258.235,111.786,199.669,182.351,98.784,211.902,342.726,199.825,74.569,79.279,120.663,151.195,287.461,113.487,107.91,245.681,206.148,185.544,79.014,16.482,102.968,215.415,146.571,76.358,172.152,128.293,214.666,114.737,55.485,105.821,134.931,181.449,177.288,147.647,203.679,102.313,129.169,106.168,157.038,206.187,144.116,121.339,116.326,103.22,145.702,247.972,163.144,185.494,182.082,135.623,154.389,131.979,111.078,189.283,26.129,179.412,117.799,113.824,110.096,112.267,103.635,88.012,104.043,146.17,242.347,121.132,65.175,117.38,31.476,179.847,130.165,124.793, 
San Gabriel las Palmas,67.045,158.944,108.767,172.281,166.076,120.811,111.433,238.367,84.183,72.816,95.424,160.672,155.35,130.902,84.048,167.765,49.436,84.856,0,164.461,187.013,91.597,38.226,164.912,58.077,75.392,80.461,54.004,79.708,152.208,85.448,28.047,38.087,55.332,127.707,124.831,124.721,16.212,114.487,166.632,49.813,22.037,123.936,120.256,77.671,39.264,146.36,34.783,96.833,183.016,97.551,29.904,11.889,34.5,59.653,79.419,33.179,28.779,17.336,121.623,142.792,103.207,177.954,22.037,119.388,280.42,17.972,131.621,262.445,119.544,47.273,4.439,40.382,70.915,207.18,27.03,26.141,165.4,125.867,105.263,45.069,70.42,13.34,135.134,54.682,104.486,91.871,109.789,134.385,27.545,32.853,21.812,54.651,101.168,97.007,55.758,123.398,18.304,48.888,22.158,76.758,125.906,117.024,29.654,36.045,19.211,53.812,104.092,69.126,60.264,101.801,55.343,74.108,51.699,26.588,109.002,87.088,85.394,37.518,25.457,23.64,27.405,19.145,3.821,20.034,65.89,162.066,40.851,44.337,34.772,61.009,99.566,49.885,44.512, 
Huaquechula,63.327,10.495,55.269,38.23,32.026,40.537,83.817,104.317,82.299,232.702,83.981,11.372,26.462,32.573,149.288,33.715,81.954,244.742,164.461,0,10.038,63.962,144.417,35.413,219.166,54.137,45.786,98.203,59.494,16.899,51.635,104.414,155.65,104.067,37.13,60.911,46.188,167.8,61.2,30.812,77.573,118.54,37.957,48.67,73.828,103.112,18.339,195.872,54.312,22.83,46.895,143.9,155.639,140.691,98.72,49.657,139.37,118.773,159.551,44.174,22.401,63.278,15.192,176.211,47.184,144.601,164.182,32.637,126.626,45.822,208.362,167.93,106.373,81.497,71.361,117.024,116.835,37.404,51.221,85.065,205.786,231.137,167.393,30.887,73.116,141.746,76.625,85.446,52.203,141.541,193.57,159.639,97.783,79.355,83.312,71.677,48.437,146.061,115.975,155.587,73.96,38.055,77.096,101.719,142.236,115.199,71.249,39.695,59.85,67.853,65.668,96.197,96.696,100.897,109.532,71.92,225.833,56.897,131.255,109.981,113.363,136.755,151.588,159.954,111.797,85.215,26.246,108.117,205.426,131.918,221.726,66.854,106.351,115.497, 
Cacaloxchitl,85.878,20.537,77.82,38.844,32.639,51.29,106.369,104.93,104.851,255.254,106.533,13.129,36.497,43.326,153.807,34.402,104.505,267.294,187.013,10.038,0,65.879,166.942,35.433,241.691,76.662,68.311,120.728,82.019,21.835,74.16,126.939,178.175,126.592,75.586,117.557,68.713,190.325,83.725,31.715,100.098,141.065,71.814,59.432,96.353,125.637,28.383,218.397,59.025,17.194,51.608,166.425,178.164,163.216,121.245,72.182,161.895,141.298,182.076,66.699,44.925,67.991,9.556,198.736,91.415,145.503,186.707,79.499,127.528,68.347,230.887,190.455,128.898,104.022,72.263,139.549,139.36,42.117,73.746,107.59,228.311,253.662,189.918,41.649,95.641,146.253,99.15,89.954,62.965,164.066,216.095,182.164,120.308,101.88,105.837,94.202,70.962,168.586,138.5,178.112,96.485,48.817,81.809,124.244,164.761,137.724,93.774,44.408,82.375,90.378,88.193,118.722,119.221,123.422,132.057,94.445,248.358,63.367,153.78,132.506,135.888,159.28,174.113,182.479,134.322,107.74,25.699,130.642,227.951,154.443,244.251,89.379,128.876,138.022, 
