LOCALIDADES,San Juan del Estado,San Juan Teitipac,Asuncin Ocotln,Santa Ana Zegache,Macuilxchitl de Artigas Carranza,Yaxe,Ixtln de Jurez,Villa Daz Ordaz,San Pedro Ixtlahuaca,Cinega de Zimatln,Tamazulpam del Espritu Santo,San Pedro Quiatoni,San Miguel del Valle,Magdalena Apasco,San Jos del Progreso,San Lucas Camotln,Coatecas Altas,San Juan Guelava,La Soledad Salinas,San Miguel Tilquipam,San Francisco Tutla,San Francisco Lachigol,San Baltazar Guelavila,Soledad Etla,Santiago Matatln,Santa Mara Tlahuitoltepec,nimas Trujano,Santa Luca Ocotln,Ayotzintepec,Santiago Apstol,San Pablo Etla,San Juan Cotzocn,San Agustn Etla,San Agustn Yatareni,Ayoquezco de Aldama,Nazareno Etla,San Miguel Quetzaltepec,San Juan Bautista Cuicatln,Reyes Mantecn,San Bartolo Coyotepec,Magdalena Teitipac,San Pablo Guil,San Andrs Huaypam,Teotitln del Valle,Santiago Etla,San Sebastin Tutla,Viguera,San Felipe Usila,San Antonino Castillo Velasco,San Dionisio Ocotepec,San Juan Bautista Valle Nacional,San Pablo Huitzo,Villa de Tamazulpam del Progreso,San Agustn de las Juntas,Santiago Suchilquitongo,Villa de Etla,San Lorenzo Cacaotepec,Santa Mara del Tule,Hacienda Blanca,San Pablo Villa de Mitla,San Pablo Huixtepec,Tlalixtac de Cabrera,Heroica Ciudad de Ejutla de Crespo,Santa Cruz Amilpas,San Francisco Telixtlahuaca,Zimatln de lvarez,El Rosario,Cuilpam de Guerrero,Asuncin Nochixtln,Vicente Guerrero,Tlacolula de Matamoros,San Jacinto Amilpas,Villa de Zaachila,Ocotln de Morelos,San Antonio de la Cal,Santa Mara Atzompa,Santa Luca del Camino,Santa Cruz Xoxocotln,Oaxaca de Jurez, 
San Juan Bautista Cuicatln,101.926,145.146,165.024,149.513,140.546,187.296,182.651,155.323,124.653,139.667,225.111,235.062,158.774,96.169,167.609,287.05,188.238,147.874,248.258,172.902,125.281,140.426,182.105,108.756,165.829,238.915,127.89,161.425,314.031,153.98,111.244,291.5,105.499,124.693,174.172,101.703,276.647,0,144.9,138.517,160.626,184.679,133.348,153.688,113.263,132.246,119.21,221.357,163.208,180.709,288.634,90.668,186.383,132.53,95.242,108.099,119.104,136.639,116.415,168.869,158.8,135.837,190.144,132.481,87.473,153.769,132.62,137.855,138.076,142.173,156.886,122.002,139.147,165.643,131.016,123.803,130.093,132.433,124.121, 
Reyes Mantecn,47.209,26.248,33.922,11.798,38.574,46.213,82.192,53.351,29.753,6.458,123.139,133.09,56.802,42.838,36.507,185.078,57.136,36.734,146.286,31.819,24.822,38.454,80.133,37.529,63.857,136.943,11.014,30.323,285.657,16.265,30.933,189.528,37.185,24.233,36.457,38.781,174.675,144.9,0,6.588,31.565,53.782,25.21,45.241,32.739,22.593,28.814,338.975,19.101,72.262,187.499,52.462,148.583,12.911,47.744,37.541,32.686,28.192,32.166,60.422,14.694,27.39,52.201,19.792,55.467,9.662,18.448,17.873,100.276,4.229,48.439,24.028,10.847,21.536,15.345,25.79,20.2,17.721,23.035, 
San Bartolo Coyotepec,40.826,25.866,33.54,18.03,32.191,55.812,75.809,46.968,23.37,12.69,116.756,126.707,50.419,36.455,36.125,178.695,56.754,39.519,139.903,41.418,18.439,32.071,73.75,31.146,57.474,130.56,4.631,29.941,279.274,22.497,24.55,183.145,30.802,17.85,42.689,32.398,168.292,138.517,6.588,0,46.002,70.055,19.033,39.064,26.561,16.416,22.636,332.798,25.62,66.085,181.322,46.284,142.405,6.733,41.566,31.363,26.508,22.015,25.988,54.245,21.212,21.213,52.556,13.614,49.289,16.181,12.27,11.7,94.098,4.585,42.262,17.85,6.666,28.055,9.168,19.612,14.023,11.543,16.857, 
Magdalena Teitipac,62.934,6.036,44.115,29.303,15.304,63.378,87.963,20.161,46.123,37.667,95.719,105.67,23.612,58.564,46.7,157.658,67.329,6.305,118.866,39.803,29.847,19.887,52.713,53.254,36.437,109.523,41.998,40.516,291.428,31.96,46.658,162.108,52.91,32.588,62.906,54.506,147.255,160.626,31.565,46.002,0,48.306,35.396,17.315,48.545,29.618,44.621,345.913,29.704,44.336,194.437,68.268,164.389,39.537,63.55,53.347,48.493,24.175,47.973,32.496,45.765,29.554,62.723,31.123,71.274,40.734,33.005,42.767,116.082,28.262,20.513,42.54,35.741,39.087,35.741,42.363,31.791,42.173,37.73, 
San Pablo Guil,86.987,51.357,39.514,42.563,39.357,16.261,112.016,35.432,70.176,52.041,85.421,95.372,38.883,82.617,45.07,147.36,65.699,42.302,98.184,22.647,53.9,43.94,32.031,77.307,13.144,99.225,66.051,38.886,315.481,37.613,70.711,151.81,76.963,56.641,68.196,78.559,136.957,184.679,53.782,70.055,48.306,0,59.633,39.553,72.782,53.855,68.858,370.15,33.805,6.369,218.674,92.505,188.626,69.612,87.787,77.584,72.73,48.412,72.21,22.029,46.343,53.791,60.734,55.36,95.511,49.661,57.242,74.574,140.319,60.069,28.826,66.777,67.548,32.196,59.978,66.6,56.028,66.41,61.967, 
San Andrs Huaypam,35.657,26.665,52.163,36.652,22.065,74.288,58.632,36.841,18.845,31.312,106.629,116.58,40.292,31.286,54.748,168.568,75.377,29.392,129.776,60.041,6.8,21.945,63.623,25.977,47.347,120.433,15.029,48.564,262.097,41.119,19.381,173.018,25.633,3.589,61.311,27.229,158.165,133.348,25.21,19.033,35.396,59.633,0,28.428,21.111,6.986,17.186,320.211,44.292,55.449,168.735,40.834,136.955,13.615,36.116,25.913,21.058,11.379,20.538,43.609,39.884,8.611,71.228,7.221,43.839,34.853,7.36,20.161,88.648,23.257,31.626,15.106,21.452,46.727,10.096,14.928,4.833,14.739,10.296, 
Teotitln del Valle,55.996,20.366,72.194,56.683,3.51,54.208,64.899,16.76,39.185,51.343,86.548,96.499,20.211,51.626,74.779,148.487,95.408,11.311,109.696,60.594,22.909,12.949,43.543,46.316,27.267,100.352,35.06,68.595,268.364,61.15,39.72,152.937,45.972,25.65,81.342,47.568,138.084,153.688,45.241,39.064,17.315,39.553,28.428,0,41.435,22.508,37.511,322.816,45.646,35.375,171.34,61.158,157.279,32.427,56.44,46.237,41.383,17.065,40.863,23.535,58.696,22.444,78.665,24.013,64.164,53.665,25.895,40.485,108.972,42.069,11.552,35.43,41.776,55.029,28.631,35.253,24.681,35.063,30.62, 
Santiago Etla,16.268,39.814,59.692,44.181,35.214,81.964,77.319,49.99,19.321,34.335,119.778,129.729,53.441,11.898,62.277,181.717,82.906,42.541,142.925,67.57,19.949,35.094,76.772,6.588,60.496,133.582,22.558,56.093,280.784,48.648,5.912,186.167,6.244,19.361,68.84,7.84,171.314,113.263,32.739,26.561,48.545,72.782,21.111,41.435,0,18.572,5.536,333.748,49.534,67.035,182.272,23.319,118.476,18.856,18.601,8.398,5.43,22.965,2.741,55.195,45.126,22.163,76.47,18.807,26.324,40.095,18.946,24.181,70.169,28.499,43.212,8.328,25.473,51.969,17.342,10.129,16.419,18.759,10.447, 
San Sebastin Tutla,34.554,20.886,49.546,34.035,16.286,68.51,59.601,31.063,17.742,28.695,100.851,110.802,34.514,30.184,52.131,162.79,72.76,23.614,123.998,57.424,2.047,16.166,57.845,24.874,41.569,114.655,12.412,45.947,263.066,38.502,18.278,167.24,24.53,4.208,58.694,26.126,152.387,132.246,22.593,16.416,29.618,53.855,6.986,22.508,18.572,0,16.224,317.516,41.154,49.559,166.04,39.872,135.993,10.477,35.154,24.951,20.096,5.489,19.576,37.719,36.746,4.784,68.09,3.806,42.877,31.715,3.945,17.035,87.686,20.119,25.736,12.161,18.326,43.589,6.681,13.923,2.731,11.613,9.333, 
Viguera,21.519,35.889,55.767,40.256,31.289,78.039,73.395,46.066,15.396,30.41,115.854,125.805,49.517,17.148,58.352,177.793,78.981,38.617,139.001,63.645,16.025,31.169,72.848,11.839,56.572,129.658,18.633,52.168,276.86,44.723,2.801,182.243,11.495,15.436,64.915,13.091,167.39,119.21,28.814,22.636,44.621,68.858,17.186,37.511,5.536,16.224,0,331.407,47.194,64.694,179.931,26.734,122.855,16.516,22.016,11.813,6.958,20.624,6.438,52.854,42.786,19.822,74.13,16.467,29.739,37.755,16.606,21.841,74.548,26.159,40.871,5.987,23.133,49.629,15.002,7.788,14.079,16.419,8.106, 
San Felipe Usila,322.137,337.181,365.928,350.417,332.581,384.805,259.143,323.943,332.918,345.077,417.146,427.097,327.305,316.38,368.513,479.085,389.142,339.909,440.293,373.806,315.909,332.462,374.14,328.967,357.864,430.95,328.794,362.329,170.204,354.884,331.455,418.053,325.71,316.209,375.076,321.914,468.682,221.357,338.975,332.798,345.913,370.15,320.211,322.816,333.748,317.516,331.407,0,358.599,366.145,151.978,306.384,315.615,327.922,310.958,323.815,335.366,322.075,332.131,354.305,354.191,317.004,385.535,320.15,303.189,349.16,320.289,334.468,321.772,337.564,342.322,329.413,335.759,361.034,323.025,329.236,318.787,329.046,324.603, 
San Antonino Castillo Velasco,65.517,24.088,7.751,7.883,56.882,26.328,100.5,67.631,48.061,17.36,117.62,127.571,71.082,61.146,15.437,179.559,36.066,34.574,130.383,11.934,43.13,36.602,64.23,55.837,45.343,131.424,29.322,9.253,303.965,4.668,49.241,184.009,55.493,42.541,35.251,57.089,169.156,163.208,19.101,25.62,29.704,33.805,44.292,45.646,49.534,41.154,47.194,358.599,0,38.603,202.801,67.764,163.885,28.213,63.046,52.843,47.988,43.494,47.468,54.263,13.452,42.692,31.075,35.093,70.769,15.896,33.75,32.146,115.578,18.67,63.741,39.33,26.36,2.221,30.647,41.092,35.502,33.022,38.337, 
San Dionisio Ocotepec,83.017,47.387,44.277,47.326,35.387,21.024,108.046,31.462,66.206,56.804,81.451,91.402,34.913,78.647,49.833,143.39,70.462,38.332,94.214,27.41,49.93,39.97,28.061,73.337,9.175,95.255,62.081,43.649,311.511,42.376,66.741,147.84,72.993,52.671,72.959,74.589,132.987,180.709,72.262,66.085,44.336,6.369,55.449,35.375,67.035,49.559,64.694,366.145,38.603,0,214.705,88.536,184.657,59.805,83.818,73.615,68.761,44.443,68.241,18.06,51.106,49.822,65.497,51.391,91.542,54.424,53.273,67.863,136.35,64.832,24.857,62.808,72.311,36.959,56.009,62.631,52.059,62.441,57.998, 
San Juan Bautista Valle Nacional,198.254,185.705,214.452,198.941,181.105,233.329,107.667,172.467,181.442,193.601,265.67,275.621,175.829,193.884,217.037,327.609,237.666,188.433,288.817,222.33,164.433,180.986,222.664,188.574,206.388,279.474,177.318,210.853,97.345,203.408,181.978,332.059,188.23,164.733,223.6,189.826,317.206,288.634,187.499,181.322,194.437,218.674,168.735,171.34,182.272,166.04,179.931,151.978,202.801,214.705,0,203.499,299.62,176.28,198.781,188.578,183.724,170.433,183.204,202.663,202.549,165.362,233.893,168.508,206.504,197.518,168.647,182.826,251.313,185.922,190.68,177.771,184.117,209.392,171.383,177.594,167.145,177.404,172.961, 
San Pablo Huitzo,16.317,59.537,79.415,63.904,54.937,101.687,97.042,69.713,39.044,54.058,139.501,149.452,73.164,10.559,82,201.44,102.629,62.264,162.648,87.293,39.672,54.817,96.495,23.147,80.219,153.305,42.281,75.816,300.507,68.371,25.635,205.89,19.89,39.084,88.563,16.094,191.037,90.668,52.462,46.284,68.268,92.505,40.834,61.158,23.319,39.872,26.734,306.384,67.764,88.536,203.499,0,98.205,40.103,4.572,16.369,26.677,44.212,23.988,76.442,66.373,43.41,97.717,40.054,3.484,61.342,40.193,45.428,49.898,49.746,64.459,29.575,46.72,73.216,38.589,31.376,37.666,40.006,31.694, 
Villa de Tamazulpam del Progreso,114.043,155.658,175.536,160.025,151.058,197.808,193.163,165.834,135.165,150.179,235.622,245.573,169.285,108.285,178.121,297.561,198.75,158.385,258.769,183.414,135.793,150.938,192.616,120.873,176.34,249.426,138.402,171.937,396.628,164.492,121.756,302.011,117.615,135.205,184.684,113.82,287.158,186.383,148.583,142.405,164.389,188.626,136.955,157.279,118.476,135.993,122.855,315.615,163.885,184.657,299.62,98.205,0,135.716,105.748,114.483,122.29,139.825,119.601,172.055,161.986,139.023,193.33,135.667,100.669,156.955,135.806,141.041,52.664,145.359,160.072,125.188,142.333,168.829,134.202,126.989,133.279,135.619,127.307, 
San Agustn de las Juntas,34.839,32.189,39.863,24.353,26.205,62.135,69.823,40.982,17.383,19.013,110.77,120.721,44.433,30.468,42.448,172.709,63.077,33.533,133.917,47.741,12.453,26.085,67.764,25.159,51.488,124.574,2.73,36.264,273.288,28.82,18.563,177.159,24.815,11.864,49.012,26.411,162.306,132.53,12.911,6.733,39.537,69.612,13.615,32.427,18.856,10.477,16.516,327.922,28.213,59.805,176.28,40.103,135.716,0,35.642,25.439,20.584,16.09,20.064,48.32,27.041,15.288,58.385,7.689,43.365,22.01,6.346,11.04,88.174,10.414,36.337,11.926,12.49,33.884,3.243,13.688,8.098,5.618,10.933, 
Santiago Suchilquitongo,11.599,54.819,74.697,59.186,50.219,96.969,92.324,64.995,34.326,49.34,134.783,144.734,68.446,5.842,77.282,196.722,97.911,57.546,157.93,82.575,34.954,50.099,91.777,11.527,75.501,148.587,37.563,71.098,295.789,63.653,20.917,201.172,15.172,34.366,83.845,10.405,186.319,95.242,47.744,41.566,63.55,87.787,36.116,56.44,18.601,35.154,22.016,310.958,63.046,83.818,198.781,4.572,105.748,35.642,0,12.101,22.409,39.944,19.72,72.174,62.105,39.142,93.449,35.786,10.08,57.074,35.925,41.16,56.494,45.478,60.191,25.307,42.452,68.948,34.321,27.108,33.398,35.738,27.426, 
Villa de Etla,11.104,44.616,64.494,48.983,40.016,86.766,82.121,54.792,24.123,39.137,124.58,134.531,58.243,6.734,67.079,186.519,87.708,47.343,147.727,72.372,24.751,39.896,81.574,5.557,65.298,138.384,27.36,60.895,285.586,53.45,10.714,190.969,4.968,24.162,73.642,5.205,176.116,108.099,37.541,31.363,53.347,77.584,25.913,46.237,8.398,24.951,11.813,323.815,52.843,73.615,188.578,16.369,114.483,25.439,12.101,0,11.7,29.234,9.01,61.464,51.396,28.432,82.74,25.077,19.401,46.365,25.216,30.451,65.814,34.769,49.481,14.597,31.743,58.239,23.612,16.398,22.689,25.029,16.716, 
San Lorenzo Cacaotepec,21.412,39.761,59.639,44.128,35.161,81.911,77.267,49.938,14.831,34.282,119.726,129.677,53.389,17.042,62.224,181.665,82.853,42.489,142.873,67.517,19.897,35.041,76.72,11.732,60.444,133.53,22.505,56.04,280.732,48.595,6.072,186.115,11.389,19.308,68.787,12.984,171.262,119.104,32.686,26.508,48.493,72.73,21.058,41.383,5.43,20.096,6.958,335.366,47.988,68.761,183.724,26.677,122.29,20.584,22.409,11.7,0,24.425,3.523,56.655,46.586,23.622,77.93,20.267,29.717,41.555,20.406,25.641,74.525,29.959,44.672,9.787,26.933,53.429,18.802,6.519,17.879,20.219,11.906, 
Santa Mara del Tule,38.947,15.13,55.145,39.634,10.843,63.067,63.976,25.62,22.136,34.294,95.408,105.359,29.071,34.577,57.73,157.347,78.359,18.171,118.555,63.023,5.86,10.724,52.402,29.267,36.126,109.212,18.011,51.546,267.441,44.101,22.671,161.797,28.923,8.601,64.293,30.519,146.944,136.639,28.192,22.015,24.175,48.412,11.379,17.065,22.965,5.489,20.624,322.075,43.494,44.443,170.433,44.212,139.825,16.09,39.944,29.234,24.425,0,23.936,32.368,41.769,5.517,71.936,7.086,47.237,36.738,8.968,23.558,92.045,25.142,20.385,18.503,24.849,48.3,11.704,18.326,7.754,18.136,13.693, 
Hacienda Blanca,18.723,39.241,59.119,43.608,34.641,81.391,76.747,49.418,18.748,33.762,119.206,129.157,52.869,14.353,61.704,181.145,82.333,41.969,142.353,66.997,19.377,34.521,76.2,9.043,59.924,133.01,21.985,55.52,280.212,48.075,5.339,185.595,8.699,18.788,68.267,10.295,170.742,116.415,32.166,25.988,47.973,72.21,20.538,40.863,2.741,19.576,6.438,332.131,47.468,68.241,183.204,23.988,119.601,20.064,19.72,9.01,3.523,23.936,0,52.996,42.927,19.964,74.271,16.608,27.448,37.896,16.747,21.982,72.256,26.3,41.013,6.129,23.274,49.77,15.143,7.93,14.22,16.56,8.248, 
San Pablo Villa de Mitla,71.177,35.547,59.937,71.864,23.547,36.684,96.206,19.622,54.366,66.524,63.623,73.574,23.073,66.807,65.493,125.562,86.122,26.492,92.172,43.07,38.09,28.13,26.019,61.497,9.743,77.427,50.241,59.309,299.671,58.036,54.901,130.012,61.153,40.831,96.523,62.749,115.159,168.869,60.422,54.245,32.496,22.029,43.609,23.535,55.195,37.719,52.854,354.305,54.263,18.06,202.663,76.442,172.055,48.32,72.174,61.464,56.655,32.368,52.996,0,73.829,37.577,81.339,39.146,79.297,68.798,41.028,55.618,124.105,57.202,12.611,50.563,56.909,52.801,43.764,50.386,39.814,50.196,45.753, 
San Pablo Huixtepec,61.109,40.149,23.465,10.658,52.474,38.866,96.092,67.251,43.653,8.922,137.039,146.99,70.702,56.738,28.522,198.978,49.151,50.635,142.921,24.472,38.722,52.354,76.768,51.429,57.881,150.843,24.914,26.448,299.557,8.917,44.833,203.428,51.085,38.133,21.973,52.681,188.575,158.8,14.694,21.212,45.765,46.343,39.884,58.696,45.126,36.746,42.786,354.191,13.452,51.106,202.549,66.373,161.986,27.041,62.105,51.396,46.586,41.769,42.927,73.829,0,41.518,46.929,33.92,69.595,4.827,32.576,21.623,114.404,18.357,62.567,38.156,15.838,13.972,29.473,39.918,34.328,26.357,37.163, 
Tlalixtac de Cabrera,38.145,20.822,54.343,38.832,16.222,68.446,58.905,30.999,21.333,33.492,100.787,110.738,34.45,33.775,56.928,162.726,77.557,23.55,123.934,62.221,4.683,16.102,57.781,28.465,41.505,114.591,17.209,50.744,262.37,43.299,21.869,167.176,28.121,4.983,63.491,29.717,152.323,135.837,27.39,21.213,29.554,53.791,8.611,22.444,22.163,4.784,19.822,317.004,42.692,49.822,165.362,43.41,139.023,15.288,39.142,28.432,23.622,5.517,19.964,37.577,41.518,0,72.28,6.252,46.403,35.905,8.135,21.225,91.212,24.309,25.783,17.67,22.516,47.779,10.871,17.493,6.921,15.803,12.86, 
Heroica Ciudad de Ejutla de Crespo,92.453,57.107,27.389,47.661,73.985,53.257,127.436,81.45,74.997,55.85,144.549,154.5,84.901,88.082,20.03,206.488,5.968,67.593,157.312,38.863,70.066,69.621,91.159,82.773,72.272,158.353,56.258,23.647,330.901,34.221,76.177,210.938,82.429,69.477,25.585,84.025,196.085,190.144,52.201,52.556,62.723,60.734,71.228,78.665,76.47,68.09,74.13,385.535,31.075,65.497,233.893,97.717,193.33,58.385,93.449,82.74,77.93,71.936,74.271,81.339,46.929,72.28,0,65.075,100.751,51.756,63.732,63.156,145.56,48.651,93.723,69.312,56.13,29.176,60.629,71.074,65.484,63.004,68.319, 
Santa Cruz Amilpas,34.79,22.391,46.744,31.234,17.791,69.016,62.051,32.568,17.51,25.894,102.356,112.307,36.019,30.419,49.329,164.295,69.958,25.119,125.503,54.622,4.681,17.671,59.35,25.11,43.074,116.16,9.611,43.145,265.516,35.701,18.514,168.745,24.766,5.395,55.893,26.362,153.892,132.481,19.792,13.614,31.123,55.36,7.221,24.013,18.807,3.806,16.467,320.15,35.093,51.391,168.508,40.054,135.667,7.689,35.786,25.077,20.267,7.086,16.608,39.146,33.92,6.252,65.075,0,43.08,29.091,1.245,16.433,87.889,17.495,27.284,11.995,17.668,40.965,4.512,13.757,2.565,11.011,9.536, 
San Francisco Telixtlahuaca,19.322,62.542,82.42,66.909,57.942,104.692,100.047,72.719,42.049,57.063,142.507,152.458,76.17,13.565,85.005,204.446,105.634,65.27,165.654,90.298,42.677,57.822,99.501,26.152,83.225,156.311,45.286,78.821,303.512,71.376,28.64,208.896,22.895,42.089,91.568,19.099,194.043,87.473,55.467,49.289,71.274,95.511,43.839,64.164,26.324,42.877,29.739,303.189,70.769,91.542,206.504,3.484,100.669,43.365,10.08,19.401,29.717,47.237,27.448,79.297,69.595,46.403,100.751,43.08,0,66.345,45.196,50.431,50.652,54.749,69.462,34.578,51.723,78.219,43.592,36.379,42.669,45.009,36.697, 
Zimatln de lvarez,56.078,35.118,16.704,8.797,47.443,42.184,91.061,62.22,38.622,3.89,132.008,141.959,65.671,51.707,33.349,193.947,53.978,45.604,155.155,27.79,33.691,47.323,89.002,46.398,72.726,145.812,19.883,39.193,294.526,12.235,39.802,198.397,46.054,33.102,26.8,47.65,183.544,153.769,9.662,16.181,40.734,49.661,34.853,53.665,40.095,31.715,37.755,349.16,15.896,54.424,197.518,61.342,156.955,22.01,57.074,46.365,41.555,36.738,37.896,68.798,4.827,35.905,51.756,29.091,66.345,0,27.545,16.592,109.373,13.326,57.536,33.125,10.807,17.29,24.442,34.887,29.297,21.326,32.132, 
El Rosario,34.929,24.273,45.401,29.89,19.673,67.673,62.19,34.45,18.037,24.55,104.238,114.189,37.901,30.558,47.986,166.177,68.615,27.001,127.385,53.279,4.82,19.553,61.232,25.249,44.956,118.042,8.267,41.802,265.655,34.357,18.653,170.627,24.905,5.534,54.549,26.501,155.774,132.62,18.448,12.27,33.005,57.242,7.36,25.895,18.946,3.945,16.606,320.289,33.75,53.273,168.647,40.193,135.806,6.346,35.925,25.216,20.406,8.968,16.747,41.028,32.576,8.135,63.732,1.245,45.196,27.545,0,15.78,88.183,16.238,29.323,10.805,17.072,39.708,3.536,12.567,2.859,10.358,9.83, 
Cuilpam de Guerrero,40.164,37.151,44.825,25.048,34.263,67.097,76.369,49.04,15.118,13.762,118.828,128.779,52.491,35.793,47.41,180.767,68.039,41.591,141.975,52.703,18.999,34.144,75.822,30.484,59.546,132.632,15.397,41.226,279.834,29.515,23.888,185.217,30.14,18.41,43.596,31.736,170.364,137.855,17.873,11.7,42.767,74.574,20.161,40.485,24.181,17.035,21.841,334.468,32.146,67.863,182.826,45.428,141.041,11.04,41.16,30.451,25.641,23.558,21.982,55.618,21.623,21.225,63.156,16.433,50.431,16.592,15.78,0,93.035,13.261,42.895,16.338,6.19,33.032,12.103,17.416,14.654,6.2,15.794, 
Asuncin Nochixtln,65.736,107.351,127.229,111.718,102.751,149.501,144.856,117.527,86.858,101.872,187.315,197.266,120.978,59.978,129.814,249.254,150.443,110.078,210.462,135.107,87.486,102.631,144.309,72.566,128.033,201.119,90.095,123.63,348.321,116.185,73.449,253.704,69.308,86.898,136.377,65.513,238.851,138.076,100.276,94.098,116.082,140.319,88.648,108.972,70.169,87.686,74.548,321.772,115.578,136.35,251.313,49.898,52.664,88.174,56.494,65.814,74.525,92.045,72.256,124.105,114.404,91.212,145.56,87.889,50.652,109.373,88.183,93.035,0,96.442,111.155,76.271,93.416,119.912,85.285,78.072,84.362,86.702,78.39, 
Vicente Guerrero,44.482,22.646,30.32,15.67,35.847,52.592,79.465,50.624,27.026,10.331,120.412,130.363,54.075,40.111,32.905,182.351,53.534,33.132,143.559,38.198,22.095,35.727,77.406,34.802,61.13,134.216,8.287,26.721,282.93,20.137,28.206,186.801,34.458,21.506,40.33,36.054,171.948,142.173,4.229,4.585,28.262,60.069,23.257,42.069,28.499,20.119,26.159,337.564,18.67,64.832,185.922,49.746,145.359,10.414,45.478,34.769,29.959,25.142,26.3,57.202,18.357,24.309,48.651,17.495,54.749,13.326,16.238,13.261,96.442,0,45.929,21.518,8.336,25.532,12.835,23.28,17.69,15.21,20.525, 
Tlacolula de Matamoros,59.194,23.564,75.392,59.881,11.564,43.481,84.223,7.639,42.383,54.541,75.821,85.772,11.09,54.824,77.977,137.76,98.606,14.509,98.969,49.867,26.107,16.147,32.816,49.514,16.54,89.625,38.258,71.793,287.688,64.348,42.918,142.21,49.17,28.848,84.54,50.766,127.357,156.886,48.439,42.262,20.513,28.826,31.626,11.552,43.212,25.736,40.871,342.322,63.741,24.857,190.68,64.459,160.072,36.337,60.191,49.481,44.672,20.385,41.013,12.611,62.567,25.783,93.723,27.284,69.462,57.536,29.323,42.895,111.155,45.929,0,38.877,45.223,59.27,32.078,38.7,28.128,38.51,34.067, 
San Jacinto Amilpas,24.31,33.809,50.981,35.47,29.209,73.253,71.314,43.985,9.608,25.175,113.773,123.724,47.436,19.94,53.566,175.712,74.195,36.536,136.92,58.859,13.944,29.089,70.767,14.63,54.491,127.577,13.847,47.382,274.779,39.937,8.034,180.162,14.286,13.355,60.129,15.882,165.309,122.002,24.028,17.85,42.54,66.777,15.106,35.43,8.328,12.161,5.987,329.413,39.33,62.808,177.771,29.575,125.188,11.926,25.307,14.597,9.787,18.503,6.129,50.563,38.156,17.67,69.312,11.995,34.578,33.125,10.805,16.338,76.271,21.518,38.877,0,17.876,44.911,10.284,2.409,11.932,11.162,5.96, 
Villa de Zaachila,41.456,30.125,37.799,19.262,35.554,60.071,77.66,50.331,22.443,7.977,120.119,130.07,53.782,37.085,40.384,182.058,61.013,42.882,143.266,45.677,20.29,35.435,77.113,31.776,60.837,133.923,10.363,34.2,281.125,23.729,25.18,186.508,31.432,19.701,37.811,33.028,171.655,139.147,10.847,6.666,35.741,67.548,21.452,41.776,25.473,18.326,23.133,335.759,26.36,72.311,184.117,46.72,142.333,12.49,42.452,31.743,26.933,24.849,23.274,56.909,15.838,22.516,56.13,17.668,51.723,10.807,17.072,6.19,93.416,8.336,45.223,17.876,0,30.865,13.368,18.681,15.919,10.924,17.059, 
Ocotln de Morelos,67.952,33.471,7.268,10.317,50.349,24.719,102.935,66.022,50.496,19.795,116.011,125.962,69.473,63.581,13.43,177.95,34.059,43.957,128.774,10.325,45.565,45.985,62.621,58.272,43.734,129.815,31.757,7.246,306.4,5.367,51.676,182.4,57.928,44.976,35.95,59.524,167.547,165.643,21.536,28.055,39.087,32.196,46.727,55.029,51.969,43.589,49.629,361.034,2.221,36.959,209.392,73.216,168.829,33.884,68.948,58.239,53.429,48.3,49.77,52.801,13.972,47.779,29.176,40.965,78.219,17.29,39.708,33.032,119.912,25.532,59.27,44.911,30.865,0,29.077,39.522,33.932,31.452,36.767, 
San Antonio de la Cal,33.325,27.009,42.298,26.787,22.409,64.57,64.926,37.186,15.869,21.447,106.974,116.925,40.637,28.954,44.883,168.913,65.512,29.737,130.121,50.176,7.556,22.289,63.968,23.645,47.692,120.778,5.164,38.699,268.391,31.254,17.049,173.363,23.301,8.27,51.446,24.897,158.51,131.016,15.345,9.168,35.741,59.978,10.096,28.631,17.342,6.681,15.002,323.025,30.647,56.009,171.383,38.589,134.202,3.243,34.321,23.612,18.802,11.704,15.143,43.764,29.473,10.871,60.629,4.512,43.592,24.442,3.536,12.103,85.285,12.835,32.078,10.284,13.368,29.077,0,11.827,5.441,6.416,9.072, 
Santa Mara Atzompa,26.111,33.631,52.743,37.232,29.031,75.015,71.137,43.808,9.532,26.253,113.596,123.547,47.259,21.741,55.328,175.535,75.957,36.359,136.743,60.621,13.767,28.911,70.59,16.431,54.314,127.4,15.609,49.144,274.602,41.699,9.835,179.985,16.087,13.178,61.891,17.683,165.132,123.803,25.79,19.612,42.363,66.6,14.928,35.253,10.129,13.923,7.788,329.236,41.092,62.631,177.594,31.376,126.989,13.688,27.108,16.398,6.519,18.326,7.93,50.386,39.918,17.493,71.074,13.757,36.379,34.887,12.567,17.416,78.072,23.28,38.7,2.409,18.681,39.522,11.827,0,10.992,11.965,5.812, 
