LOCALIDADES,Tepetzingo,Ignacio Allende,Temascaltepec de Gonzlez,San Diego la Huerta,Llano de la Y,San Jos Tejamanil,Unidad Habitacional Santa Teresa,Fraccionamiento Rinconada del Valle,Santa Mara Tlalmimilolpan,Paraje el Mirador,Santa Mara Aranzaz (Santa Mara),San Simn el Alto,Texcaltitln,San Pedro Huitzizilapan,Conjunto Habitacional Ecolgico SUTEYM,Tejalpa,San Martn Toltepec,San Antonio Bonixi,San Mateo Capulhuac,La Cinega,San Martn Coapaxtongo,Santa Mnica,San Diego Linares,Colonia Morelos (Ejido San Juan de las Huertas),San Mateo Coapexco,Fraccionamiento Real de San Pablo,Zacualpan,El Hielo,Ejido de Taborda,Villa de Almoloya de Jurez,Colonia los Cedros,Almoloya de Alquisiras,San Francisco,San Miguel Almoloyn,Barrio San Pedro (La Concepcin San Pedro),San Francisco Tepexoxuca,Tecaxic,San Miguel Tecomatln,Colonia Arroyo Vista Hermosa,Colonia Emiliano Zapata,San Lorenzo Cuauhtenco,San Diego los Padres Cuexcontitln Seccin 5 B,Santa Mara Mazatla,Zona Nmero Cuatro San Mateo Capulhuac,Temoaya,San Bartolo el Viejo,San Cristbal Texcalucan,Santa Ana Mayorazgo,San Francisco Putla,Santiago Analco,San Francisco Ayotuzco,Mina Mxico,Santa Mara Nativitas,San Juan Xochiaca,Tlachaloya Primera Seccin,Zacango,Sultepec de Pedro Ascencio de Alquisiras,San Francisco Xochicuautla,San Nicols Coatepec de las Bateas,San Luis Ayucan,San Lorenzo Coacalco (San Lorenzo),Jiquipilco el Viejo,Barrio Santa Cruz,San Diego Alcal,La Joya,La Trinidad,Colonia lvaro Obregn,Santiago Oxtotitln,Santiago Tepatlaxco,Santa Mara del Monte,San Agustn Mimbres,Mayorazgo de Len (Estacin Ro Mxico),Joquicingo de Len Guzmn,Zumpahuacn,Colonia Guadalupe Victoria,Santa Mara la Asuncin,Dos Ros,San Pedro Atlapulco,Jicaltepec Cuexcontitln,Molino Abajo,Ejido de San Francisco Chimalpa,Santa Mara Tetitla,San Juan Yautepec,San Mateo Mozoquilpan,San Lucas Tunco (San Lucas),San Cayetano Morelos,San Mateo Tlalchichilpan,El Pedregal de Guadalupe Hidalgo,El Salitre,Huitzilac,San Nicols Peralta,San Nicols Tlazala,San Mateo Texcalyacac,Techuchulco de Allende,Enthavi,San Jernimo Acazulco,San Jos el Cuartel,San Miguel Balderas,San Miguel Almaya,San Miguel Mimiapan,Santa Cruz Ayotuzco,San Bartolom Coatepec,San Pedro Abajo,Santa Cruz Otzacatipan,San Bartolo Oxtotitln,Jicaltepec Autopan,Pilcaya,San Mateo Atarasquillo,San Pedro Tlanixco,San Miguel Ameyalco,San Andrs Ocotln,Zaragoza de Guadalupe,San Miguel Totoltepec,San Pedro Zictepec,Santiaguito Cuaxustenco,Ejido de la Y Seccin Siete A Revolucin,San Lorenzo Oyamel,Tlachaloya Segunda Seccin,San Marcos Yachihuacaltepec,San Antonio Buenavista,Chapultepec,El Cporo,Tres Maras,Conjunto Urbano la Loma I,Santa Mara Nativitas,San Bartolom Atlatlahuca,La Constitucin Toltepec,Santa Mara Magdalena Ocotitln,La Cabecera,Santa Ana Jilotzingo,Fraccionamiento Colinas del Sol,Santa Ana Ixtlahuatzingo (Santa Ana),Santa Mara Jajalpa,San Nicols Tolentino,Coatepec Harinas,San Pedro Arriba,Zacamulpa,Barrio de Mxico,Santa Cruz Cuauhtenco,Tonatico,Guadalupe Yancuictlalpan (Gualupita),Ejido San Lorenzo Cuauhtenco,Malinalco,Santa Cruz Atizapn,San Miguel Totocuitlapilco,San Diego de los Padres Cuexcontitln,Ex-Rancho San Dimas,San Juan Tilapa,San Gaspar Tlahuelilpan,Santa Mara Rayn,El Cerrillo Vista Hermosa,Santiaguito Tlalcilalcalli,San Pedro Cholula,San Francisco Chimalpa,Calixtlahuaca,Almoloya del Ro,Villa Guerrero,San Felipe Tlalmimilolpan,Huixquilucan de Degollado,San Mateo Mexicaltzingo,Santiago Yancuitlalpan,Santiago Tilapa,Santa Mara Zolotepec,San Bartolom Tlaltelulco,Calimaya de Daz Gonzlez,Villa Cuauhtmoc,San Pedro Tlaltizapan,Cacalomacn,Magdalena Chichicaspa,San Juan de las Huertas,San Antonio la Isla,Santiago Tianguistenco de Galeana,San Pedro Tultepec,Santa Mara Atarasquillo,Tenancingo de Degollado,Xalatlaco,Santiago Tlacotepec,San Antonio Acahualco,San Francisco Tlalcilalcalpan,Ixtapan de la Sal,San Andrs Cuexcontitln,Xonacatln,Capulhuac de Mirafuentes,San Pedro Totoltepec,Tenango de Arista,San Mateo Otzacatipan,Lerma de Villada,San Lorenzo Acopilco,San Jorge Pueblo Nuevo,Jess del Monte,San Francisco Coaxusco,Ocoyoacac,San Jernimo Chicahualco,Metepec,San Jos Guadalupe Otzacatipan,San Pablo Autopan,San Miguel Zinacantepec,San Salvador Tizatlalli,San Mateo Atenco,Naucalpan de Jurez,Cuajimalpa de Morelos,Toluca de Lerdo, 
Colonia los Cedros,59.576,26.591,81.94,38.457,18.858,39.961,20.94,15.849,21.304,44.448,51.183,58.186,81.755,20.274,45.702,32.796,29.116,42.521,22.951,56.82,50.157,51.18,22.146,30.261,61.98,22.867,119.532,39.595,38.243,37.365,0,108.704,57.157,50.886,36.954,39.798,31.412,69.051,4.103,14.083,29.344,12.726,62.307,23.085,23.562,40.26,46.366,19.685,33.584,15.8,33.24,45.165,39.549,61.033,24.473,69.78,93.628,16.539,30.434,55.857,14.929,29.521,24.951,24.651,32.514,55.424,14.308,58.525,55.494,39.4,20.483,49.003,48.922,78.769,10.546,8.379,34.174,30.715,15.498,21.599,48.074,17.093,30.047,17.961,11.242,39.5,34.731,13.725,61.68,65.488,12.09,17.415,26.843,30.404,28.359,17.145,62.696,36.473,21.9,22.118,40.624,45.185,26.571,10.463,74.337,17.27,91.976,14.381,41.295,14.074,22.949,37.061,7.12,42.429,31.794,13.767,20.389,27.684,22.536,25.296,19.369,41.485,91.749,30.838,27.196,37.025,6.451,24.623,35.997,21.447,38.182,56.16,37.538,8.74,91.92,25.139,32.452,41.405,28.759,76.106,24.419,32.313,69.107,20.91,17.043,12.331,28.31,24.243,10.549,26.832,2.229,32.832,11.817,43.648,24.554,23.021,55.952,21.343,30.53,22.627,46.858,27.487,17.449,26.942,34.006,14.962,20.214,27.045,53.003,31.033,27.111,23.13,8.108,15.015,59.76,27.554,24.637,33.98,32.986,71.969,14.197,14.673,19.343,5.339,31.353,9.277,4.04,35.828,21.102,42.5,16.016,13.342,11.339,14.649,11.892,24.325,26.177,11.615,8.848,42.574,35.813,16.04, 
Almoloya de Alquisiras,74.094,125.555,41.376,86.607,124.372,148.756,93.951,113.318,130.099,143.412,60.03,82.855,10.564,129.069,85.869,61.43,77.703,107.131,131.746,71.574,74.549,98.53,92.366,63.864,59.96,93.695,35.668,148.39,102.853,81.979,108.704,0,57.802,87,80.513,85.091,74.971,76.864,93.129,96.994,83.066,90.587,160.874,105.996,131.125,75.463,144.933,102.596,86.819,116.609,131.807,87.258,80.726,81.424,104.657,50.724,18.884,122.638,108.138,154.424,98.684,137.084,88.209,132.213,65.327,69.294,102.347,58.384,154.061,74.603,105.64,106.541,84.279,86.582,93.458,87.398,132.741,114.594,88.742,129.161,146.641,102.254,128.614,103.453,96.771,97.039,78.29,112.292,69.493,157.243,118.189,103.77,93.271,89.609,135.922,115.712,70.509,89.708,104.21,105.029,123.535,143.752,134.134,86.288,131.875,89.73,41.061,113.9,69.09,114.893,90.422,90.297,88.039,81.523,81.17,92.599,105.88,112.815,78.725,68.254,92.992,76.688,161.624,74.397,79.766,77.218,93.974,78.198,79.556,104.358,81.741,63.973,88.231,89.9,31.18,136.387,131.019,76.608,65.37,42.486,102.123,71.197,84.667,98.614,94.385,89.275,87.957,76.669,97.345,84.621,91.268,76.391,110.384,126.56,78.323,100.725,57.393,75.855,129.097,92.817,145.425,105.191,100.36,78.058,87.242,97.874,97.918,68.438,151.57,62.693,86.758,100.834,106.453,114.534,67.573,105.258,75.968,65.015,68.719,38.365,86.435,97.584,101.35,90.891,82.046,85.57,107.139,134.395,76.749,141.067,78.737,111.909,82.127,82.013,88.67,87.583,69.408,84.235,89.136,141.141,134.38,79.84, 
San Francisco,17.39,74.008,113.348,35.06,72.825,97.209,42.404,78.107,78.552,91.865,6.566,26.151,68.366,77.522,76.732,64.204,65.946,80.131,80.199,14.87,17.845,41.826,76.113,61.669,9.541,76.834,67.405,96.843,75.853,68.295,57.157,57.802,0,79.566,70.698,29.844,65.156,21.617,61.555,69.526,40.718,65.671,109.887,78.528,80.138,74.004,93.946,75.128,35.832,65.622,80.82,76.02,73.293,26.177,77.973,18.34,74.436,71.651,57.151,103.437,47.697,86.097,63.293,81.226,63.552,14.047,74.879,7.085,103.074,73.144,78.172,79.858,29.032,31.335,67.998,52.27,81.754,63.607,63.826,78.174,95.654,74.786,77.627,75.985,45.784,70.355,68.475,61.305,14.246,77.535,67.202,52.783,42.284,38.622,84.935,64.725,15.262,38.721,53.223,77.561,96.067,92.765,83.147,61.372,105.192,64.814,38.824,62.913,18.103,63.906,39.435,39.31,65.634,26.276,30.183,79.109,81.391,84.259,62.774,58.202,42.005,75.229,81.916,64.582,50.671,26.231,63.903,48.097,69.741,76.89,71.926,8.726,37.244,66.145,38.768,85.4,80.032,75.149,61.473,22.954,51.136,66.057,29.42,47.627,43.398,64.359,36.97,53.513,46.358,33.634,59.681,66.576,59.397,99.092,65.058,49.738,2.145,50.232,78.11,41.83,94.438,54.204,72.892,50.417,36.255,75.591,46.931,59.759,100.583,63.747,35.771,49.847,55.466,63.547,12.326,54.271,55.572,65.018,66.73,18.817,61.519,70.116,50.363,62.743,31.059,60.654,56.152,83.408,48.768,90.08,49.223,60.922,51.614,48.264,63.754,62.667,59.084,48.596,53.301,90.154,83.393,54.924, 
San Miguel Almoloyn,80.2,65.484,77.758,49.685,28.442,62.579,59.49,33.807,43.922,83.341,71.807,78.81,76.436,42.892,6.358,24.69,23.701,27.62,45.569,77.444,70.781,85.291,31.73,23.918,82.604,24.303,140.156,62.213,23.342,8.16,50.886,87,79.566,0,9.836,60.97,17.93,83.026,38.35,43.65,33.892,37.243,91.322,52.652,43.799,10.081,75.381,49.252,47.559,47.057,62.255,17.415,7.854,75.007,34.359,83.755,81.194,53.086,59.453,84.872,32.567,49.758,34.865,44.887,14.318,69.399,49.003,72.5,84.509,11.401,46.496,36.243,62.897,92.744,40.114,34.803,63.189,59.73,35.398,41.835,77.089,42.793,59.062,43.661,36.128,26.741,8.321,42.74,75.655,94.507,48.637,46.43,55.862,52.891,48.596,46.16,76.671,50.448,50.915,51.685,70.191,74.2,46.808,32.944,61.577,36.386,105.951,44.348,55.27,45.341,34.437,43.706,34.695,56.404,45.769,37.663,42.441,42.517,21.683,18.833,37.336,11.7,120.764,17.356,31.744,51,40.63,29.171,11.938,51.014,12.338,70.135,51.513,36.556,72.479,49.061,61.467,13.406,20.129,90.081,53.438,10.645,83.082,49.929,30.287,35.931,40.306,27.157,34.339,40.807,36.489,11.977,40.832,73.216,21.282,52.04,69.927,25.939,59.545,32.808,75.873,56.506,47.016,31.49,39.978,42.631,49.233,23.197,82.018,18.801,39.223,52.149,38.18,44.982,73.735,56.573,26.456,15.784,13.269,85.944,33.091,44.24,48.358,35.96,45.328,32.226,35.433,64.843,25.65,71.515,26.143,42.357,28.389,29.418,35.326,34.239,13.951,31.64,37.841,71.589,64.828,26.496, 
Barrio San Pedro (La Concepcin San Pedro),71.332,54.782,70.134,40.817,23.3,57.437,36.082,28.665,38.78,72.639,62.939,69.942,69.949,37.75,2.073,20.989,7.729,20.629,40.427,68.576,61.913,76.423,19.444,17.431,73.736,18.521,131.288,57.071,16.351,0.714,36.954,80.513,70.698,9.836,0,57.86,10.616,79.916,34.826,35.447,30.782,24.499,72.166,35.703,29.303,18.287,72.272,41.049,44.449,43.948,59.146,7.899,3.145,71.897,19.863,80.645,80.567,49.823,64.53,81.763,29.457,35.262,14.572,30.391,15.843,66.289,40.8,69.39,81.4,19.608,32,15.047,59.787,89.634,27.112,31.693,60.08,56.621,24.415,27.339,73.98,28.297,55.953,29.165,33.018,12.245,3.94,39.631,72.545,99.584,43.28,43.321,60.939,49.781,34.1,43.051,73.561,47.338,47.806,43.482,61.988,71.091,32.312,22.102,44.848,25.979,102.841,41.239,52.16,42.232,31.327,40.596,26.778,53.294,42.659,23.167,27.945,25.788,11.846,16.21,34.226,19.906,117.655,11.882,28.634,47.89,33.416,26.061,2.634,42.811,2.748,67.025,48.403,33.418,71.852,34.565,58.358,21.613,19.502,86.971,58.515,13.159,79.972,55.006,27.177,26.262,37.196,24.047,31.229,37.697,36.237,5.003,37.723,65.012,9.986,57.117,66.817,22.829,56.436,29.698,72.764,61.583,38.813,28.38,36.868,28.135,54.31,22.57,73.79,18.174,36.113,57.226,35.07,41.873,70.625,61.65,23.346,17.309,16.315,82.834,22.425,36.037,45.249,32.85,42.218,21.383,32.324,61.734,22.54,68.406,23.033,39.248,25.28,26.308,24.483,15.088,11.943,28.53,34.732,68.48,61.719,19.596, 
San Francisco Tepexoxuca,20.986,47.069,103.187,24.898,55.466,79.85,28.355,60.748,61.193,65.208,26.807,11.899,103.002,60.163,66.57,54.043,55.784,69.969,62.84,18.231,11.568,18.009,58.754,51.508,38.803,59.475,94.694,79.484,65.691,58.133,39.798,85.091,29.844,60.97,57.86,0,54.278,16.656,50.676,58.647,35.83,54.792,82.132,67.649,69.259,63.126,66.191,64.249,23.984,54.743,52.901,65.141,62.415,24.148,67.094,59.251,115.464,60.772,24.309,75.682,36.819,75.218,52.414,70.347,52.674,18.539,64,47.996,75.319,62.266,67.293,68.979,2.339,36.368,57.119,41.392,53.835,32.962,52.947,67.295,67.899,63.907,49.708,65.106,34.905,59.476,57.597,30.308,19.279,53.792,56.323,26.685,13.183,9.521,74.056,36.946,20.295,26.873,26.832,66.682,85.188,65.01,72.268,50.493,94.313,53.935,81.447,52.034,21.179,53.027,28.556,27.462,54.755,5.121,19.304,68.23,70.512,73.38,51.895,47.324,31.126,64.351,58.173,53.704,39.792,12.24,53.024,37.218,58.863,66.011,61.048,22.561,9.442,55.266,81.391,74.521,52.113,64.271,50.595,65.577,22.229,55.179,22.524,19.572,32.52,53.48,26.091,42.634,35.479,22.756,48.802,55.698,31.979,88.213,54.179,17.52,29.827,39.353,50.191,30.951,66.683,23.559,62.013,39.538,24.407,64.712,23.959,48.881,72.828,52.869,24.892,19.979,44.587,52.668,18.798,23.865,44.693,54.14,55.852,61.44,50.64,59.237,23.412,51.864,16.66,49.775,45.273,55.653,37.89,62.325,38.345,33.143,40.736,37.386,52.875,51.788,48.206,37.718,42.423,62.399,55.638,44.045, 
Tecaxic,65.79,49.24,64.592,35.275,25.738,59.875,30.54,31.103,41.218,67.097,57.397,64.4,64.407,40.188,12.659,15.447,5.471,24.744,42.865,63.034,56.371,70.881,30.21,11.889,68.194,21.219,125.746,59.509,20.466,10.889,31.412,74.971,65.156,17.93,10.616,54.278,0,76.867,24.53,26.14,27.733,19.91,81.927,35.142,34.57,28.509,65.986,31.741,41.399,37.661,52.86,13.731,13.586,68.848,24.875,77.596,84.859,40.516,50.057,75.477,25.424,40.529,10.27,35.658,20.763,63.24,31.493,66.341,75.114,27.649,34.786,26.759,56.738,86.585,22.604,26.077,53.794,50.335,17.172,32.606,67.694,33.564,49.667,34.432,30.839,17.257,12.149,33.344,69.496,85.111,33.973,37.034,46.466,46.732,39.367,36.764,70.512,44.288,41.519,34.174,52.681,64.805,37.579,15.434,52.093,17.168,99.792,34.952,49.111,35.945,28.278,37.547,20.111,50.245,39.61,28.434,33.212,33.033,5.756,16.663,31.176,29.734,111.369,10.709,25.585,44.841,23.12,23.012,10.554,33.503,9.629,63.976,45.354,19.045,99.736,39.832,52.072,29.654,19.99,83.922,44.042,20.562,76.923,40.533,24.128,18.598,34.147,20.335,27.178,34.648,27.093,10.124,31.436,55.705,3.345,42.644,63.768,19.118,50.15,26.649,66.478,47.11,29.505,25.331,33.819,33.402,39.837,18.276,64.482,23.094,33.064,42.753,28.784,35.586,67.576,47.177,19.634,22.229,21.235,79.785,15.758,26.73,38.962,26.564,39.169,14.715,26.037,55.448,19.491,62.12,16.838,32.961,18.993,19.768,17.815,15.02,15.693,22.111,28.445,62.194,55.433,12.929, 
San Miguel Tecomatln,12.759,85.902,125.242,46.954,84.719,109.103,54.298,90.001,90.446,103.759,18.58,4.77,87.428,89.416,88.626,76.098,77.84,92.025,92.093,8.902,12.815,22.573,88.007,73.563,30.576,88.728,86.467,108.737,87.747,80.189,69.051,76.864,21.617,83.026,79.916,16.656,76.867,0,60.823,68.794,45.977,64.939,109.155,77.796,79.406,73.272,93.214,74.396,34.131,64.89,80.088,75.288,72.561,11.054,77.241,37.759,97.282,70.919,38.249,102.705,46.965,85.365,62.561,80.494,62.82,8.7,74.147,26.504,102.342,72.412,77.44,79.126,14.151,26.79,67.266,51.538,81.022,46.902,63.094,77.442,94.922,74.054,76.895,75.253,45.052,69.623,67.743,60.573,9.702,58.346,66.47,40.625,27.123,23.461,84.203,63.993,8.454,37.02,40.772,76.829,95.335,92.033,82.415,60.64,104.46,64.082,61.67,62.181,28.943,63.174,38.703,37.609,64.902,16.054,29.451,78.377,80.659,83.527,62.042,57.47,41.273,74.497,62.727,63.85,49.939,22.386,63.171,47.365,69.009,76.158,71.194,12.983,23.382,65.413,61.614,84.668,79.3,74.417,60.741,45.8,36.169,65.325,11.949,33.512,42.666,63.627,36.238,52.781,45.626,32.903,58.949,65.844,58.665,98.36,64.326,31.46,20.249,49.5,77.378,41.098,93.706,37.499,72.16,49.685,34.554,74.859,46.199,59.027,99.851,63.015,35.039,33.919,54.734,62.815,9.64,37.805,54.84,64.286,65.998,41.663,60.787,69.384,37.352,62.011,26.807,59.922,55.42,82.676,48.036,89.348,48.491,60.19,50.882,47.532,63.022,61.935,58.352,47.864,52.569,89.422,82.661,54.192, 
Colonia Arroyo Vista Hermosa,62.189,29.204,82.75,41.07,16.397,37.5,23.553,13.388,18.843,47.061,53.796,60.799,82.565,17.813,43.241,33.606,25.503,40.06,20.49,59.433,52.77,53.793,19.685,31.071,64.593,20.406,122.145,37.134,35.782,34.904,4.103,93.129,61.555,38.35,34.826,50.676,24.53,60.823,0,11.622,29.507,10.265,48.341,20.624,21.101,40.423,48.979,17.224,36.197,14.933,35.853,40.542,39.712,63.646,22.012,72.393,94.034,15.672,33.047,58.47,15.335,27.06,22.574,22.19,32.677,58.037,13.441,61.138,58.107,39.563,18.022,44.38,51.535,81.382,8.085,10.992,36.787,33.328,13.037,19.138,50.687,14.632,32.66,15.5,13.855,34.877,34.894,16.338,64.293,68.101,11.223,20.028,29.456,33.017,25.898,19.758,65.309,39.086,24.513,19.657,38.163,47.798,24.11,11.311,49.26,14.809,94.589,12.287,43.908,16.687,25.562,39.674,7.929,45.042,34.407,11.306,17.928,25.223,22.055,25.702,21.982,41.648,94.362,31.001,27.359,39.638,2.493,24.786,36.16,18.986,38.945,58.773,40.151,6.252,94.533,22.678,35.065,41.568,29.165,78.719,27.032,32.476,71.72,23.523,17.449,9.87,30.923,24.649,13.162,29.445,2.074,32.995,14.43,41.187,24.339,25.634,58.565,21.749,33.143,25.24,49.471,30.1,14.988,27.105,36.619,12.501,22.827,27.451,49.965,31.439,29.724,25.743,10.721,10.955,62.373,30.167,25.043,34.143,33.149,74.582,11.736,12.212,21.956,6.148,33.966,10.086,6.653,38.441,21.265,45.113,16.422,15.955,11.745,15.055,9.431,16.427,26.583,12.021,11.461,45.187,38.426,12.65, 
Colonia Emiliano Zapata,70.16,37.518,86.615,49.041,17.018,27.802,31.524,8.757,7.436,42.902,61.767,68.77,86.43,6.406,43.862,37.471,27.113,40.681,10.793,67.404,60.741,61.763,20.306,37.609,72.564,21.027,130.116,27.436,36.403,35.525,14.083,96.994,69.526,43.65,35.447,58.647,26.14,68.794,11.622,0,34.618,11.85,38.699,10.982,19.403,46.08,35,7.582,47.814,15.902,35.331,31.036,43.853,75.263,32.989,84.01,99.766,13.744,44.664,52.465,31.887,25.362,24.157,20.491,50.317,69.654,6.656,72.755,52.102,47.4,10.626,34.874,63.152,92.999,9.67,25.337,33.553,44.747,14.622,17.439,44.643,7.24,44.079,8.439,28.201,25.371,44.32,27.756,75.91,79.718,9.136,31.446,41.073,44.634,24.2,31.176,76.926,50.703,35.931,10.015,28.521,38.776,22.412,12.894,60.208,16.394,106.206,15.119,55.525,16.057,37.179,51.291,12.979,56.659,46.024,12.891,10.866,23.524,35.095,31.433,33.599,47.699,105.781,36.112,32.47,51.255,10.268,29.897,32.852,9.344,29.439,70.39,51.768,10.27,106.15,15.617,46.484,49.405,34.897,90.336,38.649,46.644,83.337,35.14,31.013,11.455,42.54,30.78,27.508,41.062,13.089,32.422,25.848,31.546,32.761,37.251,70.182,27.88,44.562,36.857,40.372,41.717,5.346,32.216,48.236,7.976,34.444,33.183,40.323,54.8,41.341,37.36,23.196,13.787,73.99,41.784,31.174,51.783,49.268,86.199,13.319,2.57,33.374,16.184,45.583,14.728,16.689,49.86,26.376,49.648,23.723,27.373,28.298,31.608,11.014,18.01,49.95,28.573,25.807,49.722,49.845,19.814, 
San Lorenzo Cuauhtenco,47.342,47.172,72.687,7.373,28.948,60.44,14.876,49.25,41.783,65.029,32.959,45.953,72.502,40.753,39.492,23.543,28.706,42.891,43.431,44.587,37.924,52.433,28.142,21.008,43.756,29.471,101.308,60.074,38.613,31.055,29.344,83.066,40.718,33.892,30.782,35.83,27.733,45.977,29.507,34.618,0,26.951,82.618,42.36,36.555,35.284,66.677,38.96,9.43,38.353,53.551,37.3,34.573,42.233,39.253,50.981,84.424,44.382,36.864,76.168,12.418,42.514,24.573,37.644,24.832,36.624,38.711,39.726,75.805,34.424,42.004,41.138,30.123,59.97,29.822,15.825,54.485,51.026,25.106,34.592,68.385,38.618,50.358,39.817,16.314,31.635,29.755,34.036,42.881,71.918,39.933,32.496,23.779,20.117,41.352,37.456,43.897,12.319,32.936,41.393,59.899,65.496,39.564,22.652,66.472,26.094,73.177,35.644,22.496,36.637,9.185,8.216,24.403,23.63,12.995,28.963,42.244,47.412,24.054,17.683,12.864,36.509,76.299,25.862,2.7,18.225,30.338,5.505,31.021,40.722,33.206,37.361,18.739,26.264,73.121,41.817,52.763,36.429,19.555,57.307,30.849,27.337,50.308,27.34,10.135,25.639,14.151,6.611,14.19,14.652,22.214,27.856,32.128,62.924,26.338,29.451,37.153,5.85,50.841,12.657,67.169,33.917,36.724,4.201,4.487,34.238,26.644,13.682,73.314,21.829,13.068,29.56,21.62,36.278,40.961,33.984,8.67,27.56,28.01,53.17,22.799,33.948,30.076,21.6,12.554,21.934,26.729,56.139,8.495,62.811,9.796,33.653,12.724,10.754,25.034,23.947,20.364,12.152,16.856,62.885,56.124,16.204, 
San Diego los Padres Cuexcontitln Seccin 5 B,66.305,37.827,80.208,35.79,3.463,37.672,32.176,8.152,19.015,52.771,57.912,64.915,80.023,17.985,32.914,31.064,24.47,29.733,17.537,63.549,56.886,71.395,4.881,31.202,68.709,5.894,126.261,37.306,25.455,24.577,12.726,90.587,65.671,37.243,24.499,54.792,19.91,64.939,10.265,11.85,26.951,0,48.594,17.522,11.881,41.133,44.895,17.477,47.39,26.474,46.848,26.089,38.906,74.839,12.792,83.586,91.983,26.251,44.24,69.465,24.526,17.84,10.878,12.97,30.005,69.23,17.228,72.331,69.102,42.453,13.819,29.927,62.728,92.575,3.882,24.913,43.448,44.323,2.723,9.918,54.538,10.429,43.655,11.297,27.777,11.927,39.373,27.332,75.486,79.294,19.708,31.022,40.649,44.21,16.678,30.752,76.502,50.279,35.507,19.91,38.416,58.793,14.89,6.508,40.04,4.495,105.782,28.941,55.101,29.934,27.38,36.649,11.011,56.235,45.6,2.536,9.684,16.003,15.702,23.65,33.175,42.752,105.357,28.329,24.687,50.831,8.854,22.114,27.905,19.239,24.492,69.966,51.344,7.598,105.726,17.143,46.06,44.458,27.114,89.912,38.225,29.804,82.913,34.716,23.23,1.678,42.116,22.997,27.084,40.638,11.675,27.475,25.424,41.44,17.986,36.827,69.758,20.097,44.138,25.751,60.466,41.293,15.241,24.433,32.921,8.298,34.02,25.4,50.218,29.388,40.917,36.936,22.772,24.359,73.566,41.36,23.391,31.471,30.477,85.775,4.216,12.465,32.95,14.77,45.159,9.009,15.275,49.436,18.593,56.108,15.94,26.949,18.095,18.87,5.913,8.805,24.532,21.213,25.383,56.182,49.421,12.031, 
Santa Mara Mazatla,110.521,45.594,135.875,89.402,53.737,31.297,71.885,41.111,41.596,25.489,102.128,109.131,135.69,40.177,80.581,86.731,82.899,77.4,36.452,107.765,101.102,90.868,57.025,85.282,112.925,57.746,170.477,31.829,73.122,72.244,62.307,160.874,109.887,91.322,72.166,82.132,81.927,109.155,48.341,38.699,82.618,48.594,0,37.061,43.87,82.629,25.944,33.416,85.145,56.2,31.484,67.585,80.402,112.594,69.538,121.341,147.031,55.463,65.915,6.45,67.841,39.515,77.489,46.384,85.052,106.985,40.791,110.086,12.5,91.938,42.617,71.423,100.483,130.33,46.219,60.722,29.518,49.278,51.171,45.786,22.534,36.8,38.446,40.485,63.586,61.92,87.269,57.68,113.241,93.776,43.271,63.348,69.107,72.667,40.964,49.8,114.257,88.034,59.513,32.861,34.164,24.763,40.896,49.443,54.279,52.943,143.537,53.197,92.856,51.099,74.509,88.622,67.986,93.99,83.355,49.44,42.912,52.061,71.644,78.698,70.929,84.248,89.175,83.376,79.734,88.586,46.817,77.161,69.401,29.372,65.988,107.721,73.903,46.819,143.481,38.521,36.634,93.943,82.162,127.667,61.723,84.851,101.96,72.471,69.955,48.004,79.871,78.044,62.893,78.393,62.04,85.37,57.75,28.939,69.31,66.66,107.513,75.144,31.498,74.187,26.436,58.975,35.606,79.48,85.567,40.091,71.775,80.448,27.464,84.436,78.672,74.691,57.53,54.751,111.321,60.189,78.438,86.518,85.524,123.53,49.868,37.097,62.796,65.095,82.914,51.277,58.511,34.803,73.64,27.534,68.36,56.11,63.683,66.993,47.563,54.559,79.58,64.527,61.192,27.608,32.171,68.578, 
