LOCALIDADES,Gabriel Leyva Velzquez,Cohuibampo,Leopoldo Snchez Celis (El Gato de Lara),Las Grullas Margen Izquierda,Poblado Nmero Cinco,El Varal (San Sebastin Nmero Uno),Cerrillos (Campo 35),Alhuey,Colonia Agrcola Mxico (Palmitas),El Cubilete (El Cubilete Nmero Uno),El Cerro Cabezn,El Colorado,Juan Aldama (El Tigre),Mochis (Ejido Mochis),Bamoa,Callejones de Guasavito,El Castillo,Nuevo San Miguel,No,Charay,Len Fonseca (Estacin Verdura),Leopoldo Snchez Celis,El Limn de los Ramos,Tamazula,Bachoco,Baborigame,Colonia Independencia (Chinitos),Genaro Estrada,Alfonso G. Caldern (Poblado Siete),Corerepe (El Gallo),Primero de Mayo,Badiraguato,San Pedro,El Burrin,Compuertas,Los ngeles,La Trinidad,Culiacancito,El Estero (Juan Jos Ros),El Centenario,Gustavo Daz Ordaz (El Carrizo),Bagojo Colectivo,Adolfo Lpez Mateos (Jahuara Segundo),Angostura,Todos Santos,Sinaloa de Leyva,Mocorito,Benito Jurez,Adolfo Lpez Mateos (El Tamarindo),Mochicahui,Quil,Guadalupe y Calvo,San Miguel Zapotitln,San Blas,Estacin Naranjo,Pericos,Topolobampo,Constancia,Estacin Bamoa (Campo Wilson),La Reforma,El Diez,San Jos Viejo,Choix,Higuera de Zaragoza,General ngel Flores (La Palma),Las Veredas,Ahome,Las Palmas,El Fuerte,Adolfo Ruiz Cortines,Eldorado,Guachochi,Juan Jos Ros,Licenciado Benito Jurez (Campo Gobierno),Costa Rica,Gabriel Leyva Solano (Benito Jurez),Navolato,Colonia del Sol,Guamchil,Cabo San Lucas,San Jos del Cabo,Guasave,La Paz,Los Mochis,Culiacn Rosales, 
Compuertas,59.641,27.555,157.456,44.647,48.513,78.047,24.609,112.249,154.8,79.746,56.403,54.605,182.699,6.014,88.392,71.468,246.179,17.492,78.318,36.723,90.725,247.386,198.274,88.375,40.853,466.379,161.817,101.948,30.876,52.564,18.664,207.029,209.063,75.5,0,69.802,72.941,206.283,27.333,266.859,53.942,15.609,65.984,114.775,336.69,108.728,127.707,102.752,194.175,24.487,262.264,409.805,15.035,47.443,81.849,171.191,32.096,27.87,92.78,156.391,221.67,430.292,137.874,36.282,195.008,426.663,21.661,411.365,89.53,39.55,269.877,406.087,28.066,219.462,234.924,48.279,205.425,413.149,110.825,409.801,435.837,68.647,258.456,9.73,216.488, 
Los ngeles,36.422,89.036,95.417,114.449,109.995,10.166,64.341,50.21,92.761,17.089,59.272,124.407,120.66,74.135,26.353,9.429,184.14,78.973,16.279,88.103,25.303,185.347,136.235,26.336,45.707,404.34,99.778,54.836,92.357,33.396,59.281,144.99,147.024,13.461,69.802,0,24.222,142.678,44.108,318.041,113.788,82.343,125.829,51.17,387.872,42.444,64.102,39.147,130.57,72.678,198.659,346.2,74.881,95.633,33.129,107.586,83.278,76.061,27.949,92.786,158.065,481.474,186.065,105.198,131.403,477.845,91.357,462.547,137.721,30.005,206.272,454.278,41.979,155.857,171.319,20.6,141.82,464.331,47.22,460.983,487.019,6.004,309.638,61.907,152.883, 
La Trinidad,13.542,92.175,113.451,117.588,113.134,21.205,67.48,68.244,110.795,35.741,62.411,127.546,138.694,77.274,18.161,27.463,202.174,82.112,34.313,91.242,15.623,203.381,154.269,44.37,48.846,422.374,117.812,29.009,95.496,36.535,62.42,163.024,165.058,31.496,72.941,24.222,0,162.309,48.82,322.753,118.5,87.055,130.541,70.801,392.584,34.506,83.733,58.778,150.201,77.39,218.29,365.831,79.593,71.667,8.907,127.217,87.99,80.773,20.754,112.417,177.696,486.186,161.409,109.91,151.034,482.557,96.069,467.259,113.065,34.717,225.903,429.622,46.691,175.488,190.95,25.312,161.451,469.043,66.851,465.695,491.731,24.672,314.35,66.619,172.514, 
Culiacancito,172.904,225.517,68.109,250.93,246.476,148.137,200.822,98.823,62.4,149.395,195.753,260.888,35.924,210.616,154.698,136.29,55.348,215.454,144.624,224.584,160.815,56.555,18.396,146.602,182.188,336.397,55.844,191.318,228.838,169.877,195.762,77.047,10.815,130.857,206.283,142.678,162.309,0,181.002,454.935,250.682,219.237,262.723,101.74,524.766,164.96,123.072,118.573,15.809,209.572,73.884,279.519,211.775,232.527,170.023,43.298,220.172,212.955,147.429,74.125,20.974,618.368,322.959,242.092,15.161,614.739,228.251,599.441,274.615,166.899,81.497,437.461,178.873,24.946,40.657,157.494,23.843,601.225,105.574,597.877,623.913,138.544,446.532,198.801,13.926, 
El Estero (Juan Jos Ros),35.523,46.567,133.337,71.98,67.526,53.928,21.872,88.13,130.681,55.627,32.284,81.938,158.58,31.666,64.273,47.349,222.06,36.504,54.199,45.634,66.606,223.267,174.155,64.256,16.734,442.26,137.698,77.829,49.888,28.446,16.812,182.91,184.944,51.382,27.333,44.108,48.82,181.002,0,280.04,75.787,44.341,87.828,90.688,349.871,84.64,103.62,78.665,170.088,34.677,238.177,385.718,36.879,57.632,57.762,147.104,45.277,38.06,68.693,132.304,197.583,443.473,148.064,67.197,170.921,439.844,53.356,424.546,99.72,15.463,245.79,416.277,2.388,195.375,210.837,24.192,181.338,426.33,86.738,422.982,449.018,44.559,271.637,23.906,192.401, 
El Centenario,309.455,291.966,407.27,304.738,312.924,327.861,273.252,362.063,404.614,329.56,306.217,314.696,432.513,266.105,338.206,321.282,495.993,281.903,328.132,291.032,340.539,497.2,448.088,338.189,290.667,716.193,411.631,351.762,295.287,302.378,262.989,456.843,458.877,325.314,266.859,318.041,322.753,454.935,280.04,0,318.582,276.443,330.624,364.778,93.349,358.73,377.71,352.755,444.178,277.473,512.267,659.808,279.675,300.428,331.852,421.194,236.256,280.856,342.783,406.394,471.673,186.951,390.86,297.362,445.011,183.322,282.741,168.024,342.516,289.552,519.88,659.073,278.068,469.465,484.927,298.282,455.428,169.808,360.828,166.46,192.496,318.649,16.423,257.889,466.491, 
Gustavo Daz Ordaz (El Carrizo),105.203,49.424,203.017,74.837,6.15,123.608,70.17,157.81,200.361,125.307,101.964,84.795,228.26,57.365,133.953,117.029,291.74,39.031,123.879,62.314,136.286,292.947,243.835,133.936,86.414,511.94,207.378,147.509,24.384,98.126,71.088,252.59,254.624,121.062,53.942,113.788,118.5,250.682,75.787,318.582,0,61.775,12.392,161.573,389.361,155.525,174.505,149.55,240.973,45.014,309.062,456.603,41.901,46.391,128.647,217.989,84.767,48.538,139.578,203.189,268.468,482.963,104.317,68.278,241.806,479.334,54.437,464.036,54.718,86.348,316.675,372.53,74.863,266.26,281.722,95.077,252.223,465.82,157.623,462.472,488.508,115.444,311.127,63.396,263.286, 
Bagojo Colectivo,73.757,12.215,171.572,30.504,55.17,92.163,38.725,126.365,168.916,93.862,70.519,40.462,196.815,11.504,102.508,85.584,260.295,24.149,92.434,50.839,104.841,261.502,212.39,102.491,54.969,480.495,175.933,116.064,37.533,66.68,28.888,221.145,223.179,89.616,15.609,82.343,87.055,219.237,44.341,276.443,61.775,0,73.637,127.406,345.204,121.359,140.338,115.383,206.806,29.276,274.895,422.436,22.689,60.074,94.48,183.822,40.61,40.501,105.411,169.022,234.301,438.806,150.505,31.283,207.639,435.177,16.661,419.879,102.161,52.181,282.508,418.718,40.697,232.093,247.555,60.91,218.056,421.663,123.456,418.315,444.351,81.278,266.97,18.244,229.119, 
Adolfo Lpez Mateos (Jahuara Segundo),117.244,61.466,215.058,86.879,18.191,135.649,82.211,169.851,212.402,137.348,114.005,96.837,240.301,69.406,145.994,129.07,303.781,51.072,135.92,40.805,148.327,304.988,255.876,145.977,98.455,523.981,219.419,80.17,36.425,110.167,83.129,264.631,266.665,133.103,65.984,125.829,130.541,262.723,87.828,330.624,12.392,73.637,0,173.787,401.575,102.882,186.719,161.764,253.187,40.092,321.276,468.817,54.115,34.483,140.861,230.203,96.981,41.766,151.792,215.403,280.682,495.177,96.283,80.492,254.02,491.548,66.651,476.25,46.684,98.562,328.889,364.496,87.077,278.474,293.936,107.291,264.437,478.034,169.837,474.686,500.722,127.658,323.341,75.61,275.5, 
Angostura,81.396,134.009,37.414,159.422,154.968,56.629,109.314,3.899,51.419,57.887,104.245,169.38,79.317,119.108,63.19,44.782,142.797,123.946,53.116,133.076,69.307,144.005,100.954,55.094,90.68,369.058,58.435,99.81,137.33,78.369,104.254,109.708,105.681,39.349,114.775,51.17,70.801,101.74,90.688,364.778,161.573,127.406,173.787,0,435.199,75.393,32.852,29.006,90.02,120.005,158.109,312.463,122.208,142.96,80.456,73.849,130.605,123.388,57.862,43.593,117.515,528.801,233.392,152.525,90.853,525.172,138.684,509.874,185.048,77.332,165.722,501.605,89.306,115.307,130.769,67.927,101.27,511.658,15.354,508.31,534.346,48.977,356.965,109.234,123.268, 
Todos Santos,379.286,361.797,477.101,374.569,382.755,397.692,343.083,431.894,474.445,399.391,376.048,384.527,502.344,335.936,408.037,391.113,565.824,351.734,397.963,360.863,410.37,567.031,517.919,408.02,360.498,786.024,481.462,421.593,365.118,372.209,332.82,526.674,528.708,395.145,336.69,387.872,392.584,524.766,349.871,93.349,389.361,345.204,401.575,435.199,0,428.629,447.609,422.654,514.077,347.372,582.166,729.707,349.574,370.327,401.751,491.093,306.155,350.755,412.682,476.293,541.572,117.97,460.759,367.261,514.91,120.17,352.64,78.497,412.415,359.451,589.779,728.972,347.967,539.364,554.826,368.181,525.327,80.281,430.727,76.933,113.977,388.548,81.221,327.788,536.39, 
Sinaloa de Leyva,47.379,127.962,117.295,153.375,148.92,32.485,103.266,72.088,114.639,54.07,98.197,163.333,142.538,113.061,22.216,40.664,206.018,117.899,31.676,77.737,18.852,207.225,158.113,57.57,84.633,426.218,121.656,22.584,131.283,72.322,98.206,166.868,168.902,45.012,108.728,42.444,34.506,164.96,84.64,358.73,155.525,121.359,102.882,75.393,428.629,0,63.324,68.286,159.709,91.026,227.798,375.339,115.354,69.196,28.463,136.725,123.751,87.433,17.589,121.925,187.204,521.947,158.938,145.671,160.542,518.318,131.83,503.02,110.594,70.478,235.411,427.151,82.452,184.996,200.458,61.073,170.959,504.804,76.359,501.456,527.492,42.116,350.111,102.38,182.022, 
Mocorito,94.328,146.941,75.406,172.354,167.9,69.561,122.246,29.547,72.751,70.819,117.177,182.312,100.649,132.04,76.122,57.714,164.129,136.878,66.048,146.008,82.239,165.337,104.013,68.026,103.612,312.788,79.767,112.742,150.262,91.301,117.186,56.265,127.013,52.281,127.707,64.102,83.733,123.072,103.62,377.71,174.505,140.338,186.719,32.852,447.609,63.324,0,26.541,112.483,132.176,180.572,255.907,134.379,155.131,92.627,75.819,142.776,135.559,70.033,74.7,132.372,540.972,245.563,164.696,113.316,537.343,150.855,522.045,197.219,89.503,188.185,513.776,101.477,137.77,153.232,80.098,123.733,523.829,17.334,520.481,546.517,61.148,369.136,121.405,121.117, 
Benito Jurez,69.373,121.986,70.908,147.399,142.945,44.606,97.291,25.701,68.252,45.864,92.222,157.357,96.151,107.085,51.167,32.759,159.631,111.923,41.093,121.053,57.284,160.839,97.091,43.071,78.657,365.195,75.269,87.787,125.307,66.346,92.231,105.845,122.515,27.326,102.752,39.147,58.778,118.573,78.665,352.755,149.55,115.383,161.764,29.006,422.654,68.286,26.541,0,108.485,107.153,176.574,309.055,109.356,130.108,67.604,70.44,117.753,110.536,45.01,70.702,135.98,515.949,220.54,139.673,109.318,512.32,125.832,497.022,172.196,64.48,184.187,488.753,76.454,133.772,149.234,55.075,119.735,498.806,10.074,495.458,521.494,36.125,344.113,96.382,115.738, 
Adolfo Lpez Mateos (El Tamarindo),160.796,213.409,56.001,238.822,234.368,136.029,188.714,86.715,50.292,137.287,183.645,248.78,23.816,198.508,142.59,124.182,53.362,203.346,132.516,212.476,148.707,62.63,26.044,134.494,170.08,325.839,43.736,179.21,216.73,157.769,183.654,66.489,24.307,118.749,194.175,130.57,150.201,15.809,170.088,444.178,240.973,206.806,253.187,90.02,514.077,159.709,112.483,108.485,0,195.506,79.803,269.084,197.709,218.461,155.957,32.863,206.106,198.889,133.363,60.059,39.209,604.302,308.893,228.026,11.963,600.673,214.185,585.375,260.549,152.833,87.416,427.026,164.807,37.001,52.463,143.428,24.253,587.159,91.507,583.811,609.847,124.478,432.466,184.735,29.069, 
Mochicahui,64.093,26.309,161.907,51.722,38.408,82.498,10.747,116.7,159.251,84.197,60.854,61.68,187.15,21.923,92.843,75.919,250.63,16.086,82.769,14.266,95.176,251.837,202.725,92.826,45.304,470.83,166.268,68.762,19.392,57.016,29.978,211.48,213.514,79.952,24.487,72.678,77.39,209.572,34.677,277.473,45.014,29.276,40.092,120.005,347.372,91.026,132.176,107.153,195.506,0,267.263,414.804,15.491,24.038,86.848,176.19,42.967,4.465,97.779,161.39,226.669,441.163,114.469,46.243,200.007,437.534,32.402,422.236,66.125,44.548,274.876,382.682,33.064,224.461,239.923,53.278,210.424,424.02,115.824,420.672,446.708,73.645,269.327,21.596,221.487, 
Quil,228.885,281.498,124.09,306.911,302.457,204.118,256.803,154.804,118.381,205.376,251.734,316.869,97.193,266.597,210.679,192.271,81.259,271.435,200.605,280.565,216.796,27.497,76.67,202.583,238.169,393.711,111.825,247.299,284.819,225.858,251.743,134.361,67.404,186.838,262.264,198.659,218.29,73.884,238.177,512.267,309.062,274.895,321.276,158.109,582.166,227.798,180.572,176.574,79.803,267.263,0,343.575,268.615,289.367,226.863,107.355,277.012,269.795,204.269,130.966,49.135,675.208,379.799,298.932,72.645,671.579,285.091,656.281,331.455,223.739,20.522,501.517,235.713,51.913,39.713,214.334,78.399,658.065,162.414,654.717,680.753,195.384,503.372,255.641,60.541, 
Guadalupe y Calvo,376.426,429.039,286.489,454.452,449.998,351.659,404.344,309.158,281.275,352.917,399.275,464.41,268.58,414.138,358.22,339.812,337.172,418.976,348.146,428.106,364.337,328.692,266.072,350.124,385.71,68.871,274.223,394.84,432.36,373.399,399.284,203.56,299.804,334.379,409.805,346.2,365.831,279.519,385.718,659.808,456.603,422.436,468.817,312.463,729.707,375.339,255.907,309.055,269.084,414.804,343.575,0,416.392,437.144,374.64,241.315,424.789,417.572,352.046,292.88,295.553,822.985,527.576,446.709,288.374,819.356,432.868,804.058,479.232,371.516,351.954,170.172,383.49,311.58,315.236,362.111,314.429,805.842,299.348,802.494,828.53,343.161,651.149,403.418,284.298, 
San Miguel Zapotitln,66.295,14.337,164.11,39.75,35.295,84.701,31.263,118.903,161.454,86.4,63.057,49.708,189.353,18.457,95.046,78.122,252.833,4.274,84.972,28.962,97.379,254.04,204.928,95.029,47.507,473.033,168.471,108.602,17.658,59.218,32.181,213.683,215.717,82.154,15.035,74.881,79.593,211.775,36.879,279.675,41.901,22.689,54.115,122.208,349.574,115.354,134.379,109.356,197.709,15.491,268.615,416.392,0,38.728,88.9,178.242,45.019,19.155,99.831,163.442,228.721,443.215,143.698,31.141,202.059,439.586,17.3,424.288,94.099,46.6,276.928,411.911,35.116,226.513,241.975,55.33,212.476,426.072,117.876,422.724,448.76,75.697,271.379,23.648,223.539, 
San Blas,50.16,49.405,184.862,74.818,61.504,105.453,33.702,139.655,182.206,107.152,83.809,84.776,210.105,49.385,80.681,98.874,273.585,39.182,105.724,10.752,76.976,274.792,225.68,115.781,68.259,493.785,189.223,46.932,42.488,79.971,52.933,234.435,236.469,102.907,47.443,95.633,71.667,232.527,57.632,300.428,46.391,60.074,34.483,142.96,370.327,69.196,155.131,130.108,218.461,24.038,289.367,437.144,38.728,0,62.364,199.535,66.312,20.715,85.228,184.735,250.014,464.508,91.084,69.757,223.352,460.879,55.916,445.581,42.74,67.893,298.221,359.298,56.409,247.806,263.268,76.623,233.769,447.365,139.169,444.017,470.053,96.99,292.672,44.941,244.832, 
Estacin Naranjo,16.601,101.083,122.358,126.496,122.042,29.443,76.388,77.151,119.702,44.648,71.319,136.454,147.601,86.182,26.399,36.37,211.081,91.02,43.22,71.301,23.861,212.288,163.176,53.277,57.754,431.281,126.719,20.102,104.404,45.443,71.328,171.931,173.965,40.403,81.849,33.129,8.907,170.023,57.762,331.852,128.647,94.48,140.861,80.456,401.751,28.463,92.627,67.604,155.957,86.848,226.863,374.64,88.9,62.364,0,136.124,96.897,89.68,28.992,121.324,186.603,495.093,152.502,118.817,159.941,491.464,104.976,476.166,104.158,43.624,234.81,420.715,55.598,184.395,199.857,34.219,170.358,477.95,75.758,474.602,500.638,33.579,323.257,75.526,181.421, 
Pericos,137.812,190.425,42.016,215.838,211.384,113.045,165.73,70.544,36.802,114.303,160.661,225.796,27.204,175.524,119.606,101.198,100.952,180.362,109.532,189.492,125.723,92.472,29.851,111.51,147.096,297.956,29.75,156.226,193.746,134.785,160.67,38.606,63.584,95.765,171.191,107.586,127.217,43.298,147.104,421.194,217.989,183.822,230.203,73.849,491.093,136.725,75.819,70.44,32.863,176.19,107.355,241.315,178.242,199.535,136.124,0,186.252,179.035,113.509,51.562,59.311,584.448,289.039,208.172,52.131,580.819,194.331,565.521,240.695,132.979,115.712,399.314,144.953,75.338,78.994,123.574,78.187,567.305,60.81,563.957,589.993,104.624,412.612,164.881,48.055, 
Topolobampo,74.692,57.203,172.507,69.975,78.161,93.098,38.489,127.3,169.851,94.797,71.454,79.933,197.75,31.342,103.443,86.519,261.23,47.14,93.369,56.269,105.776,262.437,213.325,103.426,55.904,481.43,176.868,116.999,60.524,67.615,28.226,222.08,224.114,90.551,32.096,83.278,87.99,220.172,45.277,236.256,84.767,40.61,96.981,130.605,306.155,123.751,142.776,117.753,206.106,42.967,277.012,424.789,45.019,66.312,96.897,186.252,0,45.832,107.759,171.37,236.649,399.479,155.836,62.337,209.987,395.85,47.716,380.552,107.492,54.528,284.856,424.049,43.044,234.441,249.903,63.258,220.404,382.336,125.804,378.988,405.024,83.625,227.643,22.865,231.467, 
Constancia,67.476,29.833,165.29,55.246,41.932,85.881,13.001,120.083,162.634,87.58,64.237,65.204,190.533,29.813,96.226,79.302,254.013,19.61,86.152,10.673,98.559,255.22,206.108,96.209,48.687,474.213,169.651,65.169,22.916,60.399,33.361,214.863,216.897,83.335,27.87,76.061,80.773,212.955,38.06,280.856,48.538,40.501,41.766,123.388,350.755,87.433,135.559,110.536,198.889,4.465,269.795,417.572,19.155,20.715,89.68,179.035,45.832,0,101.278,164.889,230.168,444.662,110.6,49.911,203.506,441.033,36.07,425.735,62.256,48.047,278.375,378.813,36.563,227.96,243.422,56.777,213.923,427.519,119.323,424.171,450.207,77.144,272.826,25.095,224.986, 
Estacin Bamoa (Campo Wilson),33.627,112.014,99.764,137.427,132.972,17.99,87.318,54.557,97.108,36.539,82.25,147.385,125.007,97.113,4.685,23.133,188.487,101.951,14.145,111.081,7.198,189.694,140.582,40.039,68.685,408.687,104.125,39.013,115.335,56.374,82.259,149.337,151.371,27.481,92.78,27.949,20.754,147.429,68.693,342.783,139.578,105.411,151.792,57.862,412.682,17.589,70.033,45.01,133.363,97.779,204.269,352.046,99.831,85.228,28.992,113.509,107.759,101.278,0,104.394,169.673,505.711,175.367,129.435,143.011,502.082,115.594,486.784,127.023,54.243,217.88,443.58,66.216,167.465,182.927,44.837,153.428,488.568,58.828,485.22,511.256,25.887,333.875,86.144,164.491, 
La Reforma,123.012,175.625,6.778,201.038,196.584,98.245,150.93,48.932,18.201,99.503,145.861,210.996,41.108,160.724,104.806,86.398,115.183,165.562,94.732,174.692,110.923,116.391,85.55,96.71,132.296,349.521,19.479,141.426,178.946,119.985,145.87,90.171,78.067,80.965,156.391,92.786,112.417,74.125,132.304,406.394,203.189,169.022,215.403,43.593,476.293,121.925,74.7,70.702,60.059,161.39,130.966,292.88,163.442,184.735,121.324,51.562,171.37,164.889,104.394,0,89.925,576.906,281.497,200.63,63.263,573.277,186.789,557.979,233.153,125.437,138.132,549.71,137.411,87.717,103.179,116.032,73.68,559.763,64.111,556.415,582.451,97.082,405.07,157.339,95.678, 
El Diez,188.291,240.904,83.496,266.317,261.863,163.524,216.209,114.21,77.787,164.782,211.14,276.275,56.599,226.003,170.085,151.677,45.406,230.841,160.011,239.971,176.202,34.252,35.153,161.989,197.575,352.194,71.231,206.705,244.225,185.264,211.149,92.844,18.616,146.244,221.67,158.065,177.696,20.974,197.583,471.673,268.468,234.301,280.682,117.515,541.572,187.204,132.372,135.98,39.209,226.669,49.135,295.553,228.721,250.014,186.603,59.311,236.649,230.168,169.673,89.925,0,635.324,339.915,259.048,32.761,631.695,245.207,616.397,291.571,183.855,57.591,453.524,195.829,17.415,20.873,174.45,33.412,618.181,117.394,614.833,640.869,155.5,463.488,215.757,12.548, 
San Jos Viejo,472.888,455.399,570.703,468.171,476.357,491.294,436.685,525.496,568.047,492.993,469.65,478.129,595.946,429.538,501.639,484.715,659.426,445.336,491.565,454.465,503.972,660.633,611.521,501.622,454.1,879.626,575.064,515.195,458.72,465.811,426.422,620.276,622.31,488.747,430.292,481.474,486.186,618.368,443.473,186.951,482.963,438.806,495.177,528.801,117.97,521.947,540.972,515.949,604.302,441.163,675.208,822.985,443.215,464.508,495.093,584.448,399.479,444.662,505.711,576.906,635.324,0,554.48,460.982,608.631,4.3,446.361,47.385,506.136,453.172,683.5,822.693,441.688,633.085,648.547,461.902,619.048,43.684,524.448,41.494,7.419,482.269,174.942,421.509,630.111, 
Choix,139.902,153.391,275.294,178.804,110.116,195.885,124.133,230.087,272.638,197.584,174.241,188.762,300.537,139.816,170.423,189.306,364.017,142.997,196.156,101.183,166.718,365.224,316.112,206.213,158.691,327.717,279.655,136.674,128.35,170.403,143.365,324.867,326.901,193.339,137.874,186.065,161.409,322.959,148.064,390.86,104.317,150.505,96.283,233.392,460.759,158.938,245.563,220.54,308.893,114.469,379.799,527.576,143.698,91.084,152.502,289.039,155.836,110.6,175.367,281.497,339.915,554.48,0,173.148,314.087,551.614,159.307,536.316,50.378,158.628,388.956,268.213,147.144,338.541,354.003,167.358,324.504,538.1,229.904,534.752,560.788,187.725,383.407,135.676,335.567, 
Higuera de Zaragoza,96.612,18.038,194.427,19.14,61.673,115.018,61.58,149.22,191.771,116.717,93.374,29.098,219.67,32.178,125.363,108.439,283.15,30.652,115.289,59.714,127.696,284.357,235.245,125.346,77.824,503.35,198.788,138.919,44.036,89.535,49.561,244,246.034,112.471,36.282,105.198,109.91,242.092,67.197,297.362,68.278,31.283,80.492,152.525,367.261,145.671,164.696,139.673,228.026,46.243,298.932,446.709,31.141,69.757,118.817,208.172,62.337,49.911,129.435,200.63,259.048,460.982,173.148,0,231.916,457.544,15.284,442.246,121.466,76.458,306.785,439.278,64.974,256.37,271.832,85.187,242.333,444.03,147.733,440.682,466.718,105.555,289.337,40.611,253.396, 
General ngel Flores (La Palma),161.629,214.242,56.834,239.655,235.201,136.862,189.547,87.548,51.125,138.12,184.478,249.613,29.353,199.341,143.423,125.015,40.833,204.179,133.349,213.309,149.54,58.07,27.014,135.327,170.913,345.015,44.569,180.043,217.563,158.602,184.487,85.665,19.747,119.582,195.008,131.403,151.034,15.161,170.921,445.011,241.806,207.639,254.02,90.853,514.91,160.542,113.316,109.318,11.963,200.007,72.645,288.374,202.059,223.352,159.941,52.131,209.987,203.506,143.011,63.263,32.761,608.631,314.087,231.916,0,606.261,219.773,590.963,266.137,158.421,88.879,446.277,170.395,38.464,53.926,149.016,12.354,592.747,97.095,589.399,615.435,130.066,438.054,190.323,27.928, 
Las Veredas,469.259,451.77,567.074,464.542,472.728,487.665,433.056,521.867,564.418,489.364,466.021,474.5,592.317,425.909,498.01,481.086,655.797,441.707,487.936,450.836,500.343,657.004,607.892,497.993,450.471,875.997,571.435,511.566,455.091,462.182,422.793,616.647,618.681,485.118,426.663,477.845,482.557,614.739,439.844,183.322,479.334,435.177,491.548,525.172,120.17,518.318,537.343,512.32,600.673,437.534,671.579,819.356,439.586,460.879,491.464,580.819,395.85,441.033,502.082,573.277,631.695,4.3,551.614,457.544,606.261,0,442.492,49.278,502.267,449.303,679.631,818.824,437.819,629.216,644.678,458.033,615.179,45.577,520.579,43.387,9.312,478.4,171.073,417.64,626.242, 
Ahome,82.771,4.877,180.586,22.281,47.832,101.177,47.739,135.379,177.93,102.876,79.533,32.239,205.829,17.556,111.522,94.598,269.309,16.811,101.448,45.873,113.855,270.516,221.404,111.505,63.983,489.509,184.947,125.078,30.195,75.694,34.94,230.159,232.193,98.63,21.661,91.357,96.069,228.251,53.356,282.741,54.437,16.661,66.651,138.684,352.64,131.83,150.855,125.832,214.185,32.402,285.091,432.868,17.3,55.916,104.976,194.331,47.716,36.07,115.594,186.789,245.207,446.361,159.307,15.284,219.773,442.492,0,427.625,107.586,62.578,292.905,425.398,51.094,242.49,257.952,71.307,228.453,429.409,133.853,426.061,452.097,91.675,274.716,25.99,239.516, 
Las Palmas,453.961,436.472,551.776,449.244,457.43,472.367,417.758,506.569,549.12,474.066,450.723,459.202,577.019,410.611,482.712,465.788,640.499,426.409,472.638,435.538,485.045,641.706,592.594,482.695,435.173,860.699,556.137,496.268,439.793,446.884,407.495,601.349,603.383,469.82,411.365,462.547,467.259,599.441,424.546,168.024,464.036,419.879,476.25,509.874,78.497,503.02,522.045,497.022,585.375,422.236,656.281,804.058,424.288,445.581,476.166,565.521,380.552,425.735,486.784,557.979,616.397,47.385,536.316,442.246,590.963,49.278,427.625,0,486.828,433.864,664.192,803.385,422.38,613.777,629.239,442.594,599.74,2.372,505.14,6.221,41.183,462.961,155.634,402.201,610.803, 
El Fuerte,91.558,103.792,226.95,129.205,60.517,147.541,75.79,181.743,224.294,149.24,125.897,139.163,252.193,91.472,122.079,140.962,315.673,93.398,147.812,52.839,118.374,316.88,267.768,157.869,110.347,377.165,231.311,88.33,78.751,122.059,95.021,276.523,278.557,144.995,89.53,137.721,113.065,274.615,99.72,342.516,54.718,102.161,46.684,185.048,412.415,110.594,197.219,172.196,260.549,66.125,331.455,479.232,94.099,42.74,104.158,240.695,107.492,62.256,127.023,233.153,291.571,506.136,50.378,121.466,266.137,502.267,107.586,486.828,0,109.692,340.02,317.999,98.208,289.605,305.067,118.422,275.568,489.164,180.968,485.816,511.852,138.789,334.471,86.74,286.631, 
Adolfo Ruiz Cortines,22.289,58.784,119.234,84.197,79.742,39.825,34.088,74.027,116.578,41.524,29.02,94.155,144.477,43.883,50.171,33.247,207.957,48.721,40.097,57.85,52.503,209.164,160.052,50.154,15.455,428.157,123.595,63.726,62.105,13.059,29.029,168.807,170.841,37.279,39.55,30.005,34.717,166.899,15.463,289.552,86.348,52.181,98.562,77.332,359.451,70.478,89.503,64.48,152.833,44.548,223.739,371.516,46.6,67.893,43.624,132.979,54.528,48.047,54.243,125.437,183.855,453.172,158.628,76.458,158.421,449.303,62.578,433.864,109.692,0,231.651,425.689,13.39,181.236,196.698,10.053,167.199,435.742,72.599,432.394,458.43,30.42,281.049,33.318,178.262, 
Eldorado,236.498,289.111,131.703,314.524,310.07,211.731,264.416,162.417,125.994,212.989,259.347,324.482,104.806,274.21,218.292,199.884,88.872,279.048,208.218,288.178,224.409,17.972,91.554,210.196,245.782,408.595,119.438,254.912,292.432,233.471,259.356,149.245,75.017,194.451,269.877,206.272,225.903,81.497,245.79,519.88,316.675,282.508,328.889,165.722,589.779,235.411,188.185,184.187,87.416,274.876,20.522,351.954,276.928,298.221,234.81,115.712,284.856,278.375,217.88,138.132,57.591,683.5,388.956,306.785,88.879,679.631,292.905,664.192,340.02,231.651,0,509.927,244.123,60.323,48.123,222.744,86.809,666.475,170.824,663.127,689.163,203.794,511.782,264.051,68.951, 
