LOCALIDADES,Chichimequillas,Jaral de Berrios,Rizos de la Joya (Rizos del Saucillo),San Nicols de los Gonzlez,Los Rodrguez,Puentecillas,Valencianita,San Juan Pan de Arriba,Loza de los Padres,Cuchicuato,San Juan de Otates,Comanjilla,El Carrizal Grande,Caada de Bustos,Bajo de Bonillas,Rancho Nuevo de la Cruz,lvaro Obregn (Santa Ana del Conde),La Sauceda (Santa Fe de Guadalupe),Colonias Nuevo Mxico,Fraccionamiento Cristeros,Laguna de Guadalupe,Paso de Cuarenta (San Miguel de Cuarenta),San Jos de Llanos,Coecillo,Aldama,Franco,Lo de Jurez,San Cristbal,San Juan de Abajo,La Calera,Matancillas (San Isidro Matancillas),Plan de Ayala (Santa Rosa),Villas de Irapuato,San Diego de Alejandra,Villa de Arriaga,La Aldea,San Bartolo de Berrios,Duarte,Ocampo,Santa Teresa,San Diego de la Unin,Unin de San Antonio,Arandas,Yerbabuena,Ojuelos de Jalisco,San Julin,Cuermaro,Ciudad Manuel Doblado,Medina,La Ermita,Romita,San Felipe,Marfil,Centro Familiar la Soledad,Pnjamo,Pursima de Bustos,Dolores Hidalgo Cuna de la Independencia Nacional,San Francisco del Rincn,Guanajuato,Silao,Lagos de Moreno,Irapuato,Len de los Aldama, 
San Juan de Otates,24.327,113.817,24.097,5.044,38.731,51.288,60.29,152.841,7.159,79.134,0,13.974,66.815,49.088,27.629,87.012,21.233,60.641,23.047,71.673,119.235,79.104,49.899,29.981,49.807,29.304,55.745,82.26,13.631,51.909,121.701,21.41,71.45,54.667,135.844,35.648,98.992,6.674,84.184,52.996,149.388,100.297,63.833,47.863,113.386,75.415,77.767,70.305,13.16,21.633,41.047,76.488,46.679,24.888,118.653,39.387,106.901,36.357,52.56,28.599,71.084,67.494,14.224, 
Comanjilla,10.562,102.729,46.024,16.218,26.908,39.465,48.467,141.018,12.217,67.311,13.974,0,53.844,36.116,25.017,74.041,25.539,47.67,15.627,77.587,133.328,107.432,36.927,10.974,36.836,16.296,42.773,69.289,27.785,38.938,135.793,37.035,58.478,69.183,164.172,22.613,87.904,7.385,95.36,40.025,136.417,106.211,50.861,34.892,127.478,89.931,72.196,87.443,24.336,48.622,28.012,65.4,33.708,44.664,105.681,53.903,93.93,50.873,39.589,15.564,76.998,54.522,28.819, 
El Carrizal Grande,49.694,140.688,87.32,70.214,33.82,40.955,5.626,149.489,59.657,31.382,66.815,53.844,0,27.261,46.999,29.192,60.653,38.28,45.504,117.739,169.994,147.584,20.601,41.772,16.156,41.656,14.862,24.44,67.937,18.933,172.459,77.187,17.392,109.335,204.324,44.898,124.57,62.831,137.808,36.095,144.597,146.363,16.178,42.703,164.144,130.083,59.026,100.798,71.419,88.774,40.149,102.066,43.194,84.816,67.018,94.055,102.11,91.025,46.711,37.542,117.15,8.821,68.971, 
Caada de Bustos,31.966,122.96,69.592,52.486,16.204,6.223,22.024,120.485,41.93,40.868,49.088,36.116,27.261,0,30.143,50.553,43.798,18.46,28.648,100.884,153.139,130.729,6.788,24.916,13.348,24.8,19.286,45.801,51.082,15.45,155.604,60.332,34.991,92.48,187.469,28.042,107.715,45.976,120.953,8.414,116.915,129.508,27.374,9.711,147.289,113.228,74.202,89.84,54.563,71.919,33.441,85.211,15.512,67.961,82.194,77.2,74.428,74.17,19.029,20.686,100.295,31.035,52.116, 
Bajo de Bonillas,17.489,112.512,48.134,31.028,20.203,32.761,41.762,134.314,20.471,46.689,27.629,25.017,46.999,30.143,0,70.026,9.636,43.655,15.15,87.386,144.768,117.231,32.912,10.901,32.821,5.787,38.758,65.274,24.952,34.923,147.233,33.329,54.463,78.982,173.971,7.742,99.344,32.477,112.088,36.01,132.402,116.01,31.616,30.877,138.918,99.73,54.447,66.662,41.065,58.421,11.459,76.84,29.693,54.463,101.666,63.702,89.915,60.672,35.574,8.236,86.797,50.507,38.618, 
Rancho Nuevo de la Cruz,69.891,160.884,107.517,90.41,54.016,61.151,37.82,169.685,79.854,7.714,87.012,74.041,29.192,50.553,70.026,0,79.222,56.849,64.072,136.308,188.563,166.153,39.169,60.34,34.724,60.224,33.43,5.464,86.506,37.501,191.028,69.065,17.586,86.666,222.893,45.494,143.139,81.4,156.377,54.663,163.165,101.695,23.151,61.271,182.713,107.004,23.598,53.619,89.987,107.343,47.423,120.635,61.762,103.385,56.224,74.517,120.678,70.907,65.279,56.11,135.719,21.878,87.54, 
lvaro Obregn (Santa Ana del Conde),31.448,126.167,41.742,24.635,33.858,46.415,55.417,147.968,14.075,74.261,21.233,25.539,60.653,43.798,9.636,79.222,0,51.987,22.791,73.43,133.184,103.275,41.245,21.328,41.153,15.43,47.091,73.606,15.986,43.256,154.273,24.363,62.796,54.48,160.015,15.436,107.677,18.972,98.133,44.342,140.734,102.054,55.179,39.209,145.958,75.228,51.86,64.075,27.109,37.851,16.389,85.173,38.025,40.507,109.999,49.746,98.247,46.716,43.906,19.946,72.841,58.84,24.662, 
La Sauceda (Santa Fe de Guadalupe),43.52,134.513,81.146,64.04,27.997,13.436,33.044,123.294,53.483,51.888,60.641,47.67,38.28,18.46,43.655,56.849,51.987,0,40.539,112.774,165.029,142.619,30.825,36.807,49.597,36.691,55.535,82.05,62.972,51.7,167.494,72.222,71.24,104.37,199.359,39.749,119.605,57.866,132.843,22.886,101.483,141.398,63.623,13.801,159.179,125.118,89.332,101.547,66.454,83.809,45.148,97.101,16.569,79.851,118.443,89.09,63.582,86.06,22.45,32.393,112.185,67.284,64.006, 
Colonias Nuevo Mxico,16.298,111.017,43.551,26.445,18.708,31.266,40.267,132.819,15.889,59.111,23.047,15.627,45.504,28.648,15.15,64.072,22.791,40.539,0,74.331,134.084,104.176,38.484,18.567,38.392,17.89,44.33,70.845,24.528,40.494,155.174,33.779,60.035,65.927,160.916,24.234,104.916,19.422,99.033,41.581,137.973,102.955,52.418,36.448,146.859,86.675,69.749,84.187,28.01,45.366,29.633,82.412,35.264,41.408,107.238,50.647,95.486,47.617,41.145,17.185,73.742,56.079,25.563, 
Fraccionamiento Cristeros,88.534,155.425,43.892,73.239,90.944,103.501,112.503,205.054,66.126,131.347,71.673,77.587,117.739,100.884,87.386,136.308,73.43,112.774,74.331,0,104.661,36.831,102.585,82.668,102.494,81.991,108.431,134.947,55.191,104.596,87.828,53.664,124.136,44.781,93.57,88.335,140.885,71.903,80.655,105.683,202.075,30.14,116.519,100.55,79.513,62.269,103.746,79.066,50.397,39.134,93.734,115.094,99.366,42.389,171.339,58.724,159.588,55.694,105.247,81.286,9.028,120.18,54.862, 
Laguna de Guadalupe,132.662,77.948,131.414,115.387,143.199,155.756,164.758,179.582,125.88,183.602,119.235,133.328,169.994,153.139,144.768,188.563,133.184,165.029,134.084,104.661,0,80.038,156.858,140.372,156.766,140.256,162.704,189.219,125.412,158.868,41.714,146.25,178.409,147.309,12.522,144.938,96.563,127.423,36.333,148.528,172.998,132.668,170.792,154.822,34.647,164.798,206.275,181.594,113.869,134.091,150.337,70.772,153.638,137.346,225.612,161.253,122.624,158.223,135.494,136.795,104.276,174.453,113.59, 
Paso de Cuarenta (San Miguel de Cuarenta),118.379,118.699,63.583,75.256,120.789,133.346,142.348,228.441,95.971,161.192,79.104,107.432,147.584,130.729,117.231,166.153,103.275,142.619,104.176,36.831,80.038,0,126.5,106.583,126.409,105.906,132.346,158.862,79.106,128.511,57.953,67.636,148.051,68.695,61.984,112.25,111.01,80.293,50.78,129.598,222.054,54.054,140.434,124.465,49.638,86.184,127.661,102.98,66.739,55.477,117.649,85.219,123.281,58.732,195.254,82.639,137.071,79.609,129.162,105.201,25.662,144.095,63.029, 
San Jos de Llanos,32.777,123.771,70.403,53.297,16.903,13.536,15.364,126.765,42.741,34.208,49.899,36.927,20.601,6.788,32.912,39.169,41.245,30.825,38.484,102.585,156.858,126.5,0,22.886,7.114,22.77,13.052,39.567,49.052,9.216,153.574,58.302,28.757,90.45,185.439,26.012,105.685,43.946,118.923,17.209,125.711,127.478,21.14,16.545,145.259,111.198,67.968,87.81,52.533,69.889,31.411,83.181,24.308,65.931,75.96,75.17,83.224,72.14,27.825,18.656,98.265,24.801,50.086, 
Coecillo,9.906,107.285,50.486,33.38,14.976,27.534,36.535,129.087,22.823,55.379,29.981,10.974,41.772,24.916,10.901,60.34,21.328,36.807,18.567,82.668,140.372,106.583,22.886,0,26.137,5.597,32.074,58.59,28.676,28.239,159.321,37.926,47.779,70.074,165.063,11.914,92.66,23.57,103.181,29.326,125.718,107.102,40.162,24.193,132.234,90.822,61.497,73.712,32.157,49.513,17.313,70.156,23.009,45.555,94.982,54.794,83.231,51.764,28.89,4.865,77.889,43.823,29.71, 
Aldama,32.686,123.679,70.312,53.205,16.811,23.946,10.919,132.48,42.649,29.763,49.807,36.836,16.156,13.348,32.821,34.724,41.153,49.597,38.392,102.494,156.766,126.409,7.114,26.137,0,25.663,6.767,33.283,51.945,2.932,156.467,61.195,22.472,93.343,188.332,28.905,108.578,46.839,121.816,20.103,128.605,130.371,14.855,26.711,148.152,114.091,61.683,90.703,55.427,72.782,34.304,86.074,27.202,68.824,69.675,78.063,86.118,75.033,30.719,21.549,101.158,18.516,52.979, 
Franco,12.146,107.169,49.809,32.703,14.86,27.418,36.419,128.971,22.146,55.263,29.304,16.296,41.656,24.8,5.787,60.224,15.43,36.691,17.89,81.991,140.256,105.906,22.77,5.597,25.663,0,31.384,57.9,32.028,27.549,139.859,41.278,47.089,73.426,168.415,8.291,91.97,26.922,106.532,28.636,125.028,110.454,39.472,23.503,131.544,94.174,57.873,70.088,35.509,52.865,13.689,69.466,22.319,48.907,94.292,58.146,82.541,55.116,28.2,2.893,81.241,43.133,33.062, 
Lo de Jurez,38.623,129.617,76.249,59.143,22.749,29.884,8.924,138.418,48.587,28.469,55.745,42.773,14.862,19.286,38.758,33.43,47.091,55.535,44.33,108.431,162.704,132.346,13.052,32.074,6.767,31.384,0,27.347,62.297,13.292,166.819,71.547,16.537,103.695,198.684,25.541,118.93,57.191,132.168,30.454,138.956,140.723,8.92,37.062,158.504,124.443,55.748,84.443,65.778,83.134,26.443,96.426,37.553,79.176,63.74,88.415,96.469,85.385,41.07,31.901,111.51,12.581,63.331, 
San Cristbal,65.139,156.132,102.765,85.658,49.264,56.399,33.068,164.933,75.102,2.962,82.26,69.289,24.44,45.801,65.274,5.464,73.606,82.05,70.845,134.947,189.219,158.862,39.567,58.59,33.283,57.9,27.347,0,81.812,32.807,186.334,91.062,12.893,90.912,218.199,40.8,138.445,76.706,151.683,49.969,158.471,160.238,18.457,56.577,178.019,111.25,27.844,57.865,85.293,102.649,42.729,115.941,57.068,98.691,51.53,107.93,115.984,104.9,60.585,51.416,131.025,17.184,82.846, 
San Juan de Abajo,38.732,133.451,21.506,11.445,41.142,53.699,62.701,155.252,16.324,81.545,13.631,27.785,67.937,51.082,24.952,86.506,15.986,62.972,24.528,55.191,125.412,79.106,49.052,28.676,51.945,32.028,62.297,81.812,0,52.959,123.801,12.338,72.499,47.704,141.981,36.698,117.38,17.389,86.284,54.046,150.438,84.02,64.882,48.913,115.486,68.452,60.166,61.233,15.261,19.021,42.097,94.876,47.729,19.618,119.702,31.712,107.951,28.682,53.61,29.649,54.807,68.543,12.813, 
La Calera,34.788,125.781,72.414,55.308,18.913,26.048,13.696,134.582,44.751,32.54,51.909,38.938,18.933,15.45,34.923,37.501,43.256,51.7,40.494,104.596,158.868,128.511,9.216,28.239,2.932,27.549,13.292,32.807,52.959,0,159.604,64.332,20.956,96.48,191.469,32.042,111.715,49.976,124.953,23.24,131.742,133.508,13.339,29.848,151.289,117.228,60.167,88.863,58.564,75.919,37.497,89.211,30.339,71.961,68.159,81.2,89.255,78.17,33.856,24.686,104.295,17,56.116, 
Matancillas (San Isidro Matancillas),135.127,93.612,114.581,117.853,145.664,158.221,167.223,196.779,146.969,186.067,121.701,135.793,172.459,155.604,147.233,191.028,154.273,167.494,155.174,87.828,41.714,57.953,153.574,159.321,156.467,139.859,166.819,186.334,123.801,159.604,0,122.474,178.617,123.533,31.388,145.146,96.771,135.131,36.541,148.736,191.458,108.892,171,155.03,8.765,141.022,182.499,157.818,121.577,110.315,150.545,70.98,153.846,113.57,225.82,137.477,122.832,134.447,135.702,137.003,80.5,174.661,117.867, 
Plan de Ayala (Santa Rosa),47.982,142.701,16.325,19.224,50.392,62.949,71.951,164.502,25.574,90.795,21.41,37.035,77.187,60.332,33.329,69.065,24.363,72.222,33.779,53.664,146.25,67.636,58.302,37.926,61.195,41.278,71.547,91.062,12.338,64.332,122.474,0,82.127,35.41,127.818,46.326,127.008,26.21,83.216,63.674,160.066,50.849,74.51,58.541,113.761,56.158,56.169,48.938,20.568,14.593,51.725,104.504,57.357,15.19,90.529,21.115,117.579,18.085,63.238,39.277,51.868,78.171,9.871, 
Villas de Irapuato,54.328,145.322,91.954,74.848,38.454,45.589,22.445,154.123,64.292,10.731,71.45,58.478,17.392,34.991,54.463,17.586,62.796,71.24,60.035,124.136,178.409,148.051,28.757,47.779,22.472,47.089,16.537,12.893,72.499,20.956,178.617,82.127,0,115.031,210.02,36.427,130.266,68.527,143.504,41.79,150.292,152.059,10.92,48.398,169.84,135.779,39.659,69.68,77.114,94.47,32.128,107.762,48.889,90.512,56.786,99.751,107.805,96.721,52.406,43.237,122.846,9.877,74.667, 
San Diego de Alejandra,80.13,174.849,40.895,52.481,82.54,95.097,104.099,196.65,57.722,93.105,54.667,69.183,109.335,92.48,78.982,86.666,54.48,104.37,65.927,44.781,147.309,68.695,90.45,70.074,93.343,73.426,103.695,90.912,47.704,96.48,123.533,35.41,115.031,0,131.328,77.194,157.876,60.762,118.413,94.542,190.934,15.951,105.378,89.409,117.271,21.26,76.674,34.637,53.209,44.872,66.946,135.372,88.225,40.822,112.194,16.287,148.447,20.178,94.106,70.145,44.154,109.039,43.174, 
Villa de Arriaga,175.119,67.204,120.323,131.996,177.529,190.086,199.088,167.465,152.711,217.932,135.844,164.172,204.324,187.469,173.971,222.893,160.015,199.359,160.916,93.57,12.522,61.984,185.439,165.063,188.332,168.415,198.684,218.199,141.981,191.469,31.388,127.818,210.02,131.328,0,180.405,76.193,148.448,53.588,197.753,160.882,122.209,208.589,192.62,23.059,154.339,195.816,171.135,134.894,123.632,185.804,88.027,191.436,126.887,263.409,150.794,139.879,147.764,152.749,173.356,93.817,212.25,131.184, 
La Aldea,18.463,111.851,56.153,39.047,18.102,30.476,39.661,132.029,28.49,40.533,35.648,22.613,44.898,28.042,7.742,45.494,15.436,39.749,24.234,88.335,144.938,112.25,26.012,11.914,28.905,8.291,25.541,40.8,36.698,32.042,145.146,46.326,36.427,77.194,180.405,0,97.366,33.287,110.604,31.69,128.082,116.819,25.487,26.557,136.94,100.539,50.136,62.351,41.874,59.23,5.952,74.862,25.373,55.272,87.331,64.511,85.595,61.481,31.254,8.129,87.606,33.84,39.427, 
San Bartolo de Berrios,87.238,14.258,136.835,101.236,97.775,110.332,119.334,118.073,97.235,138.178,98.992,87.904,124.57,107.715,99.344,143.139,107.677,119.605,104.916,140.885,96.563,111.01,105.685,92.66,108.578,91.97,118.93,138.445,117.38,111.715,96.771,127.008,130.266,157.876,76.193,97.366,0,94.714,60.316,102.929,125.507,158.818,125.193,109.223,86.652,183.085,148.922,161.137,124.42,141.776,104.738,25.525,108.039,137.818,180.013,147.057,72.716,144.027,107.308,91.196,130.426,128.854,121.973, 
Duarte,17.736,107.226,27.971,8.918,36.036,48.593,57.595,150.146,4.917,76.439,6.674,7.385,62.831,45.976,32.477,81.4,18.972,57.866,19.422,71.903,127.423,80.293,43.946,23.57,46.839,26.922,57.191,76.706,17.389,49.976,135.131,26.21,68.527,60.762,148.448,33.287,94.714,0,88.059,50.709,147.101,99.666,61.545,45.576,117.261,83.386,77.136,80.898,17.035,25.508,38.76,69.898,44.392,28.763,116.365,47.358,104.614,44.328,50.273,26.312,70.453,65.206,18.099, 
Ocampo,100.476,72.827,84.572,80.336,111.013,123.57,132.572,133.309,90.829,151.416,84.184,95.36,137.808,120.953,112.088,156.377,98.133,132.843,99.033,80.655,36.333,50.78,118.923,103.181,121.816,106.532,132.168,151.683,86.284,124.953,36.541,83.216,143.504,118.413,53.588,110.604,60.316,88.059,0,113.111,128.339,100.797,135.375,119.405,28.631,132.927,135.446,131.205,76.339,79.099,114.92,35.356,118.221,82.354,190.195,100.994,87.207,97.964,100.077,101.378,72.405,139.036,76.06, 
Santa Teresa,35.875,115.441,73.501,56.395,8.745,8.563,30.858,113.014,45.838,49.702,52.996,40.025,36.095,8.414,36.01,54.663,44.342,22.886,41.581,105.683,148.528,129.598,17.209,29.326,20.103,28.636,30.454,49.969,54.046,23.24,148.736,63.674,41.79,94.542,197.753,31.69,102.929,50.709,113.111,0,109.548,130.261,33.492,10.114,148.042,113.981,80.32,90.593,55.316,72.672,34.194,85.964,8.145,68.714,88.312,77.953,67.061,74.923,11.662,21.439,101.048,37.153,52.869, 
San Diego de la Unin,132.267,116.517,169.893,152.787,116.744,110.005,139.36,6.277,142.23,158.204,149.388,136.417,144.597,116.915,132.402,163.165,140.734,101.483,137.973,202.075,172.998,222.054,125.711,125.718,128.605,125.028,138.956,158.471,150.438,131.742,191.458,160.066,150.292,190.934,160.882,128.082,125.507,147.101,128.339,109.548,0,228.438,141.266,105.276,183.719,212.158,215.009,188.587,153.494,170.849,132.188,92.327,103.307,166.891,223.001,176.13,40.096,173.1,97.775,119.433,199.225,171.905,151.046, 
Unin de San Antonio,117.158,171.329,37.065,101.863,119.568,132.125,141.127,233.678,94.75,159.971,100.297,106.211,146.363,129.508,116.01,101.695,102.054,141.398,102.955,30.14,132.668,54.054,127.478,107.102,130.371,110.454,140.723,160.238,84.02,133.508,108.892,50.849,152.059,15.951,122.209,116.819,158.818,99.666,100.797,130.261,228.438,0,119.193,103.224,102.989,33.305,106.42,50.255,79.633,59.234,96.408,149.187,102.04,37.643,174.013,27.158,162.262,31.349,107.921,83.96,29.871,122.854,57.536, 
Arandas,46.711,137.705,84.337,67.231,30.837,37.972,14.828,146.506,56.675,18.19,63.833,50.861,16.178,27.374,31.616,23.151,55.179,63.623,52.418,116.519,170.792,140.434,21.14,40.162,14.855,39.472,8.92,18.457,64.882,13.339,171,74.51,10.92,105.378,208.589,25.487,125.193,61.545,135.375,33.492,141.266,119.193,0,41.058,162.499,128.439,50.039,75.272,69.774,87.13,27.436,100.421,41.549,83.172,58.031,92.411,100.465,89.381,45.066,35.897,115.506,9.993,67.327, 
Yerbabuena,30.742,121.735,68.368,51.262,15.219,3.699,37.466,110.516,40.705,56.31,47.863,34.892,42.703,9.711,30.877,61.271,39.209,13.801,36.448,100.55,154.822,124.465,16.545,24.193,26.711,23.503,37.062,56.577,48.913,29.848,155.03,58.541,48.398,89.409,192.62,26.557,109.223,45.576,119.405,10.114,105.276,103.224,41.058,0,146.207,112.146,76.36,88.575,53.482,70.837,32.176,84.129,3.597,66.879,96.28,76.118,63.819,73.088,9.478,19.421,99.213,45.121,51.034, 
Ojuelos de Jalisco,126.812,86.545,106.266,109.538,137.349,149.906,158.908,189.712,138.654,177.752,113.386,127.478,164.144,147.289,138.918,182.713,145.958,159.179,146.859,79.513,34.647,49.638,145.259,132.234,148.152,131.544,158.504,178.019,115.486,151.289,8.765,113.761,169.84,117.271,23.059,136.94,86.652,117.261,28.631,148.042,183.719,102.989,162.499,146.207,0,132.42,173.897,149.216,112.976,101.714,141.944,62.379,145.245,104.969,217.219,128.875,114.231,125.845,127.101,128.402,71.898,166.06,109.266, 
San Julin,100.878,195.597,61.643,73.229,103.288,115.845,124.847,217.398,78.47,113.443,75.415,89.931,130.083,113.228,99.73,107.004,75.228,125.118,86.675,62.269,164.798,86.184,111.198,90.822,114.091,94.174,124.443,111.25,68.452,117.228,141.022,56.158,135.779,21.26,154.339,100.539,183.085,83.386,132.927,113.981,212.158,33.305,128.439,112.146,132.42,0,97.572,55.535,73.947,65.61,87.684,156.11,108.963,61.56,133.092,37.025,169.185,40.916,114.844,90.883,61.674,129.777,63.912, 
Cuermaro,68.046,161.434,70.929,70.806,77.665,84.8,63.3,220.249,72.22,30.037,77.767,72.196,59.026,74.202,54.447,23.598,51.86,89.332,69.749,103.746,206.275,127.661,67.968,61.497,61.683,57.873,55.748,27.844,60.166,60.167,182.499,56.169,39.659,76.674,195.816,50.136,148.922,77.136,135.446,80.32,215.009,106.42,50.039,76.36,173.897,97.572,0,42.868,72.011,70.337,44.701,124.976,75.487,70.934,34.997,62.301,135.709,58.691,81.368,58.243,103.971,46.56,62.08, 
Ciudad Manuel Doblado,80.261,173.649,59.155,68.119,79.9,92.274,105.072,193.827,75.982,60.058,70.305,87.443,100.798,89.84,66.662,53.619,64.075,101.547,84.187,79.066,181.594,102.98,87.81,73.712,90.703,70.088,84.443,57.865,61.233,88.863,157.818,48.938,69.68,34.637,171.135,62.351,161.137,80.898,131.205,90.593,188.587,50.255,75.272,88.575,149.216,55.535,42.868,0,69.684,62.559,56.659,136.934,87.445,58.509,77.902,42.761,147.667,37.805,93.326,70.201,78.474,88.305,58.987, 
