LOCALIDADES,Telpatln,Joachn,Capoluca,San Mateo Yoloxochitln,Zapotitln Salinas,Zapoapan,Tlamatoca Potrerillo,Atoyac,Tetla,Colorines,San Bartolom Ayautla,Campo Grande,Zoquitln,Necoxtla,Santa Mara del Monte,San Marcial,Acatepec (San Antonio),San Isidro Vista Hermosa,Cuichapa,Mariano Escobedo,Xitlama,Tetela,Fraccionamiento Valle Dorado,Agrcola Lzaro Crdenas,La Luz y Trinidad Palotal,Providencia,Tlilapan,San Pedro Ixcatln,Tepetzitzintla,Guadalupe (La Patrona),Los Naranjos,Tuxpanguillo,Omealca,Tequila,Motzorongo,La Perla,Sumidero,Atzompa,Calipan,Huiloapan de Cuauhtmoc,Tomatln,Paraje Nuevo,Tetelzingo,Dos Ros (Tocuila),Ixhuatlancillo,Tezonapa,Peuela,Yanga,Acatln de Prez Figueroa,San Felipe Jalapa de Daz,San Lucas Ojitln,Coxcatln,Temascal,Ixhuatln del Caf,Zongolica,Monte Blanco,Acultzingo,Vicente Camalote,Xocotla,Cuautlapan,Teotitln de Flores Magn,San Jos Miahuatln,El Pueblito (Crucero Nacional),Unin y Progreso,Jalapilla,Cosolapa,Atzacan,Amatln de los Reyes,Rafael Delgado,Huautla de Jimnez,Chocamn,La Luz Francisco I. Madero (San Romn),Crdoba (Santa Leticia),Maltrata,San Gabriel Chilac,Paso del Macho,Cuitlhuac,Palmira,General Miguel Alemn (Potrero Nuevo),Coscomatepec de Bravo,San Sebastin Zinacatepec,Tres Valles,Altepexi,Fortn de las Flores,Nogales,Ixtaczoquitln,Ciudad de Ajalpan,Ciudad Mendoza,Ro Blanco,Tierra Blanca,Orizaba,Crdoba,Tehuacn, 
Omealca,105.792,66.632,59.945,241.909,175.84,45.176,62.285,27.882,54.481,33.915,247.634,56.813,116.636,70.171,99.077,33.554,105.864,115.225,10.512,57.495,116.454,58.945,53.291,62.779,32.592,2.783,53.395,189.103,111.873,18.985,99.705,54.22,0,66.401,19.234,59.346,39.303,81.426,154.757,59.778,57.451,24.441,73.161,44.592,57.97,24.944,23.426,15.243,38.553,194.491,177.251,159.083,113.723,56.805,46.458,43.479,79.502,48.982,62.741,43.275,182.295,148.7,35.678,53.293,51.674,26.955,50.192,26.599,53.811,254.789,49.217,32.001,34.088,86.765,182.854,37.142,14.148,53.373,23.607,59.425,142.681,111.56,135.768,36.4,59.328,49.094,139.852,62.622,54.137,78.514,50.319,29.475,121.271, 
Tequila,40.361,120.17,34.433,207.813,141.744,33.434,70.238,58.415,48.396,36.406,249.401,31.301,82.855,36.075,33.646,39.318,72.083,81.129,55.35,26.683,82.673,134.829,22.479,28.683,41.124,64.296,12.872,247.196,46.442,46.93,157.798,35.862,66.401,0,83.99,28.723,27.626,26.672,120.519,25.54,51.779,48.405,67.49,33.039,26.989,89.7,47.389,54.064,103.309,246.887,229.647,124.845,166.119,51.134,20.438,37.807,45.264,113.738,57.07,26.594,148.057,114.462,34.501,22.278,15.546,91.711,31.948,42.143,16.656,214.189,43.546,35.155,34.104,52.527,148.616,72.459,62.331,24.929,58.924,53.754,108.443,163.956,101.53,30.729,25.09,22.5,105.614,28.384,22.432,130.91,19.984,38.031,87.033, 
Motzorongo,106.059,94.022,78.006,89.395,193.901,63.237,80.346,45.943,72.542,51.976,235.236,74.874,97.797,88.232,118.994,51.615,87.025,133.286,27.551,75.556,97.615,40.106,71.352,80.84,50.653,20.844,71.456,176.705,101.426,36.024,87.307,72.281,19.234,83.99,0,77.407,57.364,99.487,115.11,77.839,75.512,42.502,91.222,62.653,76.031,6.073,41.487,33.304,19.682,176.204,158.964,119.769,74.648,74.866,63.362,61.54,97.563,30.111,80.802,61.336,142.981,166.761,53.739,71.354,69.735,8.084,68.253,44.66,71.872,236.502,67.278,50.062,52.149,104.826,200.915,55.203,32.209,71.434,41.668,77.486,160.742,93.273,153.829,54.461,77.389,67.155,157.913,80.683,72.198,60.228,68.38,47.536,139.332, 
La Perla,68.586,113.115,27.361,199.736,134.771,26.362,63.183,51.36,41.341,29.35,241.324,24.229,111.08,27.998,61.871,32.262,100.308,73.052,48.295,1.883,110.898,127.774,8.089,21.71,34.069,57.241,16.189,240.141,74.667,39.875,150.743,28.79,59.346,28.723,77.407,0,20.893,38.803,112.134,17.819,45.046,41.672,40.17,26.306,5.257,82.967,40.656,47.331,96.576,240.155,222.915,116.46,159.387,44.401,48.548,31.074,36.879,107.005,50.337,19.844,139.672,106.077,27.768,6.936,13.657,84.978,13.206,35.411,15.794,205.804,36.813,28.422,27.371,45.238,95.354,65.726,55.598,6.611,52.191,47.021,100.058,157.224,93.145,23.996,17.133,15.749,97.229,19.999,13.415,124.178,10.041,31.298,78.647, 
Sumidero,67.489,93.072,21.642,203.606,137.537,17.52,43.14,31.317,21.298,9.307,245.194,18.51,109.983,31.868,60.774,12.219,99.211,76.922,28.252,19.192,109.801,107.731,14.988,24.476,14.026,37.198,15.092,220.098,73.57,19.832,130.7,23.071,39.303,27.626,57.364,20.893,0,42.857,116.188,21.21,24.742,21.369,40.453,6.005,19.401,62.664,20.353,27.028,76.273,219.851,202.611,120.514,139.083,24.097,47.996,10.77,40.933,86.702,30.033,11.287,143.726,110.131,7.465,14.724,13.105,64.675,11.286,15.107,15.242,209.858,16.509,8.119,7.067,48.196,144.285,45.423,35.295,14.804,31.888,26.717,104.112,136.92,97.199,3.692,20.76,7.022,101.283,24.053,15.568,103.874,11.75,10.995,82.702, 
Atzompa,48.657,135.195,49.458,185.265,87.969,48.459,85.263,73.44,63.421,51.43,226.853,46.326,91.151,10.88,41.942,54.342,80.379,58.581,70.375,37.102,90.969,149.854,32.223,21.232,56.149,79.321,34.654,262.221,54.738,61.955,172.823,50.887,81.426,26.672,99.487,38.803,42.857,0,97.803,22.673,66.965,63.592,82.676,48.226,36.922,104.887,62.576,69.251,118.496,262.074,244.834,102.129,181.306,66.32,47.701,52.993,22.548,128.925,72.256,41.78,125.341,91.746,49.687,32.691,32.293,106.898,38.811,57.33,34.429,191.473,58.732,50.341,49.29,27.474,81.023,87.646,77.518,33.796,74.111,68.94,85.727,179.143,78.814,45.915,22.444,37.686,82.898,19.302,25.805,146.097,32.05,53.217,64.316, 
Calipan,48.854,208.526,122.789,87.103,56.565,121.79,158.594,146.771,136.752,124.761,128.691,119.657,25.759,99.609,61.789,127.673,25.596,41.628,143.706,110.433,23.465,145.155,105.554,94.563,129.48,152.652,107.985,165.392,44.221,135.286,246.154,124.218,154.757,120.519,115.11,112.134,116.188,97.803,0,96.511,140.803,137.43,156.514,122.064,110.76,105.479,136.414,143.089,120.522,154.021,173.53,4.474,255.144,140.158,93.455,126.831,76.21,129.618,146.094,115.618,27.686,17.355,123.525,106.528,106.131,104.434,112.649,131.168,108.267,93.819,132.57,124.179,123.128,126.158,29.054,161.484,151.356,107.634,147.949,142.778,10.756,237.588,20.317,119.753,96.282,111.524,15.674,93.14,99.643,219.935,105.888,127.055,38.618, 
Huiloapan de Cuauhtmoc,83.188,113.547,27.81,183.466,118.262,26.811,63.615,51.792,41.773,29.783,225.054,24.678,125.683,11.727,70.501,32.695,114.911,56.782,48.727,16.118,125.501,128.206,11.239,5.248,34.501,57.673,13.006,240.573,89.269,40.307,151.175,29.239,59.778,25.54,77.839,17.819,21.21,22.673,96.511,0,45.832,42.459,61.543,27.093,15.872,83.754,41.443,48.118,97.363,240.941,223.701,100.29,160.173,45.187,46.051,31.86,20.708,107.792,51.123,20.648,123.502,89.907,28.555,11.64,11.16,85.765,17.76,36.197,13.296,189.634,37.599,29.209,28.157,28.886,79.184,66.513,56.385,12.746,52.978,47.807,83.888,158.01,76.975,24.782,1.394,16.554,81.059,3.828,4.755,124.964,10.999,32.085,62.477, 
Tomatln,91.642,111.22,45.794,227.758,161.689,32.151,20.972,49.465,14.009,27.455,296.777,42.662,134.136,56.02,84.927,16.079,123.364,101.074,46.4,43.345,133.954,125.879,39.141,48.628,15.347,55.346,39.245,238.246,97.723,37.98,148.848,41.195,57.451,51.779,75.512,45.046,24.742,66.965,140.803,45.832,0,37.891,21.53,27.521,40.899,79.186,36.875,43.55,92.795,236.374,219.134,142.012,155.606,5.94,69.494,11.692,62.431,103.224,20.233,27.216,165.224,131.629,23.987,36.222,34.603,81.197,33.121,31.63,36.74,231.356,5.91,24.641,17.742,69.694,165.783,61.945,51.817,36.302,48.41,7.794,125.61,153.443,118.697,18.982,42.257,32.023,122.781,45.551,37.066,120.397,33.248,19.803,104.2, 
Paraje Nuevo,88.268,78.507,37.394,224.385,158.316,26.675,44.066,11.768,36.957,16.391,264.064,34.262,130.762,52.647,81.553,15.335,119.99,97.701,20.663,39.971,130.58,93.166,35.767,45.255,14.373,22.336,35.871,205.533,94.349,12.243,116.135,35.719,24.441,48.405,42.502,41.672,21.369,63.592,137.43,42.459,37.891,0,54.782,26.213,39.591,48.168,5.163,12.532,61.777,205.634,188.394,140.704,124.866,38.426,68.186,25.1,61.123,72.206,44.362,24.895,163.916,130.321,17.298,34.914,33.295,50.179,31.813,8.22,35.432,265.932,30.838,13.622,15.825,68.386,164.475,22.192,20.798,34.994,8.657,41.046,124.302,122.703,117.389,18.021,40.949,30.715,121.473,44.243,35.758,89.657,31.94,11.212,102.892, 
Tetelzingo,107.353,126.93,61.505,243.469,177.4,47.861,44.893,65.175,27.052,43.165,312.487,58.373,149.847,71.731,100.638,38.213,139.075,116.785,62.11,59.056,149.665,141.589,54.852,64.339,36.833,71.056,54.956,253.956,113.434,53.69,164.558,56.905,73.161,67.49,91.222,40.17,40.453,82.676,156.514,61.543,21.53,54.782,0,44.349,57.727,96.014,53.703,60.378,109.623,253.202,235.962,158.84,172.434,23.162,86.322,28.52,79.259,120.052,18.303,44.044,182.052,148.457,40.815,53.05,51.431,98.025,49.949,48.458,53.568,248.184,22.881,41.469,39.811,86.522,182.611,78.773,68.645,53.13,65.238,13.732,142.438,170.271,135.525,35.81,59.085,48.851,139.609,62.379,53.894,137.225,50.076,43.577,121.028, 
Dos Ros (Tocuila),72.902,98.361,27.055,209.019,142.95,22.809,48.429,36.606,10.638,14.596,250.607,23.923,115.396,37.281,66.187,17.508,104.624,82.335,33.541,24.605,115.214,113.02,20.401,29.889,19.315,42.487,20.505,225.387,78.983,25.121,135.989,28.484,44.592,33.039,62.653,26.306,6.005,48.226,122.064,27.093,27.521,26.213,44.349,0,24.631,68.018,25.707,32.382,81.627,225.205,207.965,125.744,144.437,29.451,53.226,16.124,46.163,92.056,19.215,19.85,148.956,115.361,12.819,19.954,18.335,70.029,10.958,20.461,20.472,215.088,21.863,13.473,12.421,53.426,149.515,50.777,40.649,16.396,37.242,32.071,109.342,142.274,102.429,9.046,25.989,12.146,106.513,29.283,20.798,109.228,16.98,16.349,87.932, 
Ixhuatlancillo,66.852,111.739,25.985,197.715,132.75,24.986,61.807,49.984,39.965,27.974,239.303,22.853,109.346,25.977,60.137,30.886,98.574,71.031,46.919,3.556,109.164,126.398,5.29,19.689,32.693,55.865,14.455,238.765,72.933,38.499,149.367,27.414,57.97,26.989,76.031,5.257,19.401,36.922,110.76,15.872,40.899,39.591,57.727,24.631,0,81.558,39.247,45.922,95.167,238.746,221.506,114.442,157.978,42.992,47.139,29.665,34.861,105.596,48.928,18.435,137.654,104.059,26.359,4.813,12.248,83.569,11.798,34.002,14.385,203.786,35.404,27.013,25.962,43.22,93.336,64.317,54.189,7.02,50.782,45.612,98.04,155.815,91.127,22.587,15.115,14.34,95.211,17.981,11.397,122.769,8.632,29.889,76.629, 
Tezonapa,101.992,74.164,83.716,85.328,199.611,68.947,86.056,51.653,78.252,57.686,229.421,80.584,93.73,93.942,114.927,57.325,82.958,138.996,33.261,81.266,93.548,34.291,77.062,86.55,56.363,26.554,77.166,170.89,97.359,41.734,81.492,77.991,24.944,89.7,6.073,82.967,62.664,104.887,105.479,83.754,79.186,48.168,96.014,68.018,81.558,0,47.199,39.016,13.892,170.414,153.174,114.684,68.858,80.578,69.074,67.252,103.275,24.321,86.514,67.048,137.896,172.473,59.451,77.066,75.447,2.011,73.965,50.372,77.584,230.712,72.99,55.774,57.861,110.538,206.627,60.915,37.921,77.146,47.38,83.198,120.492,87.483,159.541,60.173,83.101,72.867,163.625,86.395,77.91,54.438,74.092,53.248,145.044, 
Peuela,87.252,77.491,33.353,223.369,157.3,22.634,40.025,15.556,35.941,15.375,263.048,30.221,129.746,51.631,80.537,11.294,118.974,96.685,16.623,38.955,129.564,92.15,34.751,44.239,10.332,21.321,34.855,204.517,93.333,8.203,115.119,31.678,23.426,47.389,41.487,40.656,20.353,62.576,136.414,41.443,36.875,5.163,53.703,25.707,39.247,47.199,0,11.526,60.772,204.629,187.389,139.699,123.861,37.421,67.181,24.095,60.118,71.201,43.357,20.544,162.911,129.316,16.293,33.909,32.29,49.174,30.808,5.007,34.427,264.927,29.833,12.617,11.777,67.381,163.47,25.99,19.793,33.989,12.455,40.041,123.297,121.698,116.384,17.016,39.944,29.71,120.468,43.238,34.753,88.652,30.935,7.164,101.887, 
Yanga,93.927,70.827,48.08,230.044,163.975,33.311,50.42,14.449,42.616,22.05,254.167,44.948,130.738,58.306,87.212,21.689,119.966,103.36,18.824,45.63,130.556,83.269,41.426,50.914,20.727,13.138,41.53,195.636,100.008,18.776,106.238,42.355,15.243,54.064,33.304,47.331,27.028,69.251,143.089,48.118,43.55,12.532,60.378,32.382,45.922,39.016,11.526,0,54.785,195.948,178.708,147.181,115.18,44.903,74.663,31.577,67.6,65.214,50.839,31.373,170.393,136.798,23.776,41.391,39.772,43.187,38.29,14.697,41.909,256.246,37.315,20.099,22.186,74.863,170.952,25.24,9.007,41.471,11.705,47.523,130.779,113.017,123.866,24.498,47.426,37.192,127.95,50.72,42.235,79.971,38.417,17.573,109.369, 
Acatln de Prez Figueroa,117.035,61.928,97.325,227.765,213.22,82.556,99.665,65.262,91.861,71.295,215.557,94.193,108.773,107.551,129.97,70.934,98.001,152.605,46.87,94.875,108.591,20.427,90.671,100.159,69.972,40.163,90.775,157.026,112.402,55.343,67.628,91.6,38.553,103.309,19.682,96.576,76.273,118.496,120.522,97.363,92.795,61.777,109.623,81.627,95.167,13.892,60.772,54.785,0,156.544,139.304,130.742,54.988,94.268,82.764,80.942,116.965,10.451,100.204,80.738,153.954,143.149,73.141,90.756,89.137,13.993,87.655,64.062,91.274,216.842,86.68,69.464,71.551,124.228,220.317,74.605,48.746,90.836,61.07,96.888,136.55,73.613,173.231,73.863,96.791,86.557,177.315,100.085,91.6,40.568,87.782,66.938,158.734, 
San Felipe Jalapa de Daz,203.06,143.604,240.903,71.546,210.438,226.134,257.282,203.126,235.44,214.873,59.338,237.771,178.969,251.129,215.995,214.791,179.802,195.5,203.965,238.454,174.71,136.197,234.25,243.737,213.83,192.386,234.353,15.987,198.427,211.6,106.032,235.178,194.491,246.887,176.204,240.155,219.851,262.074,154.021,240.941,236.374,205.634,253.202,225.205,238.746,170.414,204.629,195.948,156.544,0,20.383,146.406,122.73,237.667,267.427,224.341,226.895,147.42,243.603,224.136,124.292,168.04,216.539,234.155,232.536,171,231.054,207.461,234.673,61.726,230.079,212.863,217.011,267.627,179.739,209.352,186.945,234.235,196.874,240.287,161.441,84.441,171.002,217.262,240.19,229.956,166.359,243.484,234.999,116.939,231.181,213.925,189.303, 
San Lucas Ojitln,222.569,126.364,223.663,91.055,229.947,208.894,240.042,185.886,218.2,197.633,78.847,220.531,198.478,233.889,235.504,197.551,199.311,215.009,186.725,221.214,194.219,118.957,217.01,226.497,196.59,175.146,217.113,20.316,217.936,194.36,88.792,217.938,177.251,229.647,158.964,222.915,202.611,244.834,173.53,223.701,219.134,188.394,235.962,207.965,221.506,153.174,187.389,178.708,139.304,20.383,0,165.915,105.793,220.73,250.49,207.404,243.427,130.483,226.666,207.199,143.801,187.549,199.602,217.218,215.599,154.063,214.117,190.524,217.736,81.235,213.142,195.926,200.074,250.69,199.248,192.415,170.008,217.298,179.937,223.35,180.95,67.504,190.511,200.325,223.253,213.019,185.868,226.547,218.062,100.002,214.244,196.988,208.812, 
Coxcatln,53.513,212.852,127.115,82.676,60.891,126.116,162.92,151.097,141.078,129.087,124.264,123.983,30.996,103.935,66.448,131.999,30.255,45.954,148.032,114.759,26.737,149.814,109.88,98.889,133.806,156.978,112.311,160.965,48.88,139.612,250.48,128.544,159.083,124.845,119.769,116.46,120.514,102.129,4.474,100.29,142.012,140.704,158.84,125.744,114.442,114.684,139.699,147.181,130.742,146.406,165.915,0,259.459,144.473,98.083,131.146,80.525,134.246,150.409,119.933,23.27,21.67,127.84,110.843,110.446,109.062,116.964,135.483,112.582,89.403,136.885,128.494,127.443,130.473,33.369,165.799,155.671,111.949,152.264,147.093,15.071,233.172,24.632,124.068,100.597,115.839,19.989,97.455,103.958,224.25,110.203,131.37,42.933, 
Temascal,170.668,62.836,160.135,193.402,276.03,145.366,176.514,122.358,154.672,134.105,181.194,157.003,162.406,170.361,199.267,134.023,151.634,215.415,123.197,157.686,162.224,55.429,153.482,162.969,133.062,111.618,153.585,122.663,166.035,130.832,33.265,154.41,113.723,166.119,74.648,159.387,139.083,181.306,255.144,160.173,155.606,124.866,172.434,144.437,157.978,68.858,123.861,115.18,54.988,122.73,105.793,259.459,0,157.211,186.971,143.885,179.908,45.318,163.147,143.68,245.906,249.106,136.083,153.699,152.08,68.898,150.598,127.005,154.217,183.34,149.623,132.407,136.555,187.171,283.26,128.896,106.489,153.779,116.418,159.831,243.087,40.111,236.174,136.806,159.734,149.5,240.258,163.028,154.543,36.483,150.725,133.469,221.677, 
Ixhuatln del Caf,90.997,110.574,45.149,227.113,161.044,31.505,13.934,48.819,19.949,26.809,296.131,42.017,133.491,55.375,84.282,20.831,122.719,100.429,45.754,42.7,133.309,125.233,38.496,47.983,20.099,54.7,38.6,237.6,97.078,37.334,148.202,40.549,56.805,51.134,74.866,44.401,24.097,66.32,140.158,45.187,5.94,38.426,23.162,29.451,42.992,80.578,37.421,44.903,94.268,237.667,220.73,144.473,157.211,0,75.37,17.568,68.307,109.1,26.109,33.092,171.1,137.505,29.863,42.098,40.479,87.073,38.997,37.506,42.616,237.232,10.662,30.517,22.494,75.57,171.659,38.447,57.693,42.178,54.286,13.734,131.486,159.319,124.573,24.858,48.133,37.899,128.657,51.427,42.942,126.273,39.124,24.555,110.076, 
Zongolica,49.926,140.334,54.597,180.723,161.908,53.598,90.402,78.579,68.56,56.57,222.311,51.465,81.706,56.239,47.492,59.482,70.934,101.293,35.811,46.847,81.524,154.993,42.643,48.847,61.288,84.46,33.036,267.36,43.84,34.34,177.962,56.026,46.458,20.438,63.362,48.548,47.996,47.701,93.455,46.051,69.494,68.186,86.322,53.226,47.139,69.074,67.181,74.663,82.764,267.427,250.49,98.083,186.971,75.37,0,57.971,65.428,89.194,77.234,46.758,115.784,134.626,54.665,42.442,35.711,71.085,52.112,62.307,36.82,181.917,63.71,55.319,54.268,72.691,168.78,92.623,82.495,45.093,79.088,73.918,98.38,184.12,121.694,50.893,45.254,42.664,125.778,48.548,42.596,151.074,40.148,58.195,107.197, 
Monte Blanco,77.67,97.248,31.822,213.786,147.717,18.178,32.6,35.493,10.758,13.483,282.805,28.69,120.164,42.048,70.955,8.46,109.392,87.102,32.428,29.373,119.982,111.907,25.169,34.656,12.151,41.374,25.273,224.274,83.751,24.008,134.876,27.222,43.479,37.807,61.54,31.074,10.77,52.993,126.831,31.86,11.692,25.1,28.52,16.124,29.665,67.252,24.095,31.577,80.942,224.341,207.404,131.146,143.885,17.568,57.971,0,50.813,91.606,19.337,15.598,153.606,120.011,12.369,24.604,22.985,69.579,21.503,20.012,25.122,219.738,5.813,13.023,11.365,58.076,154.165,50.327,40.199,24.684,36.792,16.021,113.992,141.825,107.079,7.364,30.639,20.405,111.163,33.933,25.448,108.779,21.63,15.131,92.582, 
Acultzingo,62.887,133.271,47.534,163.165,65.869,46.535,83.339,71.516,61.497,49.506,204.753,44.402,105.382,24.354,50.2,52.418,94.61,36.481,68.451,35.178,105.2,147.93,30.299,19.308,54.225,77.397,32.73,260.297,68.968,60.031,170.899,48.963,79.502,45.264,97.563,36.879,40.933,22.548,76.21,20.708,62.431,61.123,79.259,46.163,34.861,103.275,60.118,67.6,116.965,226.895,243.427,80.525,179.908,68.307,65.428,50.813,0,126.959,70.29,39.814,103.199,69.604,47.721,30.725,30.327,104.932,36.845,55.364,32.463,169.331,56.766,48.375,47.324,25.508,58.881,85.68,75.552,31.83,72.145,66.974,63.585,177.177,56.672,43.949,20.478,35.72,60.756,17.336,23.839,144.131,30.084,51.251,42.174, 
Vicente Camalote,126.131,52.255,107.754,218.092,223.649,92.985,110.094,75.691,102.29,81.724,205.884,104.622,117.869,117.98,139.066,81.363,107.097,163.034,57.299,105.304,117.687,10.754,101.1,110.588,80.401,50.592,101.204,147.353,121.498,65.772,57.955,102.029,48.982,113.738,30.111,107.005,86.702,128.925,129.618,107.792,103.224,72.206,120.052,92.056,105.596,24.321,71.201,65.214,10.451,147.42,130.483,134.246,45.318,109.1,89.194,91.606,126.959,0,110.571,91.105,163.052,152.247,83.508,101.123,99.504,24.36,98.022,74.429,101.641,207.17,97.047,79.831,81.918,134.595,230.684,84.972,55.136,101.203,71.437,107.255,145.648,63.941,183.598,84.23,107.158,96.924,150.566,110.452,101.967,30.896,98.149,77.305,169.101, 
Xocotla,96.933,116.51,51.085,233.049,166.98,37.441,41.141,54.755,8.75,32.745,302.067,47.953,139.427,61.311,90.218,27.792,128.655,106.365,51.69,48.636,139.245,131.169,44.432,53.919,29.638,60.636,44.536,243.536,103.014,43.27,154.138,46.485,62.741,57.07,80.802,50.337,30.033,72.256,146.094,51.123,20.233,44.362,18.303,19.215,48.928,86.514,43.357,50.839,100.204,243.603,226.666,150.409,163.147,26.109,77.234,19.337,70.29,110.571,0,34.86,172.868,139.273,31.631,43.866,42.247,88.841,28.225,39.274,44.384,239,14.353,32.285,30.627,77.338,173.427,69.589,59.461,43.946,56.054,17.557,133.254,161.087,126.341,26.626,49.901,39.667,130.425,53.195,44.71,128.041,40.892,34.393,111.844, 
Cuautlapan,66.457,97.043,14.466,202.573,136.504,13.467,48.124,35.288,26.282,13.215,244.161,11.334,108.951,30.835,59.742,14.331,98.179,75.889,32.224,18.143,108.769,111.702,13.939,23.443,16.37,41.17,14.06,224.069,72.538,23.804,134.671,15.895,43.275,26.594,61.336,19.844,11.287,41.78,115.618,20.648,27.216,24.895,44.044,19.85,18.435,67.048,20.544,31.373,80.738,224.136,207.199,119.933,143.68,33.092,46.758,15.598,39.814,91.105,34.86,0,142.81,109.215,11.616,13.791,12.189,68.829,13.013,19.261,14.326,208.942,21.338,12.27,10.406,47.28,143.369,45.362,39.449,13.871,31.827,31.546,103.196,141.074,96.283,8.521,19.843,6.168,100.367,23.137,14.635,108.028,10.818,14.158,81.786, 
Teotitln de Flores Magn,76.725,236.064,150.327,60.562,84.103,149.328,186.132,174.309,164.29,152.299,102.15,147.195,52.635,127.147,89.66,155.211,53.467,69.166,171.244,137.971,48.376,173.026,133.092,122.101,157.018,180.19,135.523,138.851,72.092,162.824,228.896,151.756,182.295,148.057,142.981,139.672,143.726,125.341,27.686,123.502,165.224,163.916,182.052,148.956,137.654,137.896,162.911,170.393,153.954,124.292,143.801,23.27,245.906,171.1,115.784,153.606,103.199,163.052,172.868,142.81,0,44.904,151.075,134.078,133.681,132.296,140.199,158.718,135.817,66.114,160.12,151.729,150.678,153.708,56.604,189.034,178.906,135.184,175.499,170.328,38.306,209.883,47.867,147.303,123.832,139.074,43.224,120.69,127.193,247.485,133.438,154.605,66.168, 
San Jos Miahuatln,65.92,202.469,116.732,104.31,47.92,115.733,152.537,140.714,130.695,118.704,145.898,113.6,42.825,93.552,57.026,121.616,42.662,35.571,137.649,104.376,40.531,217.128,99.497,88.506,123.423,146.595,101.928,182.599,61.287,129.229,240.097,118.161,148.7,114.462,166.761,106.077,110.131,91.746,17.355,89.907,131.629,130.321,148.457,115.361,104.059,172.473,129.316,136.798,143.149,168.04,187.549,21.67,249.106,137.505,134.626,120.011,69.604,152.247,139.273,109.215,44.904,0,151.891,135.998,134.497,121.508,149.338,159.534,136.633,111.025,160.936,152.545,151.494,117.838,9.208,189.85,179.722,137.104,176.315,171.144,10.041,281.347,14.26,148.119,125.514,139.89,15.447,122.861,128.875,248.301,135.357,155.421,32.769, 
El Pueblito (Crucero Nacional),74.364,89.446,24.465,210.48,144.411,13.745,44.895,27.691,23.053,1.562,275.003,21.333,116.858,38.742,67.649,6.149,106.086,83.796,20.191,26.067,116.676,104.105,21.863,31.35,7.425,33.573,21.967,216.472,80.445,16.207,127.074,22.789,35.678,34.501,53.739,27.768,7.465,49.687,123.525,28.555,23.987,17.298,40.815,12.819,26.359,59.451,16.293,23.776,73.141,216.539,199.602,127.84,136.083,29.863,54.665,12.369,47.721,83.508,31.631,11.616,151.075,151.891,0,21.735,20.117,58.135,18.634,8.567,22.254,216.869,17.659,0.774,3.879,55.208,151.296,38.883,28.755,21.815,25.348,27.867,111.123,130.38,104.21,4.842,27.771,17.536,108.294,31.064,22.579,97.334,18.761,4.401,89.713, 
Unin y Progreso,62.141,107.062,21.308,193.483,128.518,20.309,57.13,45.307,35.288,23.297,235.071,18.176,104.635,21.745,55.426,26.209,93.863,66.799,42.242,5.235,104.453,121.721,1.425,15.457,28.016,51.188,9.744,234.088,68.222,33.822,144.69,22.737,53.293,22.278,71.354,6.936,14.724,32.691,106.528,11.64,36.222,34.914,53.05,19.954,4.813,77.066,33.909,41.391,90.756,234.155,217.218,110.843,153.699,42.098,42.442,24.604,30.725,101.123,43.866,13.791,134.078,135.998,21.735,0,7.603,78.924,7.152,29.357,9.74,199.363,30.759,22.368,21.317,38.797,88.913,59.672,49.544,2.084,46.137,40.967,93.617,151.17,86.704,17.942,10.692,9.695,90.788,13.558,6.974,118.124,3.987,25.244,72.206, 
Jalapilla,55.409,105.443,19.706,193.086,127.017,18.707,55.511,43.688,33.669,21.679,234.674,16.574,97.903,21.348,48.694,24.591,87.131,66.402,40.623,11.956,97.721,120.102,7.752,13.956,26.397,49.569,3.013,232.469,61.49,32.203,143.071,21.135,51.674,15.546,69.735,13.657,13.105,32.293,106.131,11.16,34.603,33.295,51.431,18.335,12.248,75.447,32.29,39.772,89.137,232.536,215.599,110.446,152.08,40.479,35.711,22.985,30.327,99.504,42.247,12.189,133.681,134.497,20.117,7.603,0,76.492,16.729,26.924,2.183,199.363,28.327,19.936,18.885,37.701,133.79,57.24,47.112,9.959,43.705,38.535,93.617,148.737,86.704,15.51,10.265,7.281,90.788,13.558,7.607,115.691,5.014,22.812,72.207, 
Cosolapa,100.947,74.207,85.727,84.283,201.622,70.958,88.067,53.664,80.263,59.697,229.464,82.595,92.685,95.953,113.882,59.336,81.913,141.007,35.272,83.277,92.503,34.334,79.073,88.561,58.374,28.565,79.177,170.933,96.314,43.745,81.535,80.002,26.955,91.711,8.084,84.978,64.675,106.898,104.434,85.765,81.197,50.179,98.025,70.029,83.569,2.011,49.174,43.187,13.993,171,154.063,109.062,68.898,87.073,71.085,69.579,104.932,24.36,88.841,68.829,132.296,121.508,58.135,78.924,76.492,0,76.061,52.468,79.68,230.75,75.086,57.87,59.957,112.634,208.723,63.011,40.017,79.242,49.476,85.294,120.303,87.521,161.637,62.269,85.197,74.963,165.721,88.491,80.006,54.476,76.188,55.344,147.14, 
