LOCALIDADES,El Salvador,San Lucas Evangelista,Santa Cruz del Astillero,La Manzanilla de la Paz,La Cofrada de la Luz,Santiago Totolimixpan (Colonia la Guadalupana),Estipac,Paseo Puente Viejo,El Plan (El Cerrito),El Cabezn (El Limn),El Salitre,Buenavista,Santa Fe,Lomas de Tejeda,Villa Emiliano Zapata (Ejido Modelo),Amacueca,Juanacatln,La Laja,Chantepec (El Chante),El Crucero de Santa Mara,Zapotln del Rey,San Marcos,Zapotitn de Hidalgo,La Capilla del Refugio,San Luis Soyatln,Jardines de San Sebastin,San Isidro Mazatepec,Cuisillos,San Francisco de la Soledad (San Francisco),San Esteban (San Miguel Tateposco),Hostotipaquillo,Teuchitln,La Unin del Cuatro (San Jos del Valle),Teocuitatln de Corona,Chiquilistln,Nextipac,Fraccionamiento Campestre las Palomas,Hacienda los Fresnos,Fraccionamiento la Alameda,Cuquo,Paseo del Prado,Tenamaxtln,Concepcin de Buenos Aires,Palomar,La Punta,San Antonio Tlayacapan,Mezcala,Atoyac,San Pedro Itzicn,Cajititln,San Juanito de Escobedo,Atemajac de Brizuela,La Venta del Astillero,Puente Grande,Galaxia la Noria,Colinas del Roble,Ixtlahuacn de los Membrillos,Ixtlahuacn del Ro,El Refugio,Zapote del Valle (Zapote de Santa Cruz),Atequiza,San Juan Cosal,Bellavista,Atotonilquillo,Los Ruiseores,San Miguel Cuyutln,Villa Corona,Los Olivos,San Martn Hidalgo,Fraccionamiento Rancho Alegre,El Capuln,La Alameda,Galaxia Bonito Jalisco,Juanacatln,Tecolotln,Valle Dorado Inn,Acatln de Jurez,Ajijic,Amatitn,Fraccionamiento Villas de la Hacienda,Santa Cruz de las Flores,El Arenal,Lomas de San Agustn,Acatic,La Tijera,Centro de Readaptacin Social,Etzatln,Poncitln,Fraccionamiento Real del Valle (El Paraso),Cocula,Tizapn el Alto,Ahualulco de Mercado,San Jos del Castillo,Magdalena,San Jos el Verde (El Verde),El Quince (San Jos el Quince),Zacoalco de Torres,Jocotepec,Lomas del Sur,Santa Anita,Chapala,El Salto,Las Pintas,Las Pintitas,Santa Cruz del Valle,San Sebastin el Grande,Tequila,Coyula,Tlajomulco de Ziga,San Agustn,Zapotlanejo,Tala,Ameca,Tesistn (San Francisco Tesistn),Hacienda Santa Fe,Tepatitln de Morelos,Tonal,Tlaquepaque,Zapopan,Guadalajara, 
El Salitre,97.671,73.069,49.34,127.971,20.615,140.789,33.525,95.19,39.91,15.289,0,52.327,110.559,68.052,121.939,92.425,76.479,104.04,73.296,15.966,130.236,61.808,61.117,92.039,85.832,69.468,46.84,24.605,98.339,81.717,110.216,42.25,75.662,96.501,68.29,56.739,69.916,71.066,99.225,144.935,74.11,66.102,127.871,72.05,96.54,90.591,115.555,90.692,122.532,78.291,45.589,62.668,52.712,101.183,64.857,71.147,95.538,118.647,30.23,95.372,96.405,78.249,39.104,98.651,44.923,67.671,32.149,91.27,14.282,92.036,96.727,97.585,103.091,104.547,51.97,77.524,40.642,86.051,59.123,73.268,56.556,48.289,64.536,132.067,69.713,99.095,48.256,118.36,84.106,21.852,115.359,32.738,95.819,87.36,89.071,90.859,65.068,68.162,65.755,66.593,95.059,103.007,87.093,87.393,85.528,68.628,71.714,93.105,61.4,63.306,106.179,32.515,32.302,63.474,77.425,145.816,88.666,80.704,70.462,77.407, 
Buenavista,106.071,22.432,52.575,88.996,33.197,74.392,34.993,56.698,14.149,62.842,52.327,0,75.457,20.233,83.344,63.828,73.428,68.938,34.701,44.348,91.057,93.767,22.522,44.22,47.237,21.649,14.732,36.259,63.238,54.242,119.529,53.206,27.843,58.506,97.508,49.382,56.016,23.247,53.489,110.501,26.292,95.319,89.276,24.231,61.439,51.996,68.154,58.387,75.132,30.472,77.549,59.617,46.46,66.082,17.038,23.328,47.719,84.214,41.186,40.291,48.586,39.654,18.921,50.832,52.954,19.852,21.036,43.451,54.436,44.217,50.991,51.849,57.355,61.117,81.188,29.705,13.267,47.456,72.345,25.449,4.799,64.745,16.717,92.888,21.894,63.994,80.216,70.541,36.334,40.818,76.764,65.286,50.084,96.673,43.336,45.124,35.578,29.567,17.936,18.774,56.464,59.196,41.357,41.658,37.756,20.809,84.936,53.926,13.581,15.487,67,36.895,74.796,53.167,29.606,106.637,49.487,36.302,35.083,36.704, 
Santa Fe,123.778,60.121,70.282,148.999,104.146,33.762,105.942,17.94,85.098,114.208,110.559,75.457,0,66.056,139.673,136.28,145.88,8.835,86.239,116.8,24.34,137.526,94.974,36.591,119.689,57.589,82.53,92.502,13.239,58.314,133.755,96.965,51.655,130.958,169.96,63.609,62.229,55.282,30.023,114.574,51.481,167.771,161.728,58.458,17.167,69.617,55.227,130.839,45.227,52.605,121.308,132.069,60.686,11.046,65.809,56.829,59.895,88.286,84.945,41.526,38.751,80.886,91.373,37.241,77.672,62.898,93.488,51.635,126.888,48.393,42.881,29.804,25.468,17.544,153.64,49.043,85.719,73.424,86.571,54.519,69.423,78.972,56.718,47.423,50.696,17.715,123.975,34.327,49.582,113.27,149.216,109.045,33.052,110.899,32.675,31.287,108.03,90.896,58.985,56.115,66.734,21.627,44.486,35.767,44.377,57.376,99.163,32.484,70.369,62.743,17.197,83.489,120.914,62.526,50.774,61.172,26.743,42.807,45.042,36.864, 
Lomas de Tejeda,107.488,11.099,53.992,104.721,48.922,63.514,50.718,48.888,29.874,78.567,68.052,20.233,66.056,0,99.886,80.37,89.97,55.316,51.243,60.89,69.325,104.918,39.064,27.722,63.779,9.318,25.884,47.41,49.616,47.095,122.374,64.357,10.696,75.048,114.05,52.227,58.861,8.004,31.025,103.355,14.57,111.861,105.818,27.075,47.817,44.935,55.647,74.929,62.625,13.974,88.7,76.159,49.305,52.46,3.618,7.153,35.212,77.067,52.337,18.989,36.079,56.196,35.463,38.325,66.29,7.667,37.578,26.953,70.978,27.719,21.949,29.385,34.891,38.653,97.73,12.558,29.809,48.742,75.19,9.658,13.365,67.59,19.561,79.956,24.738,50.372,91.367,58.034,14.11,57.36,93.306,76.437,31.623,99.518,28.154,29.942,52.12,46.109,5.66,13.764,42.051,36.732,19.085,26.476,16.433,11.084,87.781,40.993,6.595,18.331,54.068,48.046,81.268,56.012,12.459,93.705,36.554,21.12,37.927,28.234, 
Villa Emiliano Zapata (Ejido Modelo),188.002,104.362,134.506,46.82,102.809,109.412,104.605,138.628,83.761,132.454,121.939,83.344,139.673,99.886,0,86.832,121.706,154.081,62.916,114.628,117.167,181.63,63.478,106.744,36.108,100.497,102.596,124.122,131.14,133.09,198.377,141.069,106.691,52.36,167.788,128.23,134.864,102.095,112.55,189.349,105.139,165.599,51.229,103.079,129.341,80.211,105.175,82.278,117.62,109.32,165.412,129.897,125.308,133.984,95.886,102.176,93.332,163.062,129.049,115.021,109.222,67.869,89.201,127.818,142.293,98.7,91.316,101.908,124.716,109.244,112.056,110.91,116.416,120.178,151.468,108.553,83.547,75.671,151.193,104.297,87.585,143.593,95.565,176.268,100.742,131.896,168.079,107.411,115.182,111.098,6.96,145.709,113.148,175.521,122.184,123.972,105.858,57.782,96.784,97.622,84.679,118.257,120.205,120.506,116.604,99.657,163.784,132.774,92.429,94.335,150.381,124.758,145.076,132.015,108.454,190.017,128.335,115.15,113.931,115.551, 
Amacueca,168.486,84.846,114.99,74.891,73.295,136.806,55.295,119.112,52.871,102.94,92.425,63.828,136.28,80.37,86.832,0,36.166,129.611,86.15,88.985,151.73,149.136,73.971,104.893,58.331,82.322,75.674,97.2,123.911,114.915,180.202,114.147,88.516,35.324,54.543,110.055,116.689,83.92,114.162,171.174,86.964,139.957,60.736,84.904,122.112,103.445,128.409,12.623,135.386,91.145,132.917,49.733,107.133,126.755,77.711,84.001,108.392,144.887,102.127,100.964,109.259,91.103,63.558,111.505,124.118,80.525,65.673,104.124,99.073,104.89,111.664,112.522,118.028,121.79,125.825,90.378,52.579,98.905,133.018,86.122,69.41,125.418,77.39,153.561,82.567,124.667,135.584,131.214,97.007,85.455,80.318,120.066,110.757,157.346,104.009,105.797,29.194,81.016,78.609,79.447,107.913,119.869,102.03,102.331,98.429,81.482,145.609,114.599,74.254,76.16,127.673,97.836,119.433,113.84,90.279,167.31,110.16,96.975,95.756,97.376, 
Juanacatln,178.086,94.446,124.59,109.765,81.707,146.406,63.139,128.712,61.283,78.867,76.479,73.428,145.88,89.97,121.706,36.166,0,138.022,94.561,60.151,160.141,157.547,82.382,113.304,107.097,90.733,84.085,105.611,132.322,123.326,188.613,122.558,96.927,70.198,39.839,118.466,125.1,92.331,122.573,179.585,95.375,86.999,95.61,93.315,130.523,111.856,136.82,47.497,143.797,99.556,141.328,13.549,115.544,135.166,86.122,92.412,116.803,153.298,110.538,109.375,117.67,99.514,71.969,119.916,132.529,88.936,74.084,112.535,69.326,113.301,120.075,120.933,126.439,130.201,72.867,98.789,60.99,107.316,141.429,94.533,77.821,133.829,85.801,161.972,90.978,133.078,143.995,139.625,105.418,65.943,136.624,128.477,119.168,165.757,112.42,114.208,55.915,89.427,87.02,87.858,116.324,128.28,110.441,110.742,106.84,89.893,154.02,123.01,82.665,84.571,136.084,106.247,89.686,122.251,98.69,175.721,118.571,105.386,104.167,105.787, 
La Laja,117.259,53.602,63.763,142.48,97.627,51.591,99.423,11.421,78.579,107.689,104.04,68.938,8.835,55.316,154.081,129.611,138.022,0,80.679,111.452,44.439,137.569,89.626,31.031,114.341,52.029,77.182,92.545,7.679,52.754,133.798,97.008,46.095,125.61,164.612,63.652,56.669,49.722,24.463,109.014,45.921,162.423,156.38,53.11,11.607,64.057,49.667,125.491,65.758,47.045,121.351,126.721,60.729,5.486,60.249,51.269,54.335,82.726,84.988,35.966,33.191,75.326,86.025,31.681,77.715,57.338,88.14,46.075,121.54,42.833,37.321,24.244,19.908,11.984,148.292,43.483,80.371,67.864,86.614,48.959,64.074,79.015,56.761,37.389,50.739,12.155,124.018,55.273,44.022,107.922,162.104,109.088,27.492,110.942,27.115,25.727,102.682,85.336,53.425,50.555,61.174,16.067,38.926,30.207,38.817,51.816,99.206,26.924,64.809,57.394,7.163,83.532,120.957,56.966,45.214,51.138,26.785,38.506,45.085,37.536, 
Chantepec (El Chante),139.359,50.964,85.863,68.556,54.166,74.086,55.962,69.071,35.118,83.811,73.296,34.701,86.239,51.243,62.916,86.15,94.561,80.679,0,64.479,80.157,131.481,13.328,44.434,26.833,50.348,52.447,73.973,68.83,82.941,148.228,90.92,56.542,42.399,117.639,78.081,84.715,51.946,50.24,139.2,54.99,115.45,68.872,52.93,67.031,17.901,42.865,78.518,49.842,51.185,115.263,79.748,75.159,71.674,45.737,52.027,31.022,112.913,78.9,52.711,46.912,5.559,39.052,49.157,92.144,48.551,41.167,39.598,74.567,46.934,49.746,48.6,54.106,57.868,101.319,58.404,33.398,13.361,101.044,54.148,37.436,93.444,45.416,116.046,50.593,69.586,117.93,68.867,65.033,60.949,56.36,95.56,50.838,125.372,59.708,61.496,55.709,5.263,46.635,47.473,22.369,55.947,63.505,54.786,66.455,49.508,113.635,77.634,42.28,44.186,81.338,74.609,94.927,81.866,58.305,129.795,72.644,61.826,63.782,65.402, 
El Crucero de Santa Mara,118.549,65.366,70.218,120.268,12.911,117.326,25.822,99.632,32.206,18.354,15.966,44.348,116.8,60.89,114.628,88.985,60.151,111.452,64.479,0,131.172,86.531,53.413,84.335,78.128,61.764,43.516,46.375,103.353,94.357,131.985,64.02,67.958,88.797,53.369,78.508,96.131,63.362,93.604,150.616,66.406,51.18,120.167,64.346,101.554,82.887,107.851,82.988,114.828,70.587,70.313,47.746,74.481,106.197,57.153,63.443,87.834,124.329,52,80.406,88.701,70.545,31.4,90.947,66.692,59.967,24.445,83.566,10.296,84.332,91.106,91.964,97.47,101.232,37.048,69.82,32.938,78.347,80.892,65.564,48.852,70.058,56.832,133.003,62.009,104.109,72.98,110.656,76.449,6.021,107.655,60.828,90.199,109.129,83.451,85.239,57.364,60.458,58.051,58.889,87.355,99.311,81.472,81.773,77.871,60.924,93.483,94.041,53.696,55.602,107.115,54.284,30.656,85.243,69.721,146.752,89.602,76.417,75.198,76.818, 
Zapotln del Rey,143.455,58.732,89.959,148.225,119.746,9.631,121.542,52.685,100.698,133.885,130.236,91.057,24.34,69.325,117.167,151.73,160.141,44.439,80.157,131.172,0,157.051,109.108,46.798,108.662,74.519,96.664,112.027,50.904,75.197,153.28,116.49,68.585,145.092,184.094,83.134,79.112,72.212,57.467,131.457,68.411,181.905,166.882,72.592,52.005,65.813,28.809,144.973,21.665,58.412,140.833,146.203,80.211,47.106,70.426,73.759,56.09,105.169,104.47,59.939,33.898,77.082,105.507,31.862,97.197,63.954,107.622,46.825,141.022,54.162,56.973,55.827,60.306,53.604,167.774,70.321,99.853,69.62,106.096,71.449,83.556,98.497,76.243,64.439,70.221,52.553,143.5,11.18,66.512,127.404,122.612,128.57,58.731,130.424,58.354,56.966,122.164,87.092,75.915,73.446,62.93,56.465,61.193,61.493,61.307,74.306,118.688,49.367,71.408,76.876,38.552,103.014,140.439,79.409,72.644,78.188,46.267,57.988,64.567,57.018, 
San Marcos,107.143,111.056,74.942,187.27,73.063,166.39,85.973,120.791,92.358,71.8,61.808,93.767,137.526,104.918,181.63,149.136,157.547,137.569,131.481,86.531,157.051,0,116.294,144.983,141.009,125.946,80.636,64.152,137.071,120.449,57.71,42.18,124.91,152.278,136.886,95.47,108.647,124.639,137.957,183.667,119.838,118.164,183.048,116.175,135.272,162.196,172.907,152.159,179.885,145.183,25.74,142.169,91.444,139.915,103.167,127.648,152.473,157.379,54.429,134.104,153.339,133.426,92.461,155.585,71.969,107.916,87.292,144.213,74.47,140.972,135.459,136.317,141.823,143.279,120.566,126.646,95.785,166.003,69.64,124.53,93.514,79.425,102.432,170.799,116.588,137.827,14.591,175.294,122.837,83.634,170.536,29.101,134.551,41.864,127.803,129.591,120.211,123.339,102.943,120.302,159.312,141.739,125.825,126.125,124.259,123.609,57.342,131.837,101.646,101.202,144.911,59.562,58.64,102.205,128.969,184.548,127.398,119.436,109.193,116.139, 
Zapotitn de Hidalgo,127.18,43.54,73.684,69.118,41.987,86.809,43.783,77.806,22.939,71.632,61.117,22.522,94.974,39.064,63.478,73.971,82.382,89.626,13.328,53.413,109.108,116.294,0,59.856,28.563,39.897,41.996,63.522,81.486,72.49,137.777,80.469,46.091,44.13,107.188,67.63,74.264,41.495,71.737,128.749,44.539,104.999,70.603,42.479,79.687,33.323,58.287,68.067,65.264,48.72,104.812,69.297,64.708,84.33,35.286,41.576,46.444,102.462,68.449,58.539,62.334,20.981,28.601,64.579,81.693,38.1,30.716,55.02,64.116,62.465,69.239,70.097,75.603,79.365,90.868,47.953,22.947,28.783,90.593,43.697,26.985,82.993,34.965,111.136,40.142,82.242,107.479,84.289,54.582,50.498,58.091,85.109,68.332,114.921,61.584,63.372,45.258,10.894,36.184,37.022,37.791,77.444,59.605,59.906,56.004,39.057,103.184,72.174,31.829,33.735,85.248,64.158,84.476,71.415,47.854,124.885,67.735,54.55,53.331,54.951, 
